     #Energy           s           p           d       tot  
   -21.24908     0.00000     0.00000     0.00000     0.00000
   -21.14508     0.00000     0.00000     0.00000     0.00000
   -21.04208     0.00000     0.00000     0.00000     0.00000
   -20.93808     0.00000     0.00000     0.00000     0.00000
   -20.83508     0.00000     0.00000     0.00000     0.00000
   -20.73108     0.00000     0.00000     0.00000     0.00000
   -20.62808     0.00000     0.00000     0.00000     0.00000
   -20.52408     0.00000     0.00000     0.00000     0.00000
   -20.42108     0.00000     0.00000     0.00000     0.00000
   -20.31708     0.00000     0.00000     0.00000     0.00000
   -20.21408     0.00000     0.00000     0.00000     0.00000
   -20.11008     0.00000     0.00000     0.00000     0.00000
   -20.00708     0.00000     0.00000     0.00000     0.00000
   -19.90408     0.04063     0.00009     0.00000     0.04072
   -19.80008     1.32119     0.00285     0.00000     1.32404
   -19.69708     1.83162     0.00374     0.00000     1.83536
   -19.59308     4.66549     0.00879     0.00000     4.67429
   -19.49008     2.60883     0.00604     0.00000     2.61487
   -19.38608     6.38102     0.00978     0.00000     6.39080
   -19.28308     6.09273     0.01524     0.00000     6.10797
   -19.17908     5.60621     0.02137     0.00000     5.62758
   -19.07608     9.24089     0.03719     0.00000     9.27808
   -18.97208     6.99385     0.02755     0.00000     7.02140
   -18.86908     9.68921     0.03360     0.00000     9.72281
   -18.76508     8.37985     0.02505     0.00000     8.40491
   -18.66208     9.35769     0.02722     0.00000     9.38491
   -18.55808     5.94514     0.02043     0.00000     5.96557
   -18.45508    11.02187     0.03680     0.00000    11.05867
   -18.35208    11.29917     0.03451     0.00000    11.33368
   -18.24808    10.85779     0.03222     0.00000    10.89000
   -18.14508    11.74231     0.03699     0.00000    11.77930
   -18.04108    15.83643     0.05648     0.00000    15.89291
   -17.93808     2.76907     0.01042     0.00000     2.77949
   -17.83408     5.71184     0.01893     0.00000     5.73077
   -17.73108     7.06360     0.02327     0.00000     7.08687
   -17.62708     4.83825     0.01614     0.00000     4.85439
   -17.52408     3.01961     0.01139     0.00000     3.03100
   -17.42008     8.74548     0.03394     0.00000     8.77943
   -17.31708    13.44066     0.05383     0.00000    13.49450
   -17.21308    13.20934     0.03827     0.00000    13.24761
   -17.11008     2.25096     0.00643     0.00000     2.25739
   -17.00708     0.00076     0.00000     0.00000     0.00076
   -16.90308     0.00000     0.00000     0.00000     0.00000
   -16.80008     0.00000     0.00000     0.00000     0.00000
   -16.69608     0.00817     0.00014     0.00000     0.00831
   -16.59308     1.50028     0.02641     0.00000     1.52668
   -16.48908     4.31481     0.07585     0.00000     4.39066
   -16.38608     2.46389     0.04368     0.00000     2.50757
   -16.28208     7.41387     0.14683     0.00000     7.56070
   -16.17908     8.65549     0.20490     0.00000     8.86039
   -16.07508    13.39826     0.30956     0.00000    13.70782
   -15.97208     2.30580     0.05167     0.00000     2.35747
   -15.86808     0.00242     0.00005     0.00000     0.00248
   -15.76508     0.00000     0.00000     0.00000     0.00000
   -15.66108     0.00000     0.00000     0.00000     0.00000
