     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00000     0.00000     0.00000     0.00000
   -16.84575     0.00202     0.00000     0.00000     0.00202
   -16.76675     0.02216     0.00005     0.00000     0.02221
   -16.68875     0.04561     0.00010     0.00000     0.04571
   -16.61075     0.05100     0.00011     0.00000     0.05111
   -16.53175     0.05669     0.00017     0.00000     0.05686
   -16.45375     0.08071     0.00038     0.00000     0.08109
   -16.37475     0.10396     0.00061     0.00000     0.10456
   -16.29675     0.15045     0.00137     0.00000     0.15181
   -16.21775     0.24454     0.00297     0.00000     0.24751
   -16.13975     0.30367     0.00401     0.00000     0.30768
   -16.06175     0.32518     0.00446     0.00000     0.32964
   -15.98275     0.43271     0.00689     0.00000     0.43960
   -15.90475     0.60016     0.01074     0.00000     0.61090
   -15.82575     0.67730     0.01256     0.00000     0.68985
   -15.74775     0.68475     0.01277     0.00000     0.69752
   -15.66875     0.73022     0.01416     0.00000     0.74438
   -15.59075     0.81788     0.01696     0.00000     0.83484
   -15.51275     0.92564     0.02046     0.00000     0.94610
   -15.43375     1.04359     0.02422     0.00000     1.06782
   -15.35575     1.12242     0.02682     0.00000     1.14924
   -15.27675     1.19657     0.02946     0.00000     1.22603
   -15.19875     1.29489     0.03293     0.00000     1.32783
   -15.11975     1.36415     0.03544     0.00000     1.39958
