     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00000     0.00000     0.00000     0.00000
   -16.84575     0.00193     0.00001     0.00000     0.00194
   -16.76675     0.02119     0.00014     0.00000     0.02133
   -16.68875     0.04362     0.00029     0.00000     0.04391
   -16.61075     0.04877     0.00033     0.00000     0.04910
   -16.53175     0.05390     0.00048     0.00000     0.05437
   -16.45375     0.07554     0.00110     0.00000     0.07664
   -16.37475     0.09648     0.00175     0.00000     0.09823
   -16.29675     0.13818     0.00374     0.00000     0.14193
   -16.21775     0.22233     0.00797     0.00000     0.23030
   -16.13975     0.27508     0.01069     0.00000     0.28577
   -16.06175     0.29349     0.01190     0.00000     0.30539
   -15.98275     0.38361     0.01855     0.00000     0.40216
   -15.90475     0.52398     0.02909     0.00000     0.55307
   -15.82575     0.58873     0.03403     0.00000     0.62276
   -15.74775     0.59477     0.03461     0.00000     0.62939
   -15.66875     0.63096     0.03845     0.00000     0.66942
   -15.59075     0.70078     0.04610     0.00000     0.74688
   -15.51275     0.78487     0.05570     0.00000     0.84057
   -15.43375     0.87423     0.06623     0.00000     0.94046
   -15.35575     0.93299     0.07358     0.00000     1.00657
   -15.27675     0.98745     0.08114     0.00000     1.06859
   -15.19875     1.05832     0.09121     0.00000     1.14953
   -15.11975     1.10730     0.09847     0.00000     1.20578
