# coord_A   rho_avg_e_per_A3
0.000000000000000000e+00 -2.853149859570880409e+00
6.822916493055555809e-02 -2.747554543961229445e+00
1.364583298611111162e-01 -2.601834191544734942e+00
2.046874947916666743e-01 -2.432729886834801292e+00
2.729166597222222324e-01 -2.253609978309639050e+00
3.411458246527777627e-01 -2.071451428510016068e+00
4.093749895833333485e-01 -1.887117147225513047e+00
4.776041545138889344e-01 -1.698552191236723852e+00
5.458333194444444647e-01 -1.505026435592627942e+00
6.140624843749999950e-01 -1.310098666472673257e+00
6.822916493055555254e-01 -1.121779464855307440e+00
7.505208142361111667e-01 -9.499541096454636735e-01
8.187499791666666971e-01 -8.026047560423853477e-01
8.869791440972222274e-01 -6.829391843082326385e-01
9.552083090277778687e-01 -5.889152961521327834e-01
1.023437473958333399e+00 -5.152397730605492443e-01
1.091666638888888929e+00 -4.565391113487082264e-01
1.159895803819444460e+00 -4.098279310626625205e-01
1.228124968749999990e+00 -3.749272508336135568e-01
1.296354133680555520e+00 -3.527746237428964204e-01
1.364583298611111051e+00 -3.428511660459331312e-01
1.432812463541666803e+00 -3.414759734429034799e-01
1.501041628472222333e+00 -3.421833967131936438e-01
1.569270793402777864e+00 -3.381240302090678940e-01
1.637499958333333394e+00 -3.251717604087931979e-01
1.705729123263888924e+00 -3.039235613230358291e-01
1.773958288194444455e+00 -2.793479767282548987e-01
1.842187453124999985e+00 -2.581556281348685311e-01
1.910416618055555737e+00 -2.452766315667402330e-01
1.978645782986111268e+00 -2.413745677305698667e-01
2.046874947916666798e+00 -2.427746862384854987e-01
2.115104112847222328e+00 -2.438340830653060454e-01
2.183333277777777859e+00 -2.403985367292065800e-01
2.251562442708333389e+00 -2.323686082052252855e-01
2.319791607638888919e+00 -2.239008250285213220e-01
2.388020772569444450e+00 -2.211198097128000972e-01
2.456249937499999980e+00 -2.286478057570289490e-01
2.524479102430555510e+00 -2.469488230310182553e-01
2.592708267361111041e+00 -2.720299546718963901e-01
2.660937432291666571e+00 -2.976908510608761160e-01
2.729166597222222101e+00 -3.190341247940521319e-01
2.797395762152778076e+00 -3.351993370474608547e-01
2.865624927083333606e+00 -3.497068394023142290e-01
2.933854092013889137e+00 -3.681685003764065267e-01
3.002083256944444667e+00 -3.946622648760015339e-01
3.070312421875000197e+00 -4.288857414704029258e-01
3.138541586805555728e+00 -4.658076420683375796e-01
3.206770751736111258e+00 -4.981239509168652324e-01
3.274999916666666788e+00 -5.201919601969746676e-01
3.343229081597222319e+00 -5.312037407567353764e-01
3.411458246527777849e+00 -5.357220823132389231e-01
3.479687411458333379e+00 -5.411656584065274167e-01
3.547916576388888910e+00 -5.535835669890440958e-01
3.616145741319444440e+00 -5.740978840835753161e-01
3.684374906249999970e+00 -5.980917317089201601e-01
3.752604071180555501e+00 -6.177067783152473401e-01
3.820833236111111475e+00 -6.263195072487092174e-01
3.889062401041667005e+00 -6.224702788520630747e-01
3.957291565972222536e+00 -6.109379819413197632e-01
4.025520730902777622e+00 -6.002119893691015839e-01
4.093749895833333596e+00 -5.976655708777138809e-01
4.161979060763888683e+00 -6.051195682301024892e-01
4.230208225694444657e+00 -6.173792934069528560e-01
4.298437390624999743e+00 -6.247314936858450185e-01
4.366666555555555718e+00 -6.181572492560531984e-01
4.434895720486111692e+00 -5.944044201519422810e-01
4.503124885416666778e+00 -5.580187475740204794e-01
4.571354050347222753e+00 -5.190461575529435878e-01
4.639583215277777839e+00 -4.875369271964994367e-01
4.707812380208333813e+00 -4.678569096193406773e-01
4.776041545138888900e+00 -4.560468383054034347e-01
4.844270710069444874e+00 -4.418622186187626255e-01
4.912499874999999960e+00 -4.145141184456437866e-01
4.980729039930555935e+00 -3.689668662064969906e-01
5.048958204861111021e+00 -3.091909305288552123e-01
5.117187369791666995e+00 -2.463570253709177760e-01
5.185416534722222082e+00 -1.927765020294981702e-01
5.253645699652778056e+00 -1.548866622903546375e-01
5.321874864583333142e+00 -1.292997015076740586e-01
5.390104029513889117e+00 -1.043739382076590977e-01
5.458333194444444203e+00 -6.670120565810422342e-02
5.526562359375000177e+00 -9.017269414033119920e-03
5.594791524305556152e+00 6.499353231055263191e-02
5.663020689236111238e+00 1.420080059335121214e-01
5.731249854166667212e+00 2.061422170415447841e-01
5.799479019097222299e+00 2.480802796991421477e-01
5.867708184027778273e+00 2.710882908737361485e-01
