     #Energy           s           p           d       tot  
   -21.24908     0.00000     0.00000     0.00000     0.00000
   -21.14508     0.00000     0.00000     0.00000     0.00000
   -21.04208     0.00000     0.00000     0.00000     0.00000
   -20.93808     0.00000     0.00000     0.00000     0.00000
   -20.83508     0.00000     0.00000     0.00000     0.00000
   -20.73108     0.00000     0.00000     0.00000     0.00000
   -20.62808     0.00000     0.00000     0.00000     0.00000
   -20.52408     0.00000     0.00000     0.00000     0.00000
   -20.42108     0.00000     0.00000     0.00000     0.00000
   -20.31708     0.00000     0.00000     0.00000     0.00000
   -20.21408     0.00000     0.00000     0.00000     0.00000
   -20.11008     0.00000     0.00000     0.00000     0.00000
   -20.00708     0.00000     0.00000     0.00000     0.00000
   -19.90408     0.00032     0.00003     0.00005     0.00039
   -19.80008     0.01056     0.00098     0.00187     0.01342
   -19.69708     0.03193     0.00392     0.00805     0.04389
   -19.59308     0.06754     0.01255     0.02793     0.10802
   -19.49008     0.10717     0.02230     0.05104     0.18050
   -19.38608     0.14113     0.03824     0.09668     0.27604
   -19.28308     0.18419     0.06171     0.16374     0.40964
   -19.17908     0.23085     0.08208     0.22068     0.53361
   -19.07608     0.27681     0.11228     0.30823     0.69732
   -18.97208     0.31527     0.14847     0.41596     0.87971
   -18.86908     0.34872     0.18508     0.52895     1.06275
   -18.76508     0.38395     0.22524     0.64959     1.25878
   -18.66208     0.42184     0.26391     0.76094     1.44670
   -18.55808     0.46248     0.29405     0.84953     1.60605
   -18.45508     0.51508     0.32577     0.93810     1.77896
   -18.35208     0.57670     0.36373     1.07484     2.01527
   -18.24808     0.62307     0.40420     1.23572     2.26300
   -18.14508     0.65980     0.45382     1.39923     2.51285
   -18.04108     0.69478     0.51925     1.61701     2.83103
   -17.93808     0.71568     0.56505     1.77304     3.05377
   -17.83408     0.73166     0.58360     1.83025     3.14550
   -17.73108     0.75524     0.61152     1.91044     3.27720
   -17.62708     0.77202     0.63912     1.99207     3.40321
   -17.52408     0.78815     0.65525     2.04473     3.48813
   -17.42008     0.82369     0.67343     2.11490     3.61202
   -17.31708     0.87034     0.71177     2.26393     3.84604
   -17.21308     0.90236     0.76711     2.47012     4.13959
   -17.11008     0.91312     0.80323     2.60104     4.31738
   -17.00708     0.91432     0.80856     2.62066     4.34354
   -16.90308     0.91432     0.80856     2.62066     4.34355
   -16.80008     0.91432     0.80856     2.62066     4.34355
   -16.69608     0.91436     0.80857     2.62069     4.34362
   -16.59308     0.92068     0.81039     2.62552     4.35659
   -16.48908     0.94212     0.81832     2.64772     4.40816
   -16.38608     0.96477     0.82825     2.67671     4.46974
   -16.28208     0.97930     0.84804     2.75126     4.57860
   -16.17908     0.99675     0.88176     2.89488     4.77338
   -16.07508     1.02061     0.92605     3.10223     5.04890
   -15.97208     1.03669     0.95701     3.24916     5.24286
   -15.86808     1.03933     0.96141     3.26942     5.27017
   -15.76508     1.03934     0.96142     3.26944     5.27020
   -15.66108     1.03934     0.96142     3.26944     5.27020
