     #Energy           s           p           d       tot  
   -21.24908     0.00000     0.00000     0.00000     0.00000
   -21.14508     0.00000     0.00000     0.00000     0.00000
   -21.04208     0.00000     0.00000     0.00000     0.00000
   -20.93808     0.00000     0.00000     0.00000     0.00000
   -20.83508     0.00000     0.00000     0.00000     0.00000
   -20.73108     0.00000     0.00000     0.00000     0.00000
   -20.62808     0.00000     0.00000     0.00000     0.00000
   -20.52408     0.00000     0.00000     0.00000     0.00000
   -20.42108     0.00000     0.00000     0.00000     0.00000
   -20.31708     0.00000     0.00000     0.00000     0.00000
   -20.21408     0.00000     0.00000     0.00000     0.00000
   -20.11008     0.00000     0.00000     0.00000     0.00000
   -20.00708     0.00000     0.00000     0.00000     0.00000
   -19.90408     0.00210     0.00000     0.00000     0.00211
   -19.80008     0.07255     0.00016     0.00000     0.07271
   -19.69708     0.23565     0.00050     0.00000     0.23615
   -19.59308     0.57176     0.00115     0.00000     0.57291
   -19.49008     0.94808     0.00191     0.00000     0.94999
   -19.38608     1.41315     0.00273     0.00000     1.41588
   -19.28308     2.05844     0.00403     0.00000     2.06247
   -19.17908     2.66365     0.00592     0.00000     2.66957
   -19.07608     3.43173     0.00895     0.00000     3.44068
   -18.97208     4.27159     0.01230     0.00000     4.28389
   -18.86908     5.13464     0.01546     0.00000     5.15010
   -18.76508     6.06939     0.01850     0.00000     6.08789
   -18.66208     6.98700     0.02120     0.00000     7.00820
   -18.55808     7.77865     0.02367     0.00000     7.80231
   -18.45508     8.65639     0.02663     0.00000     8.68302
   -18.35208     9.81111     0.03031     0.00000     9.84142
   -18.24808    10.95734     0.03377     0.00000    10.99110
   -18.14508    12.12649     0.03735     0.00000    12.16384
   -18.04108    13.55320     0.04218     0.00000    13.59538
   -17.93808    14.51571     0.04564     0.00000    14.56135
   -17.83408    14.95444     0.04716     0.00000    15.00160
   -17.73108    15.61534     0.04935     0.00000    15.66469
   -17.62708    16.23105     0.05138     0.00000    16.28244
   -17.52408    16.63756     0.05281     0.00000    16.69037
   -17.42008    17.24619     0.05515     0.00000    17.30135
   -17.31708    18.39393     0.05969     0.00000    18.45363
   -17.21308    19.77260     0.06446     0.00000    19.83706
   -17.11008    20.57239     0.06677     0.00000    20.63917
   -17.00708    20.68888     0.06710     0.00000    20.75599
   -16.90308    20.68892     0.06710     0.00000    20.75603
   -16.80008    20.68892     0.06710     0.00000    20.75603
   -16.69608    20.68934     0.06711     0.00000    20.75646
   -16.59308    20.76738     0.06849     0.00000    20.83586
   -16.48908    21.06821     0.07378     0.00000    21.14198
   -16.38608    21.41888     0.07996     0.00000    21.49884
   -16.28208    21.92988     0.08981     0.00000    22.01970
   -16.17908    22.76119     0.10801     0.00000    22.86920
   -16.07508    23.90208     0.13462     0.00000    24.03670
   -15.97208    24.71448     0.15331     0.00000    24.86779
   -15.86808    24.83389     0.15599     0.00000    24.98988
   -15.76508    24.83402     0.15599     0.00000    24.99001
   -15.66108    24.83402     0.15599     0.00000    24.99001
