     #Energy           s           p           d       tot  
   -21.24908     0.00000     0.00000     0.00000     0.00000
   -21.14508     0.00000     0.00000     0.00000     0.00000
   -21.04208     0.00000     0.00000     0.00000     0.00000
   -20.93808     0.00000     0.00000     0.00000     0.00000
   -20.83508     0.00000     0.00000     0.00000     0.00000
   -20.73108     0.00000     0.00000     0.00000     0.00000
   -20.62808     0.00000     0.00000     0.00000     0.00000
   -20.52408     0.00000     0.00000     0.00000     0.00000
   -20.42108     0.00000     0.00000     0.00000     0.00000
   -20.31708     0.00000     0.00000     0.00000     0.00000
   -20.21408     0.00000     0.00000     0.00000     0.00000
   -20.11008     0.00000     0.00000     0.00000     0.00000
   -20.00708     0.00000     0.00000     0.00000     0.00000
   -19.90408     0.00609     0.00050     0.00090     0.00749
   -19.80008     0.19198     0.01800     0.03443     0.24442
   -19.69708     0.22103     0.03869     0.08489     0.34461
   -19.59308     0.46739     0.12829     0.29936     0.89504
   -19.49008     0.29857     0.06009     0.14739     0.50606
   -19.38608     0.35795     0.24796     0.73485     1.34076
   -19.28308     0.47445     0.20575     0.56157     1.24176
   -19.17908     0.42755     0.18816     0.53894     1.15465
   -19.07608     0.46070     0.39561     1.15351     2.00983
   -18.97208     0.28290     0.30390     0.92900     1.51580
   -18.86908     0.36363     0.40374     1.25510     2.02247
   -18.76508     0.31730     0.37263     1.07683     1.76676
   -18.66208     0.41517     0.37490     1.07571     1.86578
   -18.55808     0.37035     0.20754     0.63665     1.21455
   -18.45508     0.64655     0.40579     1.07547     2.12781
   -18.35208     0.54442     0.32788     1.56778     2.44008
   -18.24808     0.35209     0.45450     1.54211     2.34870
   -18.14508     0.35779     0.50465     1.61856     2.48099
   -18.04108     0.31841     0.76004     2.59113     3.66958
   -17.93808     0.08557     0.12541     0.42510     0.63608
   -17.83408     0.22335     0.23301     0.68069     1.13705
   -17.73108     0.23249     0.30670     0.86952     1.40871
   -17.62708     0.09189     0.22697     0.70825     1.02712
   -17.52408     0.21983     0.08480     0.30968     0.61430
   -17.42008     0.46724     0.26669     1.04675     1.78067
   -17.31708     0.43450     0.47432     1.83418     2.74299
   -17.21308     0.18455     0.59536     2.15153     2.93144
   -17.11008     0.02330     0.10294     0.37910     0.50534
   -17.00708     0.00001     0.00003     0.00013     0.00017
   -16.90308     0.00000     0.00000     0.00000     0.00000
   -16.80008     0.00000     0.00000     0.00000     0.00000
   -16.69608     0.00066     0.00019     0.00051     0.00136
   -16.59308     0.12160     0.03510     0.09277     0.24948
   -16.48908     0.29279     0.11809     0.33653     0.74741
   -16.38608     0.14511     0.07392     0.22382     0.44284
   -16.28208     0.13568     0.30864     1.21713     1.66146
   -16.17908     0.20161     0.34304     1.55917     2.10382
   -16.07508     0.25972     0.51328     2.44891     3.22191
   -15.97208     0.05105     0.08507     0.39131     0.52744
   -15.86808     0.00006     0.00009     0.00040     0.00055
   -15.76508     0.00000     0.00000     0.00000     0.00000
   -15.66108     0.00000     0.00000     0.00000     0.00000
