     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00000     0.00000     0.00000     0.00000
   -16.84575     0.00001     0.00000     0.00000     0.00002
   -16.76675     0.00015     0.00001     0.00000     0.00017
   -16.68875     0.00031     0.00003     0.00000     0.00034
   -16.61075     0.00035     0.00003     0.00000     0.00039
   -16.53175     0.00047     0.00005     0.00000     0.00051
   -16.45375     0.00096     0.00009     0.00000     0.00106
   -16.37475     0.00140     0.00014     0.00000     0.00154
   -16.29675     0.00178     0.00017     0.00000     0.00195
   -16.21775     0.00249     0.00024     0.00000     0.00273
   -16.13975     0.00294     0.00029     0.00000     0.00323
   -16.06175     0.00333     0.00032     0.00000     0.00366
   -15.98275     0.00575     0.00056     0.00000     0.00631
   -15.90475     0.00929     0.00090     0.00000     0.01018
   -15.82575     0.01078     0.00104     0.00000     0.01182
   -15.74775     0.01094     0.00105     0.00000     0.01200
   -15.66875     0.01197     0.00115     0.00000     0.01312
   -15.59075     0.01364     0.00132     0.00000     0.01496
   -15.51275     0.01644     0.00158     0.00000     0.01802
   -15.43375     0.02100     0.00201     0.00000     0.02301
   -15.35575     0.02422     0.00231     0.00000     0.02653
   -15.27675     0.02672     0.00255     0.00000     0.02927
   -15.19875     0.03065     0.00291     0.00000     0.03356
   -15.11975     0.03384     0.00321     0.00000     0.03705
