     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00009     0.00000     0.00000     0.00009
   -16.84575     0.05128     0.00012     0.00000     0.05140
   -16.76675     0.46230     0.00104     0.00000     0.46333
   -16.68875     0.13567     0.00030     0.00000     0.13598
   -16.61075     0.00171     0.00001     0.00000     0.00172
   -16.53175     0.14350     0.00128     0.00000     0.14478
   -16.45375     0.46897     0.00418     0.00000     0.47315
   -16.37475     0.12379     0.00166     0.00000     0.12545
   -16.29675     1.06177     0.01766     0.00000     1.07943
   -16.21775     1.33745     0.02332     0.00000     1.36077
   -16.13975     0.17056     0.00307     0.00000     0.17363
   -16.06175     0.37780     0.00840     0.00000     0.38620
   -15.98275     2.36424     0.05355     0.00000     2.41779
   -15.90475     1.90562     0.04477     0.00000     1.95039
   -15.82575     0.06143     0.00148     0.00000     0.06291
   -15.74775     0.12869     0.00392     0.00000     0.13262
   -15.66875     1.03066     0.03158     0.00000     1.06224
   -15.59075     1.20485     0.03971     0.00000     1.24456
   -15.51275     1.54289     0.04953     0.00000     1.59242
   -15.43375     1.46494     0.04655     0.00000     1.51149
   -15.35575     0.54499     0.01971     0.00000     0.56470
   -15.27675     1.34599     0.04756     0.00000     1.39355
   -15.19875     1.16112     0.04105     0.00000     1.20217
   -15.11975     0.60488     0.02277     0.00000     0.62765
