     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00000     0.00000     0.00000     0.00000
   -16.84575     0.00035     0.00003     0.00000     0.00039
   -16.76675     0.00317     0.00031     0.00000     0.00349
   -16.68875     0.00093     0.00009     0.00000     0.00102
   -16.61075     0.00002     0.00000     0.00000     0.00003
   -16.53175     0.00296     0.00028     0.00000     0.00325
   -16.45375     0.00968     0.00093     0.00000     0.01061
   -16.37475     0.00155     0.00015     0.00000     0.00170
   -16.29675     0.00792     0.00078     0.00000     0.00870
   -16.21775     0.01024     0.00101     0.00000     0.01125
   -16.13975     0.00139     0.00014     0.00000     0.00153
   -16.06175     0.00855     0.00082     0.00000     0.00938
   -15.98275     0.05313     0.00508     0.00000     0.05821
   -15.90475     0.03706     0.00356     0.00000     0.04062
   -15.82575     0.00107     0.00010     0.00000     0.00117
   -15.74775     0.00297     0.00029     0.00000     0.00325
   -15.66875     0.02319     0.00224     0.00000     0.02543
   -15.59075     0.01949     0.00188     0.00000     0.02137
   -15.51275     0.05177     0.00487     0.00000     0.05664
   -15.43375     0.06464     0.00606     0.00000     0.07070
   -15.35575     0.01747     0.00166     0.00000     0.01913
   -15.27675     0.04631     0.00432     0.00000     0.05063
   -15.19875     0.05375     0.00497     0.00000     0.05872
   -15.11975     0.02772     0.00260     0.00000     0.03032
