     #Energy           s           p           d       tot  
   -17.86575     0.00000     0.00000     0.00000     0.00000
   -17.78675     0.00000     0.00000     0.00000     0.00000
   -17.70875     0.00000     0.00000     0.00000     0.00000
   -17.62975     0.00000     0.00000     0.00000     0.00000
   -17.55175     0.00000     0.00000     0.00000     0.00000
   -17.47275     0.00000     0.00000     0.00000     0.00000
   -17.39475     0.00000     0.00000     0.00000     0.00000
   -17.31575     0.00000     0.00000     0.00000     0.00000
   -17.23775     0.00000     0.00000     0.00000     0.00000
   -17.15975     0.00000     0.00000     0.00000     0.00000
   -17.08075     0.00000     0.00000     0.00000     0.00000
   -17.00275     0.00000     0.00000     0.00000     0.00000
   -16.92375     0.00009     0.00000     0.00000     0.00009
   -16.84575     0.04904     0.00033     0.00000     0.04937
   -16.76675     0.44211     0.00297     0.00000     0.44508
   -16.68875     0.12974     0.00087     0.00000     0.13062
   -16.61075     0.00158     0.00003     0.00000     0.00161
   -16.53175     0.12927     0.00373     0.00000     0.13300
   -16.45375     0.42255     0.01218     0.00000     0.43473
   -16.37475     0.11136     0.00447     0.00000     0.11583
   -16.29675     0.95213     0.04632     0.00000     0.99845
   -16.21775     1.19359     0.06135     0.00000     1.25494
   -16.13975     0.15162     0.00809     0.00000     0.15971
   -16.06175     0.31782     0.02282     0.00000     0.34064
   -15.98275     1.98010     0.14672     0.00000     2.12683
   -15.90475     1.59943     0.12200     0.00000     1.72143
   -15.82575     0.05166     0.00401     0.00000     0.05567
   -15.74775     0.10239     0.01084     0.00000     0.11323
   -15.66875     0.82042     0.08713     0.00000     0.90755
   -15.59075     0.95996     0.10784     0.00000     1.06780
   -15.51275     1.18432     0.13698     0.00000     1.32130
   -15.43375     1.09421     0.13160     0.00000     1.22580
   -15.35575     0.40425     0.05569     0.00000     0.45994
   -15.27675     0.98459     0.13714     0.00000     1.12172
   -15.19875     0.82248     0.11971     0.00000     0.94219
   -15.11975     0.42656     0.06544     0.00000     0.49201
