#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             7.42396             7.42386
  0.0521             7.37955             6.97931
  0.1043             7.33522             6.60363
  0.1564             7.29105             6.35384
  0.2086             7.24711             6.26616
  0.2607             7.20349             6.26635
  0.3129             7.16025             6.26616
  0.3650             7.11749             6.26635
  0.4171             7.07527             6.26616
  0.4693             7.03367             6.26635
  0.5214             6.99278             6.26616
  0.5736             6.95267             6.26635
  0.6257             6.91341             6.26616
  0.6779             6.87510             6.26635
  0.7300             6.83779             6.26616
  0.7822             6.80159             6.26635
  0.8343             6.76655             6.26616
  0.8864             6.73276             6.26635
  0.9386             6.70029             6.26616
  0.9907             6.66921             6.26635
  1.0429             6.63955             6.26616
  1.0950             6.61134             6.26636
  1.1472             6.58457             6.26617
  1.1993             6.55922             6.26636
  1.2514             6.53526             6.26617
  1.3036             6.51264             6.26636
  1.3557             6.49133             6.26617
  1.4079             6.47129             6.26636
  1.4600             6.45247             6.26617
  1.5122             6.43485             6.26636
  1.5643             6.41838             6.26617
  1.6164             6.40302             6.26636
  1.6686             6.38874             6.26617
  1.7207             6.37548             6.26636
  1.7729             6.36323             6.26617
  1.8250             6.35192             6.26636
  1.8772             6.34154             6.26617
  1.9293             6.33203             6.26636
  1.9815             6.32336             6.26616
  2.0336             6.31549             6.26636
  2.0857             6.30838             6.26616
  2.1379             6.30199             6.26636
  2.1900             6.29628             6.26616
  2.2422             6.29121             6.26636
  2.2943             6.28675             6.26616
  2.3465             6.28285             6.26636
  2.3986             6.27947             6.26616
  2.4507             6.27658             6.26636
  2.5029             6.27413             6.26615
  2.5550             6.27208             6.26636
  2.6072             6.27040             6.26615
  2.6593             6.26904             6.26636
  2.7115             6.26797             6.26614
  2.7636             6.26714             6.26635
  2.8158             6.26651             6.26614
  2.8679             6.26605             6.26635
  2.9200             6.26571             6.26613
  2.9722             6.26544             6.26634
  3.0243             6.26522             6.26612
  3.0765             6.26501             6.26633
  3.1286             6.26479             6.26610
  3.1808             6.26453             6.26631
  3.2329             6.26424             6.26608
  3.2850             6.26389             6.26629
  3.3372             6.26348             6.26606
  3.3893             6.26300             6.26627
  3.4415             6.26244             6.26603
  3.4936             6.26177             6.26623
  3.5458             6.26099             6.26599
  3.5979             6.26007             6.26619
  3.6500             6.25897             6.26593
  3.7022             6.25769             6.26613
  3.7543             6.25617             6.26586
  3.8065             6.25440             6.26605
  3.8586             6.25232             6.26577
  3.9108             6.24990             6.26594
  3.9629             6.24711             6.26564
  4.0151             6.24389             6.26580
  4.0672             6.24021             6.26548
  4.1193             6.23604             6.26561
  4.1715             6.23132             6.26525
  4.2236             6.22602             6.26536
  4.2758             6.22010             6.26495
  4.3279             6.21352             6.26501
  4.3801             6.20621             6.26455
  4.4322             6.19813             6.26454
  4.4843             6.18920             6.26400
  4.5365             6.17933             6.26391
  4.5886             6.16843             6.26325
  4.6408             6.15636             6.26304
  4.6929             6.14298             6.26224
  4.7451             6.12814             6.26186
  4.7972             6.11166             6.26086
  4.8493             6.09337             6.26026
  4.9015             6.07306             6.25898
  4.9536             6.05052             6.25806
  5.0058             6.02553             6.25639
  5.0579             5.99785             6.25504
  5.1101             5.96720             6.25285
  5.1622             5.93331             6.25089
  5.2144             5.89588             6.24798
  5.2665             5.85458             6.24517
  5.3186             5.80908             6.24126
  5.3708             5.75905             6.23729
  5.4229             5.70414             6.23198
  5.4751             5.64401             6.22637
  5.5272             5.57834             6.21912
  5.5794             5.50681             6.21123
  5.6315             5.42913             6.20127
  5.6836             5.34501             6.19019
  5.7358             5.25420             6.17644
  5.7879             5.15645             6.16089
  5.8401             5.05157             6.14181
  5.8922             4.93935             6.11996
  5.9444             4.81964             6.09340
  5.9965             4.69228             6.06270
  6.0486             4.55718             6.02560
  6.1008             4.41424             5.98241
  6.1529             4.26337             5.93044
  6.2051             4.10455             5.86963
  6.2572             3.93776             5.79668
  6.3094             3.76298             5.71100
  6.3615             3.58027             5.60825
  6.4137             3.38967             5.48647
  6.4658             3.19130             5.33940
  6.5179             2.98530             5.16823
  6.5701             2.77187             4.97001
  6.6222             2.55128             4.75405
  6.6744             2.32386             4.53678
  6.7265             2.08997             4.33434
  6.7787             1.85006             4.15714
  6.8308             1.60459             4.01639
  6.8829             1.35406             3.91740
  6.9351             1.09901             3.86403
  6.9872             0.84002             3.84824
  7.0394             0.57767             3.85770
  7.0915             0.31262             3.86998
  7.1437             0.04556             3.86545
  7.1958            -0.22279             3.81540
  7.2480            -0.49165             3.70776
  7.3001            -0.76020             3.53836
  7.3522            -1.02756             3.22454
  7.4044            -1.29288             2.69533
  7.4565            -1.55527             1.93215
  7.5087            -1.81387             0.96530
  7.5608            -2.06785            -0.13093
  7.6130            -2.31643            -1.27489
  7.6651            -2.55887            -2.34713
  7.7172            -2.79450            -3.29374
  7.7694            -3.02270            -4.14253
  7.8215            -3.24291            -4.94429
  7.8737            -3.45465            -5.76786
  7.9258            -3.65748            -6.66982
  7.9780            -3.85104            -7.68498
  8.0301            -4.03506            -8.82766
  8.0822            -4.20929           -10.07986
  8.1344            -4.37358           -11.38982
  8.1865            -4.52784           -12.67687
  8.2387            -4.67204           -13.85119
  8.2908            -4.80619           -14.82593
  8.3430            -4.93039           -15.53921
  8.3951            -5.04476           -15.95953
  8.4473            -5.14947           -16.09604
  8.4994            -5.24474           -15.98617
