# coord_A   rho_avg_e_per_A3
0.000000000000000000e+00 6.080736645524866251e-05
4.285714285714285754e-02 5.094474327855469728e-05
8.571428571428571508e-02 4.096752438102845668e-05
1.285714285714285587e-01 3.087916903295402274e-05
1.714285714285714302e-01 2.069699744334290302e-05
2.142857142857143016e-01 1.044642138510939220e-05
2.571428571428571175e-01 1.622176038545457519e-07
2.999999999999999889e-01 -1.011385094341971444e-05
3.428571428571428603e-01 -2.034618069057421566e-05
3.857142857142857317e-01 -3.051961601643459615e-05
4.285714285714286031e-01 -4.064023583735981748e-05
4.714285714285714191e-01 -5.072243448846425673e-05
5.142857142857142350e-01 -6.077622181161375641e-05
5.571428571428571619e-01 -7.080381168803033954e-05
5.999999999999999778e-01 -8.079954771312330606e-05
6.428571428571429047e-01 -9.074487893462078794e-05
6.857142857142857206e-01 -1.006035718298496650e-04
7.285714285714285365e-01 -1.103297510590189802e-04
7.714285714285714635e-01 -1.198881021808504793e-04
8.142857142857142794e-01 -1.292679793674363726e-04
8.571428571428572063e-01 -1.384775013183001547e-04
9.000000000000000222e-01 -1.475273704236104851e-04
9.428571428571428381e-01 -1.564253363150726545e-04
9.857142857142857650e-01 -1.651834453634865485e-04
1.028571428571428470e+00 -1.738166581738806080e-04
1.071428571428571397e+00 -1.823199665819074094e-04
1.114285714285714324e+00 -1.906466145823727766e-04
1.157142857142857251e+00 -1.987240632332299350e-04
1.199999999999999956e+00 -2.065076741526517597e-04
1.242857142857142883e+00 -2.140217486073906254e-04
1.285714285714285809e+00 -2.213390872391015794e-04
1.328571428571428514e+00 -2.285133656938392096e-04
1.371428571428571441e+00 -2.355341119822142713e-04
1.414285714285714368e+00 -2.423522938921473125e-04
1.457142857142857073e+00 -2.489446702269128894e-04
1.500000000000000000e+00 -2.553401994041373585e-04
1.542857142857142927e+00 -2.615781989498359842e-04
1.585714285714285632e+00 -2.676523550710101424e-04
1.628571428571428559e+00 -2.735143438086651150e-04
1.671428571428571486e+00 -2.791390242832834717e-04
1.714285714285714413e+00 -2.845756107900457841e-04
1.757142857142857117e+00 -2.899217195647533270e-04
1.800000000000000044e+00 -2.952471362542701287e-04
1.842857142857142971e+00 -3.005533871153124150e-04
1.885714285714285676e+00 -3.058115415140100278e-04
1.928571428571428603e+00 -3.110273235654363415e-04
1.971428571428571530e+00 -3.162536165762723072e-04
2.014285714285714235e+00 -3.215404543759340554e-04
2.057142857142856940e+00 -3.268938861430804930e-04
2.100000000000000089e+00 -3.323057938640092764e-04
2.142857142857142794e+00 -3.378267978085750640e-04
2.185714285714285943e+00 -3.435940922007745934e-04
2.228571428571428648e+00 -3.497711390112041548e-04
2.271428571428571352e+00 -3.564554316539821858e-04
2.314285714285714501e+00 -3.636480442787298783e-04
2.357142857142857206e+00 -3.713124475996574777e-04
2.399999999999999911e+00 -3.794589426366316723e-04
2.442857142857143060e+00 -3.881768999916741271e-04
2.485714285714285765e+00 -3.976057178086296324e-04
2.528571428571428470e+00 -4.078987933907532318e-04
2.571428571428571619e+00 -4.192224964492432789e-04
2.614285714285714324e+00 -4.317719381622342695e-04
2.657142857142857029e+00 -4.457591151376729950e-04
2.700000000000000178e+00 -4.613677731046482954e-04
2.742857142857142883e+00 -4.787200916992869143e-04
2.785714285714285587e+00 -4.978979154722466957e-04
2.828571428571428736e+00 -5.190090150507510819e-04
2.871428571428571441e+00 -5.422486580504016617e-04
2.914285714285714146e+00 -5.679198937818997909e-04
2.957142857142857295e+00 -5.964176811043238931e-04
3.000000000000000000e+00 -6.282011230681775003e-04
3.042857142857142705e+00 -6.637626747992929734e-04
3.085714285714285854e+00 -7.035877196089454413e-04
