# coord_A   rho_avg_e_per_A3
0.000000000000000000e+00 6.080736645525055986e-05
4.285714285714285754e-02 5.094474327855274572e-05
8.571428571428571508e-02 4.096752438103045568e-05
1.285714285714285587e-01 3.087916903295491721e-05
1.714285714285714302e-01 2.069699744334379748e-05
2.142857142857143016e-01 1.044642138510966156e-05
2.571428571428571175e-01 1.622176038542916685e-07
2.999999999999999889e-01 -1.011385094342003801e-05
3.428571428571428603e-01 -2.034618069057404625e-05
3.857142857142857317e-01 -3.051961601643092342e-05
4.285714285714286031e-01 -4.064023583735913985e-05
4.714285714285714191e-01 -5.072243448846458199e-05
5.142857142857142350e-01 -6.077622181161375641e-05
5.571428571428571619e-01 -7.080381168803035309e-05
5.999999999999999778e-01 -8.079954771312330606e-05
6.428571428571429047e-01 -9.074487893461935138e-05
6.857142857142857206e-01 -1.006035718298487977e-04
7.285714285714285365e-01 -1.103297510590279114e-04
7.714285714285714635e-01 -1.198881021808261932e-04
8.142857142857142794e-01 -1.292679793674342585e-04
8.571428571428572063e-01 -1.384775013183376952e-04
9.000000000000000222e-01 -1.475273704235583621e-04
9.428571428571428381e-01 -1.564253363150428389e-04
9.857142857142857650e-01 -1.651834453634869822e-04
1.028571428571428470e+00 -1.738166581738475398e-04
1.071428571428571397e+00 -1.823199665819141043e-04
1.114285714285714324e+00 -1.906466145823802034e-04
1.157142857142857251e+00 -1.987240632332405602e-04
1.199999999999999956e+00 -2.065076741526581023e-04
1.242857142857142883e+00 -2.140217486074030666e-04
1.285714285714285809e+00 -2.213390872391065125e-04
1.328571428571428514e+00 -2.285133656938419743e-04
1.371428571428571441e+00 -2.355341119822429755e-04
1.414285714285714368e+00 -2.423522938921202617e-04
1.457142857142857073e+00 -2.489446702268587877e-04
1.500000000000000000e+00 -2.553401994040686743e-04
1.542857142857142927e+00 -2.615781989498202091e-04
1.585714285714285632e+00 -2.676523550709869947e-04
1.628571428571428559e+00 -2.735143438086523214e-04
1.671428571428571486e+00 -2.791390242831896882e-04
1.714285714285714413e+00 -2.845756107900511509e-04
1.757142857142857117e+00 -2.899217195647456834e-04
1.800000000000000044e+00 -2.952471362542857412e-04
1.842857142857142971e+00 -3.005533871153311175e-04
1.885714285714285676e+00 -3.058115415139933311e-04
1.928571428571428603e+00 -3.110273235654546103e-04
1.971428571428571530e+00 -3.162536165762674283e-04
2.014285714285714235e+00 -3.215404543759340554e-04
2.057142857142856940e+00 -3.268938861430804930e-04
2.100000000000000089e+00 -3.323057938640092222e-04
2.142857142857142794e+00 -3.378267978085750640e-04
2.185714285714285943e+00 -3.435940922007745934e-04
2.228571428571428648e+00 -3.497711390112041548e-04
