# coord_A   integrated_rho
0.000000000000000000e+00 2.606029990939309841e-06
4.285714285714285754e-02 4.789376131448712491e-06
8.571428571428571508e-02 6.545127176350017444e-06
1.285714285714285587e-01 7.868520134905228883e-06
1.714285714285714302e-01 8.755534311048534054e-06
2.142857142857143016e-01 9.203238084696090736e-06
2.571428571428571175e-01 9.210190267718418495e-06
2.999999999999999889e-01 8.776739513000415729e-06
3.428571428571428603e-01 7.904760340547243238e-06
3.857142857142857317e-01 6.596776796985917755e-06
4.285714285714286031e-01 4.855052403956240623e-06
4.714285714285714191e-01 2.681233783022044132e-06
5.142857142857142350e-01 7.653856252431158845e-08
5.571428571428571619e-01 -2.957910509819846566e-06
5.999999999999999778e-01 -6.420748268953702734e-06
6.428571428571429047e-01 -1.030981450900881757e-05
6.857142857142857206e-01 -1.462139615885947854e-05
7.285714285714285365e-01 -1.934981406138924540e-05
7.714285714285714635e-01 -2.448787558342465387e-05
8.142857142857142794e-01 -3.002793184202897720e-05
8.571428571428572063e-01 -3.596268189852916414e-05
9.000000000000000222e-01 -4.228528348811023719e-05
9.428571428571428381e-01 -4.898922647304063973e-05
9.857142857142857650e-01 -5.606851698861865557e-05
1.028571428571428470e+00 -6.351780233892639915e-05
1.071428571428571397e+00 -7.133151519243700943e-05
1.114285714285714324e+00 -7.950208438882473011e-05
1.157142857142857251e+00 -8.801882995596361126e-05
1.199999999999999956e+00 -9.686915884822038165e-05
1.242857142857142883e+00 -1.060415195028233787e-04
1.285714285714285809e+00 -1.155274803844993714e-04
1.328571428571428514e+00 -1.253209103428068872e-04
1.371428571428571441e+00 -1.354152294277601596e-04
1.414285714285714368e+00 -1.458017563088510047e-04
1.457142857142857073e+00 -1.564708136042878347e-04
1.500000000000000000e+00 -1.674139650073193516e-04
1.542857142857142927e+00 -1.786244592480259498e-04
1.585714285714285632e+00 -1.900952744653539429e-04
1.628571428571428559e+00 -2.018173177714390409e-04
1.671428571428571486e+00 -2.137804188121471564e-04
1.714285714285714413e+00 -2.259765164174350660e-04
1.757142857142857117e+00 -2.384017329702098733e-04
1.800000000000000044e+00 -2.510551816668221302e-04
1.842857142857142971e+00 -2.639360411146220576e-04
1.885714285714285676e+00 -2.770422500366503146e-04
1.928571428571428603e+00 -2.903719924751697987e-04
1.971428571428571530e+00 -3.039257188998669649e-04
2.014285714285714235e+00 -3.177060240874069927e-04
2.057142857142856940e+00 -3.317157620649676124e-04
2.100000000000000089e+00 -3.459574389448536987e-04
2.142857142857142794e+00 -3.604357302795069382e-04
2.185714285714285943e+00 -3.751611913738258524e-04
2.228571428571428648e+00 -3.901513830457346019e-04
2.271428571428571352e+00 -4.054280444023338013e-04
2.314285714285714501e+00 -4.210129605857079412e-04
2.357142857142857206e+00 -4.369263511971218099e-04
2.399999999999999911e+00 -4.531888773101203148e-04
2.442857142857143060e+00 -4.698250301669062946e-04
2.485714285714285765e+00 -4.868652752158475700e-04
2.528571428571428470e+00 -5.043466520754512784e-04
2.571428571428571619e+00 -5.223133304947045726e-04
2.614285714285714324e+00 -5.408178421302289093e-04
2.657142857142857029e+00 -5.599218042075576520e-04
2.700000000000000178e+00 -5.796947087691854423e-04
2.742857142857142883e+00 -6.002112841277263550e-04
2.785714285714285587e+00 -6.215497662193941340e-04
2.828571428571428736e+00 -6.437930097215691788e-04
2.871428571428571441e+00 -6.670322379237292407e-04
2.914285714285714146e+00 -6.913716619429535531e-04
2.957142857142857295e+00 -7.169324197045674188e-04
3.000000000000000000e+00 -7.438553249789177715e-04
3.042857142857142705e+00 -7.723022967560304406e-04
3.085714285714285854e+00 -8.024560561678422983e-04
