# i  j  sym_i  sym_j  dist_A  frob  nn  tt
  59   32  Si   O     1.611102      30.30903518      29.18390300       4.76839550
  60   31  Si   O     1.611135      30.30264366      29.17789000       4.76882800
  58   28  Si   O     1.717769      15.61638638      15.03016000       4.96350750
  57   27  Si   O     1.717815      15.61149474      15.02515700       4.96435850
  57    1  Si  Ga     3.104195       4.52248888       4.42740400       0.84377750
  58    2  Si  Ga     3.104152       4.52240677       4.42728950       0.84406050
  80   31   C   O     2.745518       3.32497654       2.53222600       0.74241750
  79   32   C   O     2.745491       3.32451856       2.53171900       0.74255200
  59   14  Si  Ga     3.530905       3.06702941       3.05282600       0.28492800
  60   13  Si  Ga     3.530919       3.06699243       3.05279850       0.28447600
  78   28   C   O     2.770816       3.03180743       2.41536850       0.83650550
  77   27   C   O     2.770863       3.03138853       2.41494750       0.83657000
  57   31  Si   O     3.491961       2.92699390       2.36891650       0.49862400
  58   32  Si   O     3.491906       2.92676100       2.36860150       0.49873100
  57   32  Si   O     3.456382       2.79074037       2.44309100       0.67805750
  58   31  Si   O     3.456365       2.79016536       2.44252550       0.67809550
  60   28  Si   O     3.482558       2.55411417       2.10981700       0.30642600
  59   27  Si   O     3.482556       2.55373028       2.10939350       0.30638350
  60   27  Si   O     3.358712       2.53547851       2.22891050       0.36556800
  59   28  Si   O     3.358680       2.53512030       2.22854950       0.36555400
  59    1  Si  Ga     3.951988       2.36708835       0.82909400       0.03150550
  60    2  Si  Ga     3.951970       2.36705740       0.82914050       0.03126550
  60    1  Si  Ga     3.854124       2.35179166       0.66595050       0.19666500
  59    2  Si  Ga     3.854165       2.35156684       0.66589050       0.19687250
  77   32   C   O     2.920116       2.08938717       0.65601600       0.34438400
  78   31   C   O     2.920093       2.08915293       0.65646000       0.34433050
  79   28   C   O     2.879207       2.05740329       0.91204750       0.38231150
  80   27   C   O     2.879218       2.05724622       0.91195950       0.38210850
  59   17  Si   O     3.957784       1.29857476       0.63319700       0.55828650
  60   18  Si   O     3.957822       1.29851130       0.63341850       0.55825850
  60   35  Si   O     3.942546       1.23676758       0.75970200       0.37622750
  59   36  Si   O     3.942548       1.23673158       0.75981650       0.37632400
  78    2   C  Ga     3.485723       1.15294179       0.96053050       0.44464250
  77    1   C  Ga     3.485774       1.15270959       0.96034100       0.44454450
  80    1   C  Ga     3.961697       0.86016637       0.21122250       0.33293050
  79    2   C  Ga     3.961707       0.86013429       0.21120150       0.33295650
