# i  j  sym_i  sym_j  dist_A  frob  nn  tt
  66   18  Si   O     1.603240      31.46804877      31.31125650       3.61646950
  68   30  Si   O     1.603237      31.46610816      31.30890150       3.61655350
  69   22  Si   O     1.648053      24.74764545      24.45119150       4.96071650
  65   34  Si   O     1.648074      24.74271991      24.44620950       4.96095100
  67   26  Si   O     1.731052      14.70582490      14.08909750       5.76397800
  70   38  Si   O     1.731086      14.70213381      14.08516200       5.76450700
  67    6  Si  Ga     3.067941       5.39429165       3.31642150       1.52313900
  70   14  Si  Ga     3.067951       5.39400558       3.31622800       1.52284950
  65   14  Si  Ga     2.955124       5.10955767       2.04642700       0.62435000
  69    6  Si  Ga     2.955115       5.10943022       2.04667650       0.62443150
  68   10  Si  Ga     3.390433       3.80789877       3.76637500       0.29275550
  66    2  Si  Ga     3.390471       3.80765001       3.76611850       0.29289650
  67   22  Si   O     3.462409       3.48469248       2.53440300       0.11180250
  70   34  Si   O     3.462470       3.48364026       2.53278950       0.11165900
  96   18   C   O     2.884887       3.29169627       2.71745450       1.02511900
  98   30   C   O     2.885080       3.29014222       2.71531600       1.02498150
  69   26  Si   O     3.432829       3.10489981       2.41570350       0.12617950
  65   38  Si   O     3.432895       3.10436932       2.41426650       0.12592100
  95   34   C   O     2.876334       3.08493875       2.48319550       1.66682350
  99   22   C   O     2.876345       3.08451956       2.48307600       1.66685050
  97   26   C   O     2.901100       3.00724467       2.14523300       0.79878850
 100   38   C   O     2.901089       3.00668490       2.14396550       0.79852100
  69   18  Si   O     3.509473       2.60600722       1.87404400       0.37653050
  65   30  Si   O     3.509876       2.60414987       1.87233300       0.37692800
  97   30   C   O     2.855970       2.42940626       1.20085650       0.34220050
 100   18   C   O     2.856221       2.42738675       1.19831900       0.34296850
  67   30  Si   O     3.521008       2.35586428       1.94101000       0.54187600
  70   18  Si   O     3.521296       2.35489210       1.94009650       0.54219050
  99   26   C   O     2.860431       2.27174448       1.03141100       0.59801950
  95   38   C   O     2.860473       2.27169604       1.03154600       0.59861250
  96   22   C   O     2.896625       2.20045363       0.74003450       0.49770350
  98   34   C   O     2.896610       2.19996759       0.73883000       0.49862750
  66   38  Si   O     3.551549       1.96974145       1.48240700       0.52895850
  68   26  Si   O     3.551514       1.96840606       1.48070550       0.52857800
  66   22  Si   O     3.482180       1.91794154       1.51448400       0.74425200
  68   34  Si   O     3.482209       1.91476075       1.51078900       0.74449750
  99    6   C  Ga     3.517101       1.70930978       0.88805350       1.09499150
  95   14   C  Ga     3.517083       1.70902576       0.88805000       1.09447900
 100   14   C  Ga     3.532448       1.51007877       0.42634450       0.26465600
  97    6   C  Ga     3.532455       1.51005399       0.42618900       0.26405900
