# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 1.333716 2.987326 3.020113 2.447052
0.025000 1.946651 3.689529 4.616043 3.417408
0.035000 1.869932 2.330947 4.690573 2.963817
0.045000 1.532436 0.893025 4.035511 2.153657
0.055000 1.208939 0.840624 3.360786 1.803450
0.065000 0.904372 1.872428 2.786615 1.854472
0.075000 0.554543 2.626505 2.038204 1.739751
0.085000 0.235852 2.415759 0.992829 1.214813
0.095000 0.118852 1.876489 -0.174150 0.607063
0.105000 0.295957 1.924610 -1.174751 0.348606
0.115000 0.664222 2.422377 -1.815010 0.423863
0.125000 0.986434 2.220388 -2.069085 0.379245
0.135000 1.129429 0.702845 -1.941388 -0.036371
0.145000 1.163714 -1.124621 -1.405088 -0.455332
0.155000 1.205897 -1.548168 -0.499150 -0.280474
0.165000 1.251849 -0.053918 0.648849 0.615593
0.175000 1.207210 1.947981 1.909357 1.688183
0.185000 1.066772 2.520709 3.213255 2.266912
0.195000 0.964417 1.263360 4.425293 2.217690
0.205000 0.997210 -0.325862 5.173472 1.948273
0.215000 1.085587 -0.546071 5.028202 1.855906
0.225000 1.056779 0.753909 3.910535 1.907074
0.235000 0.849938 2.239609 2.254640 1.781396
0.245000 0.607269 2.741201 0.752347 1.366939
0.255000 0.528995 2.515935 -0.144676 0.966751
0.265000 0.662516 2.648861 -0.509455 0.933974
0.275000 0.867703 3.469200 -0.734455 1.200816
0.285000 0.983747 4.053235 -1.092131 1.314950
0.295000 1.004847 3.424621 -1.456782 0.990895
0.305000 1.056465 1.960364 -1.414710 0.534040
0.315000 1.209724 1.177097 -0.659677 0.575715
0.325000 1.366457 2.000420 0.712553 1.359810
0.335000 1.347256 3.583459 2.250146 2.393620
0.345000 1.091792 4.123922 3.462117 2.892610
0.355000 0.753308 2.803663 4.139884 2.565618
0.365000 0.566249 0.707355 4.392624 1.888742
