Guo et al.
Direction,Temperature_K,ThermalConductivity_W_per_mK
[001],80,360
[001],100,110
[001],150,75
[001],200,30
[001],250,22
[001],300,14.8
[001],350,11.5
[001],400,9.0
[001],450,8.0
[001],495,7.5
[100],80,230
[100],100,100
[100],150,60
[100],200,25
[100],250,18
[100],300,10.9
[100],350,8.5
[100],400,7.5
[100],450,6.5
[100],495,6.0
[010],80,430
[010],100,150
[010],150,110
[010],200,40
[010],250,33
[010],300,27.0
[010],350,20
[010],400,16
[010],450,14
[010],495,13
[-201],80,300
[-201],100,140
[-201],150,90
[-201],200,28
[-201],250,22
[-201],300,21
[-201],350,17
[-201],400,14
[-201],450,13
[-201],495,12
Jiang et al.
Direction,Temperature_K,ThermalConductivity_W_per_mK
[100],200,17.2
[100],300,11.0
[100],400,8.0
[100],500,6.2
[010],200,34.0
[010],300,22.0
[010],400,16.8
[010],500,13.0
[001],200,20.0
[001],300,13.5
[001],400,10.0
[001],500,7.8
