# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 1.338439 1.347459 1.065724 1.250541
0.025000 1.479373 1.495273 1.064288 1.346311
0.035000 1.658164 1.677108 1.107736 1.481002
0.045000 2.069801 2.087611 1.406760 1.854724
0.055000 2.334710 2.345710 1.735847 2.138755
0.065000 2.131107 2.130374 1.867884 2.043122
0.075000 1.672349 1.658653 1.829338 1.720114
0.085000 1.669766 1.644157 1.973437 1.762454
0.095000 2.022511 1.988463 2.225987 2.078987
0.105000 2.055240 2.016778 2.239778 2.103932
0.115000 1.840248 1.802638 2.148519 1.930468
0.125000 2.057084 2.026170 2.304585 2.129280
0.135000 2.770812 2.746850 2.627241 2.714968
0.145000 3.186086 3.168742 2.624827 2.993218
0.155000 3.196556 3.185074 2.437732 2.939787
0.165000 3.297536 3.287782 2.516008 3.033776
0.175000 3.667158 3.655060 2.863289 3.395169
0.185000 3.886343 3.867550 3.137196 3.630363
0.195000 3.542291 3.513101 3.056795 3.370729
0.205000 3.181174 3.141320 2.957385 3.093293
0.215000 3.326980 3.278172 3.161671 3.255607
0.225000 3.589140 3.532281 3.479809 3.533744
0.235000 3.514339 3.452097 3.656907 3.541114
0.245000 3.452742 3.391896 3.733607 3.526082
0.255000 3.890134 3.835563 3.820083 3.848593
0.265000 4.562772 4.515483 3.936041 4.338098
0.275000 4.889747 4.851265 4.059935 4.600316
0.285000 4.942223 4.912516 4.193728 4.682822
0.295000 5.258072 5.233933 4.395920 4.962641
0.305000 5.715944 5.691573 4.545803 5.317773
0.315000 5.798940 5.767809 4.622607 5.396452
0.325000 5.479882 5.439388 4.686101 5.201790
0.335000 5.312589 5.261230 4.809426 5.127748
0.345000 5.486849 5.422715 5.053034 5.320866
0.355000 5.548757 5.473269 5.295539 5.439188
0.365000 5.343755 5.261173 5.376420 5.327116
0.375000 5.349238 5.264969 5.321713 5.311973
0.385000 5.833305 5.750800 5.354283 5.646129
0.395000 6.360876 6.281907 5.613400 6.085394
0.405000 6.536943 6.463718 5.904683 6.301781
0.415000 6.687542 6.620807 5.956276 6.421542
0.425000 7.145316 7.082333 5.861097 6.696249
0.435000 7.547077 7.482502 5.931612 6.987063
0.445000 7.498478 7.427075 6.214119 7.046557
0.455000 7.240837 7.160699 6.421256 6.940931
0.465000 7.240533 7.148708 6.443661 6.944300
0.475000 7.378358 7.273232 6.482253 7.044614
0.485000 7.257886 7.141588 6.647508 7.015661
0.495000 7.018725 6.895608 6.774517 6.896283
0.505000 7.146410 7.022103 6.786611 6.985041
0.515000 7.633055 7.510969 6.905065 7.349696
0.525000 7.991583 7.874201 7.182590 7.682791
0.535000 8.121831 8.011985 7.305768 7.813195
0.545000 8.425391 8.324267 7.166537 7.972065
0.555000 8.970888 8.874632 7.158450 8.334656
0.565000 9.277071 9.180780 7.494573 8.650808
0.575000 9.144974 9.045712 7.803287 8.664658
0.585000 8.987803 8.881383 7.740511 8.536566
0.595000 9.081257 8.963752 7.568547 8.537852
0.605000 9.110590 8.980839 7.710023 8.600484
0.615000 8.832581 8.691324 8.035471 8.519792
0.625000 8.609797 8.462362 8.145414 8.405858
0.635000 8.823373 8.675029 8.079071 8.525824
0.645000 9.221083 9.073788 8.144890 8.813254
0.655000 9.404803 9.262452 8.342946 9.003400
0.665000 9.534494 9.401909 8.428100 9.121501
0.675000 9.965826 9.841731 8.434658 9.414072
0.685000 10.516708 10.397032 8.606306 9.840015
0.695000 10.711950 10.594761 8.855980 10.054230
0.705000 10.584773 10.466225 8.892080 9.981026
0.715000 10.572124 10.447453 8.765885 9.928487
0.725000 10.721908 10.587698 8.844193 10.051266
0.735000 10.649713 10.502349 9.177400 10.109821
0.745000 10.315707 10.156003 9.374930 9.948880
0.755000 10.187155 10.019736 9.283859 9.830250
0.765000 10.464566 10.292151 9.218216 9.991644
0.775000 10.764581 10.589668 9.394675 10.249642
0.785000 10.847319 10.675567 9.635260 10.386049
0.795000 11.039818 10.874697 9.730712 10.548409
0.805000 11.572323 11.413875 9.744907 10.910368
0.815000 12.076483 11.923977 9.802572 11.267677
0.825000 12.184900 12.033994 9.891536 11.370143
0.835000 12.118385 11.965601 9.975955 11.353313
0.845000 12.234045 12.075985 10.087122 11.465717
0.855000 12.375059 12.206247 10.229790 11.603699
0.865000 12.188081 12.006050 10.317388 11.503839
0.875000 11.841107 11.648079 10.316892 11.268693
0.885000 11.800819 11.598945 10.336038 11.245267
0.895000 12.054220 11.847302 10.464036 11.455186
0.905000 12.207819 12.000259 10.648740 11.618939
0.915000 12.235325 12.029742 10.767668 11.677578
0.925000 12.507249 12.308413 10.780211 11.865291
0.935000 13.067516 12.876868 10.761825 12.235403
0.945000 13.479555 13.294324 10.829794 12.534558
0.955000 13.539506 13.357672 11.019428 12.638869
0.965000 13.571330 13.390102 11.206833 12.722755
0.975000 13.778577 13.594019 11.245425 12.872674
0.985000 13.859305 13.666690 11.184184 12.903393
0.995000 13.591888 13.388617 11.234951 12.738485
1.005000 13.301718 13.088341 11.450166 12.613408
1.015000 13.332931 13.110925 11.627189 12.690348
1.025000 13.510198 13.284628 11.645554 12.813460
1.035000 13.538584 13.312314 11.640236 12.830378
1.045000 13.572925 13.349371 11.736672 12.886323
1.055000 13.928414 13.714971 11.853020 13.165468
1.065000 14.464957 14.261226 11.910445 13.545543
1.075000 14.779214 14.582484 12.004948 13.788882
1.085000 14.856948 14.665971 12.170627 13.897849
1.095000 15.010601 14.820856 12.241393 14.024283
1.105000 15.247399 15.054628 12.169140 14.157055
1.115000 15.241017 15.039865 12.188237 14.156373
1.125000 14.948047 14.734699 12.432693 14.038479
1.135000 14.736922 14.513125 12.652119 13.967389
1.145000 14.791302 14.558102 12.600232 13.983212
1.155000 14.859945 14.619353 12.471837 13.983712
1.165000 14.796966 14.552359 12.585359 13.978228
1.175000 14.877399 14.633446 12.853287 14.121377
1.185000 15.285495 15.047061 12.954877 14.429144
1.195000 15.752996 15.520754 12.886211 14.719987
1.205000 15.994008 15.767994 12.907139 14.889713
1.215000 16.138112 15.916712 13.055024 15.036616
1.225000 16.406348 16.186583 13.139658 15.244196
1.235000 16.638269 16.416315 13.151777 15.402120
1.245000 16.558545 16.329032 13.259181 15.382252
1.255000 16.299266 16.059071 13.422585 15.260307
1.265000 16.192239 15.941566 13.438194 15.190666
1.275000 16.230243 15.969957 13.353205 15.184468
1.285000 16.178510 15.910710 13.440166 15.176462
1.295000 16.079360 15.807167 13.702095 15.196208
1.305000 16.221397 15.950376 13.830959 15.334244
1.315000 16.628586 16.364110 13.732893 15.575196
1.325000 16.993232 16.735056 13.673378 15.800555
1.335000 17.185156 16.933418 13.828761 15.982445
1.345000 17.412016 17.167307 14.033014 16.204112
1.355000 17.748118 17.507323 14.088666 16.448036
1.365000 17.928178 17.685900 14.063222 16.559100
1.375000 17.802581 17.554206 14.104568 16.487118
1.385000 17.609729 17.352759 14.192278 16.384922
1.395000 17.572250 17.304320 14.262354 16.379641
1.405000 17.557581 17.277929 14.349123 16.394878
1.415000 17.408787 17.119212 14.466428 16.331476
1.425000 17.313961 17.018690 14.527546 16.286732
1.435000 17.515407 17.221027 14.511231 16.415888
1.445000 17.884989 17.596265 14.536512 16.672589
1.455000 18.149611 17.868111 14.673988 16.897237
1.465000 18.344049 18.071427 14.834011 17.083162
1.475000 18.666181 18.403090 14.895762 17.321678
1.485000 19.028376 18.772780 14.875206 17.558787
1.495000 19.150900 18.895352 14.885300 17.643851
1.505000 19.026289 18.764228 14.983708 17.591408
1.515000 18.923216 18.653748 15.131667 17.569543
1.525000 18.925296 18.645662 15.242652 17.604537
1.535000 18.836027 18.542917 15.256254 17.545066
1.545000 18.624980 18.320216 15.218804 17.388000
1.555000 18.562692 18.252115 15.258635 17.357814
1.565000 18.785190 18.475718 15.412167 17.557692
1.575000 19.079991 18.772752 15.548786 17.800510
1.585000 19.270955 18.966068 15.564263 17.933762
1.595000 19.498864 19.201415 15.538093 18.079458
1.605000 19.891166 19.603348 15.590386 18.361633
1.615000 20.245233 19.962156 15.696741 18.634710
1.625000 20.321755 20.038572 15.775236 18.711854
1.635000 20.232282 19.946086 15.839990 18.672786
1.645000 20.214877 19.922774 15.922922 18.686857
1.655000 20.217339 19.916694 15.963495 18.699176
1.665000 20.054661 19.740287 15.940455 18.578468
1.675000 19.821266 19.494138 15.982483 18.432629
1.685000 19.799535 19.467806 16.162055 18.476466
1.695000 20.013604 19.682107 16.310940 18.668884
1.705000 20.224193 19.894096 16.268780 18.795690
1.715000 20.373216 20.047157 16.180250 18.866874
1.725000 20.652010 20.335479 16.279453 19.088981
1.735000 21.081669 20.776897 16.499219 19.452595
1.745000 21.396220 21.097520 16.590827 19.694856
1.755000 21.452297 21.153666 16.535356 19.713773
1.765000 21.429964 21.129346 16.536657 19.698656
1.775000 21.474469 21.171411 16.658603 19.768161
1.785000 21.447143 21.136767 16.755011 19.779641
1.795000 21.226545 20.902814 16.782308 19.637222
1.805000 21.004099 20.669704 16.855371 19.509725
1.815000 21.014961 20.676075 16.963192 19.551409
1.825000 21.179065 20.839427 16.974072 19.664188
1.835000 21.301991 20.961416 16.926680 19.730029
1.845000 21.438952 21.101108 17.006551 19.848870
1.855000 21.762148 21.435456 17.203220 20.133608
1.865000 22.189527 21.876373 17.285261 20.450387
1.875000 22.458687 22.154605 17.192828 20.602040
1.885000 22.526718 22.225296 17.150820 20.634278
1.895000 22.579678 22.280140 17.297667 20.719161
1.905000 22.657760 22.358640 17.471343 20.829248
1.915000 22.589177 22.280753 17.495723 20.788551
1.925000 22.344621 22.021136 17.450516 20.605425
1.935000 22.159401 21.823811 17.482055 20.488422
1.945000 22.179426 21.837427 17.567823 20.528225
1.955000 22.272468 21.926770 17.630493 20.609910
1.965000 22.329116 21.979123 17.693102 20.667114
1.975000 22.477316 22.130398 17.779818 20.795844
1.985000 22.829710 22.495400 17.821824 21.048978
1.995000 23.226179 22.903751 17.799703 21.309877
2.005000 23.453368 23.137530 17.825074 21.471991
2.015000 23.558296 23.246203 17.959098 21.587866
2.025000 23.685483 23.376597 18.091557 21.717879
2.035000 23.770003 23.461310 18.109546 21.780287
2.045000 23.659271 23.342167 18.069909 21.690449
2.055000 23.421995 23.091049 18.099436 21.537493
2.065000 23.282290 22.942991 18.215242 21.480174
2.075000 23.289360 22.945610 18.329825 21.521598
2.085000 23.307341 22.956986 18.382795 21.549041
