# freq_THz coherence
0.000000000000000000e+00 6.149096323862375535e-02
2.441406249999999653e-02 5.906308556075108573e-02
4.882812499999999306e-02 8.506546202949021029e-02
7.324218749999998612e-02 8.769872505989202705e-02
9.765624999999998612e-02 3.220496115005614945e-01
1.220703124999999861e-01 3.173226696194793583e-01
1.464843749999999722e-01 8.705526417217160362e-02
1.708984374999999722e-01 3.288944007938073844e-01
1.953124999999999722e-01 8.173562616465991360e-01
2.197265624999999722e-01 7.953218343393233525e-01
2.441406249999999722e-01 3.713466582256806370e-01
2.685546874999999445e-01 7.608260471044284157e-02
2.929687499999999445e-01 8.583818920965743948e-02
3.173828124999999445e-01 8.296792705065204887e-02
3.417968749999999445e-01 7.603516204424683178e-02
3.662109374999999445e-01 1.478735149023712170e-01
3.906249999999999445e-01 1.924575561821535163e-01
4.150390624999999445e-01 1.836796363293344558e-01
4.394531249999999445e-01 1.082268570903441030e-01
4.638671874999999445e-01 1.037367744284703186e-01
4.882812499999999445e-01 7.322527625522562422e-02
5.126953124999998890e-01 9.270673791330150126e-02
5.371093749999998890e-01 7.681893580934376353e-02
5.615234374999998890e-01 8.269389600695133125e-02
5.859374999999998890e-01 2.558256127444045180e-01
6.103515624999998890e-01 2.859089062345298027e-01
6.347656249999998890e-01 2.473834014236079015e-01
6.591796874999998890e-01 8.432262282353265859e-02
6.835937499999998890e-01 7.391939921995034635e-02
7.080078124999998890e-01 7.850999737859866434e-02
7.324218749999998890e-01 8.815268330836990851e-02
7.568359374999998890e-01 8.951328193925837950e-02
7.812499999999998890e-01 8.970832113599519486e-02
8.056640624999998890e-01 1.129573146778606596e-01
8.300781249999998890e-01 9.361513189615459918e-02
8.544921874999998890e-01 1.010877253205490628e-01
8.789062499999998890e-01 9.255002975549642130e-02
9.033203124999998890e-01 1.013808887299089551e-01
9.277343749999998890e-01 1.030744808772260240e-01
9.521484374999998890e-01 1.708703447234744544e-01
9.765624999999998890e-01 1.193720124586730019e-01
1.000976562499999778e+00 1.041395291863125988e-01
1.025390624999999778e+00 1.081664118621431664e-01
1.049804687499999778e+00 1.897355676583223627e-01
1.074218749999999778e+00 2.676732063094929281e-01
1.098632812499999778e+00 2.357404757408917695e-01
1.123046874999999778e+00 1.854045673819337270e-01
1.147460937499999778e+00 1.568827504266714912e-01
1.171874999999999778e+00 2.111558244182781818e-01
1.196289062499999778e+00 1.429727371187701768e-01
1.220703124999999778e+00 1.300105319977070406e-01
1.245117187499999778e+00 2.221738649969011992e-01
1.269531249999999778e+00 1.784946243129461041e-01
1.293945312499999778e+00 1.774663275938135054e-01
1.318359374999999778e+00 1.574979488771315328e-01
