# freq_THz abs_cross_spectrum auto_left auto_right
0.000000000000000000e+00 2.256735543983010673e-23 7.294538985030972999e-23 1.927547039801490128e-22
2.441406249999999653e-02 1.154110430448255769e-23 3.718438589553838000e-23 1.023308280999648051e-22
4.882812499999999306e-02 1.443488298776440759e-24 2.712891822061783533e-24 2.781599782368717192e-23
7.324218749999998612e-02 3.453407164653746007e-24 6.002962928059205674e-24 6.135228640910815703e-23
9.765624999999998612e-02 2.193328333211395900e-23 2.388855389002309889e-23 1.555996044972228368e-22
1.220703124999999861e-01 3.263961733410754810e-23 3.636636995455719011e-23 2.347831090827276670e-22
1.464843749999999722e-01 1.425674696688644558e-23 2.553308424579744055e-23 2.697379557463899540e-22
1.708984374999999722e-01 7.423115568792425036e-23 4.914853992672874256e-23 7.179324602858802949e-22
1.953124999999999722e-01 2.346303888872340019e-21 7.522094533192009775e-22 1.399365119471204115e-20
2.197265624999999722e-01 2.951431290684435015e-21 9.528622510929869066e-22 1.758112422951503706e-20
2.441406249999999722e-01 1.922977811904631957e-22 1.108411430532014581e-22 1.616008163639443993e-21
2.685546874999999445e-01 3.389048865366725308e-23 6.266849057996848587e-23 6.793736351216763796e-22
2.929687499999999445e-01 4.587714705505083588e-23 7.898856497694039291e-23 8.481952777563476333e-22
3.173828124999999445e-01 5.564044181604405856e-23 9.630759900519416205e-23 1.040252161229897823e-21
3.417968749999999445e-01 5.606707242045441895e-23 9.616347082200323287e-23 1.060477084535651428e-21
3.662109374999999445e-01 1.097773734603120585e-22 1.347498069829703717e-22 1.611004131310251471e-21
3.906249999999999445e-01 1.609576144421023506e-22 1.683632517709884902e-22 1.980490423684645335e-21
4.150390624999999445e-01 2.153287810435523398e-22 2.809807306984288854e-22 2.570742502197189960e-21
4.394531249999999445e-01 1.335077577311887703e-22 2.247207083210731178e-22 2.093946589539937868e-21
4.638671874999999445e-01 1.089921952962946047e-22 1.913841782688207738e-22 1.859721578153367898e-21
4.882812499999999445e-01 9.598217419106144331e-23 1.734374741846268667e-22 1.810261870846483506e-21
5.126953124999998890e-01 1.399608406504641456e-22 2.255264071424744036e-22 2.374860444374326724e-21
5.371093749999998890e-01 1.249878462980946032e-22 2.142441903587457615e-22 2.331463759709592626e-21
5.615234374999998890e-01 1.486932750915615877e-22 2.540915475583928220e-22 2.767262470238465571e-21
5.859374999999998890e-01 4.104316189098297486e-22 3.920274113706249184e-22 4.145595174849260939e-21
6.103515624999998890e-01 5.148356871759913334e-22 4.731264504235847171e-22 4.909507584304736652e-21
6.347656249999998890e-01 4.208885515235242019e-22 4.468894961556672909e-22 4.738948426585671752e-21
6.591796874999998890e-01 1.737491995165174300e-22 3.005578676937990114e-22 3.333562346057401162e-21
6.835937499999998890e-01 1.674558597194732384e-22 2.934057791945231406e-22 3.361251895976296026e-21
7.080078124999998890e-01 2.106666182750222686e-22 3.528281390971669091e-22 4.269271478586328639e-21
7.324218749999998890e-01 2.681956576601652497e-22 4.529766913232865141e-22 5.242310086717206556e-21
7.568359374999998890e-01 3.051672830253596605e-22 4.898178655435387196e-22 5.664779295072579189e-21
7.812499999999998890e-01 3.366688239922593536e-22 5.306268179133958227e-22 6.078263077887386679e-21
8.056640624999998890e-01 3.848631314778397510e-22 5.562442430811202290e-22 6.363133846561141862e-21
8.300781249999998890e-01 3.799624963230932351e-22 6.276011253452993328e-22 7.353082160209733694e-21
8.544921874999998890e-01 3.811220623153997981e-22 5.844574556613373284e-22 6.553531604554192390e-21
8.789062499999998890e-01 3.865671960235246056e-22 5.766179540061414861e-22 6.737132406496099893e-21
