# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 3.747579999999999922e-03 4.419260000000000375e-03 8.166839999999999863e-03 6.114607904198253202e-08 3.586585165233100973e-08 9.796681910178152153e-01 5.746342947587503858e-01 0.000000000000000000e+00
2.546479089470325696e-02 3.417069999999999916e-03 4.050569999999999865e-03 7.467639999999999348e-03 5.591108748268245435e-08 3.783636780508466292e-08 8.957943794628370204e-01 6.062054441273651006e-01 4.692029017396549066e-10
3.819718634205487851e-02 2.882389999999999865e-03 3.597410000000000104e-03 6.479799999999999970e-03 4.851501473963471412e-08 3.971525114779677972e-08 7.772962301400833107e-01 6.363084740244168147e-01 9.629118417848624750e-10
5.092958178940651393e-02 2.174049999999999854e-03 3.235950000000000024e-03 5.409999999999999878e-03 4.050529796311982162e-08 4.151537530202196727e-08 6.489664194971836997e-01 6.651496426064028578e-01 1.480042070982459068e-09
6.366197723675813547e-02 1.348199999999999919e-03 3.107359999999999983e-03 4.455559999999999903e-03 3.335929489696084331e-08 4.328297373678203954e-08 5.344748281062610129e-01 6.934696917110785286e-01 2.019885127604760149e-09
7.639437268410975701e-02 4.991509999999999784e-04 3.263139999999999877e-03 3.762291000000000073e-03 2.816870942309871320e-08 4.507877750867521524e-08 4.513124804762437825e-01 7.222416401368416672e-01 2.582413507243598556e-09
8.912676813146140631e-02 -2.310679999999999906e-04 3.645339999999999952e-03 3.414271999999999880e-03 2.556305077396248347e-08 4.695737718459521296e-08 4.095652264379830432e-01 7.523401251908314880e-01 3.168333865747773041e-09
1.018591635788130279e-01 -6.546320000000000437e-04 4.109869999999999843e-03 3.455237999999999799e-03 2.586976797107101727e-08 4.895130270210071609e-08 4.144793777025156944e-01 7.842863339316682447e-01 3.778907485323208414e-09
1.145915590261646355e-01 -5.592429999999999580e-04 4.483840000000000221e-03 3.924597000000000155e-03 2.938391328468875527e-08 5.106418478522616304e-08 4.707821928021051483e-01 8.181384369714767013e-01 4.415625854097355105e-09
1.273239544735162709e-01 2.492260000000000157e-04 4.634270000000000229e-03 4.883496000000000191e-03 3.656330140142399609e-08 5.327393981602658644e-08 5.858086716726097487e-01 8.535426157436005745e-01 5.079862985426454033e-09
1.400563499208679064e-01 1.890119999999999908e-03 4.520169999999999570e-03 6.410289999999999044e-03 4.799458530129525478e-08 5.554314761017093062e-08 7.689580312825510244e-01 8.898993327982880341e-01 5.772614079696144675e-09
1.527887453682195140e-01 4.353659999999999648e-03 4.206200000000000216e-03 8.559859999999998997e-03 6.408866540158794348e-08 5.783193052201825485e-08 1.026813622106684365e+00 9.265696778148907464e-01 6.494382244022853648e-09
1.655211408155711494e-01 7.468739999999999754e-03 3.831530000000000092e-03 1.130026999999999941e-02 8.460643316334639207e-08 6.010848834419631947e-08 1.355544503003963008e+00 9.630441553013269207e-01 7.245214270138321806e-09
1.782535362629228126e-01 1.090819999999999984e-02 3.546689999999999912e-03 1.445488999999999975e-02 1.082254392743292180e-07 6.235452825944530494e-08 1.733962700097161802e+00 9.990296820137595235e-01 8.024838047674900732e-09
1.909859317102743925e-01 1.423559999999999930e-02 3.445119999999999866e-03 1.768072000000000046e-02 1.323776029209781640e-07 6.456524164110327336e-08 2.120923022649213507e+00 1.034449215259394705e+00 8.832834397905228529e-09
2.037183271576260557e-01 1.698229999999999879e-02 3.520029999999999947e-03 2.050232999999999917e-02 1.535033245079871310e-07 6.674580619901893271e-08 2.459394397680165323e+00 1.069385711095604874e+00 9.668786491758501965e-09
2.164507226049776911e-01 1.873450000000000115e-02 3.666909999999999788e-03 2.240141000000000007e-02 1.677219569027748592e-07 6.890685680158826972e-08 2.687202003583808896e+00 1.104009558898886967e+00 1.053237816616353125e-08
2.291831180523292710e-01 1.920509999999999926e-02 3.732590000000000040e-03 2.293769000000000016e-02 1.717371475112151433e-07 7.106042977879361404e-08 2.751532449322801721e+00 1.138513601935809083e+00 1.142343758738063479e-08
2.419155134996809342e-01 1.827530000000000127e-02 3.590929999999999990e-03 2.186623000000000039e-02 1.637150021220165663e-07 7.321633957983292077e-08 2.623003510351553658e+00 1.173055085018176902e+00 1.234193202805082659e-08
2.546479089470325419e-01 1.600100000000000133e-02 3.211499999999999945e-03 1.921250000000000041e-02 1.438462175815969582e-07 7.537786366340472199e-08 2.304670486985146205e+00 1.207686518823446908e+00 1.328791210648934577e-08
