# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 -3.498890000000000333e-02 6.473679999999999886e-03 -2.851522000000000431e-02 -2.137309355153492116e-03 -1.670698132040350901e-06 1.412170949218497363e-07 0.000000000000000000e+00
2.546479089470325696e-02 -3.118680000000000063e-02 5.905109999999999873e-03 -2.528169000000000249e-02 -1.894945665896685758e-03 -1.481246585431331841e-06 1.525604027373515377e-07 1.870245636865183841e-09
3.819718634205487851e-02 -2.555069999999999911e-02 5.135950000000000237e-03 -2.041474999999999887e-02 -1.530152534615540324e-03 -1.196094039992353254e-06 1.634884024084427451e-07 3.882274820754799870e-09
5.092958178940651393e-02 -1.896050000000000166e-02 4.371090000000000218e-03 -1.458941000000000057e-02 -1.093524176884130839e-03 -8.547891278612197990e-07 1.736587966759327233e-07 6.028620552109429243e-09
6.366197723675813547e-02 -1.235930000000000015e-02 3.792760000000000055e-03 -8.566540000000000959e-03 -6.420902971569778439e-04 -5.019109926575684830e-07 1.830807046492736852e-07 8.299694753391201635e-09
7.639437268410975701e-02 -6.568889999999999972e-03 3.498129999999999903e-03 -3.070760000000000069e-03 -2.301635433789792616e-04 -1.799149014436580882e-07 1.921870635909584918e-07 1.068872356533106905e-08
8.912676813146140631e-02 -2.160259999999999785e-03 3.464730000000000067e-03 1.304470000000000282e-03 9.777430910640269449e-05 7.642850352557956242e-08 2.017994054861173760e-07 1.319691932792862485e-08
1.018591635788130279e-01 5.966889999999999651e-04 3.556440000000000122e-03 4.153129000000000196e-03 3.112906533724539961e-04 2.433305744238554060e-07 2.129821021162477748e-07 1.583750041744962202e-08
1.145915590261646355e-01 1.707009999999999908e-03 3.569950000000000120e-03 5.276959999999999811e-03 3.955254763866724384e-04 3.091754934681074932e-07 2.268116492696887824e-07 1.863731439640961364e-08
1.273239544735162709e-01 1.374309999999999898e-03 3.308179999999999975e-03 4.682490000000000090e-03 3.509679982273562868e-04 2.743456756180601945e-07 2.441123169847903795e-07 2.163530947840326636e-08
1.400563499208679064e-01 -8.999650000000000477e-05 2.657089999999999973e-03 2.567093500000000063e-03 1.924120856547387951e-04 1.504052332481715486e-07 2.652218951746590214e-07 2.487783178044297091e-08
1.527887453682195140e-01 -2.340800000000000086e-03 1.639580000000000074e-03 -7.012200000000000117e-04 -5.255874112213518594e-05 -4.108426812591082413e-08 2.898490074088392083e-07 2.841152289694871107e-08
1.655211408155711494e-01 -5.040779999999999914e-03 4.262410000000000005e-04 -4.614538999999999967e-03 -3.458748476925879744e-04 -2.703644470401191647e-07 3.170622805205989634e-07 3.227524015663825588e-08
1.782535362629228126e-01 -7.871190000000000131e-03 -7.046589999999999495e-04 -8.575848999999999972e-03 -6.427880372686487105e-04 -5.024564041575029104e-07 3.454202745137435019e-07 3.649273509047283268e-08
1.909859317102743925e-01 -1.052619999999999945e-02 -1.448539999999999897e-03 -1.197473999999999934e-02 -8.975460763595976155e-04 -7.015964018397497908e-07 3.732160394432047296e-07 4.106771595653631386e-08
2.037183271576260557e-01 -1.270770000000000059e-02 -1.573600000000000085e-03 -1.428130000000000024e-02 -1.070430320851586004e-03 -8.367370559689828461e-07 3.987818572578240586e-07 4.598240720919693006e-08
2.164507226049776911e-01 -1.413239999999999982e-02 -1.006149999999999926e-03 -1.513855000000000062e-02 -1.134684022723966108e-03 -8.869630746948279325e-07 4.207850733682499221e-07 5.119993233734861927e-08
2.291831180523292710e-01 -1.455129999999999965e-02 1.267379999999999917e-04 -1.442456200000000015e-02 -1.081168278084179788e-03 -8.451307333031352612e-07 4.384521877399020243e-07 5.667000663311275726e-08
2.419155134996809342e-01 -1.377600000000000005e-02 1.514200000000000051e-03 -1.226179999999999978e-02 -9.190621657844858612e-04 -7.184151605862543885e-07 4.516780695708701518e-07 6.233675185097957252e-08
2.546479089470325419e-01 -1.170120000000000014e-02 2.736580000000000176e-03 -8.964619999999999533e-03 -6.719277000631976304e-04 -5.252343796909708872e-07 4.610061586147131011e-07 6.814708010688943719e-08
2.673803043943841495e-01 -8.319750000000000756e-03 3.378359999999999957e-03 -4.941390000000000365e-03 -3.703734032022868382e-04 -2.895145484650958224e-07 4.674967891846211238e-07 7.405811345959582889e-08
2.801126998417358127e-01 -3.728809999999999937e-03 3.146100000000000198e-03 -5.827099999999997386e-04 -4.367602755095316376e-05 -3.414080299998499943e-08 4.725199044421843067e-07 8.004244559478007287e-08
2.928450952890874204e-01 1.865719999999999965e-03 1.956359999999999870e-03 3.822079999999999835e-03 2.864774439806201060e-04 2.239345134461099460e-07 4.775204307606845840e-07 8.609059021414877035e-08
3.055774907364390280e-01 8.144800000000000650e-03 -3.276659999999999897e-05 8.112033400000001268e-03 6.080235353308721495e-04 4.752815881634067323e-07 4.837997091462525543e-07 9.221054430054802002e-08
3.183098861837906912e-01 1.467420000000000009e-02 -2.455650000000000194e-03 1.221854999999999990e-02 9.158204362936949892e-04 7.158811561419349154e-07 4.923463392381051892e-07 9.842488305174767333e-08
3.310422816311422989e-01 2.091569999999999888e-02 -4.828070000000000278e-03 1.608762999999999860e-02 1.205820684576446120e-03 9.425693854003688580e-07 5.037344403280709324e-07 1.047661302432190869e-07
3.437746770784939621e-01 2.626579999999999887e-02 -6.664869999999999822e-03 1.960092999999999905e-02 1.469154053824895355e-03 1.148412571856491824e-06 5.180932032806324720e-07 1.112712870619498587e-07
3.565070725258456252e-01 3.013050000000000103e-02 -7.592970000000000101e-03 2.253753000000000006e-02 1.689261864753365981e-03 1.320467079398418262e-06 5.351416452457449552e-07 1.179763883571345429e-07
3.692394679731971774e-01 3.202990000000000004e-02 -7.430100000000000246e-03 2.459979999999999806e-02 1.843835771735405447e-03 1.441294856170361669e-06 5.542755904164369735e-07 1.249118338829402920e-07
3.819718634205487851e-01 3.171249999999999764e-02 -6.211630000000000103e-03 2.550086999999999840e-02 1.911373926469899995e-03 1.494088275468462738e-06 5.746903876017932390e-07 1.320990545223073899e-07
3.947042588679004482e-01 2.924229999999999885e-02 -4.163850000000000190e-03 2.507844999999999866e-02 1.879712160654874349e-03 1.469338815182465022e-06 5.955208815958942374e-07 1.395488508404935216e-07
4.074366543152521114e-01 2.502530000000000032e-02 -1.637000000000000000e-03 2.338830000000000076e-02 1.753029869351750225e-03 1.370313436880351481e-06 6.159801141364693732e-07 1.472615057217558907e-07
4.201690497626037191e-01 1.975199999999999873e-02 9.800489999999999809e-04 2.073204899999999892e-02 1.553935136365793218e-03 1.214684492620748583e-06 6.354773154355955583e-07 1.552285311611747387e-07
4.329014452099553822e-01 1.426269999999999968e-02 3.339899999999999813e-03 1.760259999999999950e-02 1.319372659759414715e-03 1.031331020383271879e-06 6.536980908526986881e-07 1.634356766981061564e-07
4.456338406573069344e-01 9.366579999999999351e-03 5.193320000000000401e-03 1.455990000000000062e-02 1.091312305502090737e-03 8.530601458692692430e-07 6.706337157436210176e-07 1.718666348306510741e-07
4.583662361046585421e-01 5.665589999999999862e-03 6.413509999999999871e-03 1.207909999999999887e-02 9.053682009759890341e-04 7.077108227370716524e-07 6.865525367267789431e-07 1.805067508617322340e-07
4.710986315520102052e-01 3.438800000000000103e-03 6.988710000000000408e-03 1.042751000000000094e-02 7.815761082662728721e-04 6.109446631950263359e-07 7.019156373236107145e-07 1.893460137907681760e-07
4.838310269993618684e-01 2.621119999999999787e-03 6.991459999999999689e-03 9.612579999999999042e-03 7.204944293314711080e-04 5.631981604942355288e-07 7.172487469561498468e-07 1.983806948634917865e-07
