# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 8.214759999999999840e-01 3.521880000000000011e-01 1.173664000000000041e+00 9.108309273525191929e-02 6.629377268233170258e-05 3.612934253150465466e-06 0.000000000000000000e+00
2.546479089470325696e-02 7.284699999999999509e-01 3.112039999999999806e-01 1.039673999999999987e+00 8.068469626437405062e-02 5.872542040970032940e-05 3.608278793093790559e-06 4.597167005717827454e-08
3.819718634205487851e-02 5.931279999999999886e-01 2.517710000000000226e-01 8.448990000000000666e-01 6.556903335956595913e-02 4.772366047312466146e-05 3.597759385245953846e-06 9.184673390484575112e-08
5.092958178940651393e-02 4.395009999999999750e-01 1.847580000000000056e-01 6.242590000000000083e-01 4.844609733945628993e-02 3.526093007956255203e-05 3.582277577451490867e-06 1.375562688726784683e-07
6.366197723675813547e-02 2.921179999999999888e-01 1.212730000000000058e-01 4.133910000000000085e-01 3.208152485627788209e-02 2.335016579099451098e-05 3.562835627662404082e-06 1.830434722944805050e-07
7.639437268410975701e-02 1.703610000000000124e-01 7.011729999999999352e-02 2.404783000000000059e-01 1.866250247065236179e-02 1.358328597897998895e-05 3.540416371007327476e-06 2.282641789991074118e-07
8.912676813146140631e-02 8.480939999999999312e-02 3.610499999999999821e-02 1.209143999999999913e-01 9.383654528235800540e-03 6.829784118470470486e-06 3.515930012552384174e-06 2.731862752835933675e-07
1.018591635788130279e-01 3.643280000000000129e-02 1.963689999999999880e-02 5.606970000000000010e-02 4.351331969573705993e-03 3.167066508103284426e-06 3.490238594577962853e-06 3.177889299219954903e-07
1.145915590261646355e-01 1.846319999999999906e-02 1.747819999999999929e-02 3.594139999999999835e-02 2.789259847140904830e-03 2.030130430416845142e-06 3.464245292352037252e-06 3.620625494123093107e-07
1.273239544735162709e-01 1.999329999999999857e-02 2.432849999999999943e-02 4.432179999999999453e-02 3.439627201305729687e-03 2.503492766304299188e-06 3.439009133501249124e-06 4.060100320241315229e-07
1.400563499208679064e-01 2.991359999999999852e-02 3.459109999999999963e-02 6.450469999999999815e-02 5.005936598515081139e-03 3.643512895293713981e-06 3.415827929496006361e-06 4.496492801307532882e-07
