# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 9.215199999999999780e-03 -2.950280000000000220e-04 8.920172000000000517e-03 6.944291140798746582e-04 5.428233498020520153e-07 1.049836241000883858e-07 0.000000000000000000e+00
2.546479089470325696e-02 7.736990000000000013e-03 3.886919999999999709e-05 7.775859199999999617e-03 6.053451677238782689e-04 4.731879540588572030e-07 1.128141210916171970e-07 1.386543509661161151e-09
3.819718634205487851e-02 5.417349999999999596e-03 6.207310000000000171e-04 6.038080999999999830e-03 4.700603575326264523e-04 3.674381340176090945e-07 1.246354604367073492e-07 2.898194495074554371e-09
5.092958178940651393e-02 2.481779999999999837e-03 1.451059999999999893e-03 3.932839999999999947e-03 3.061688269035500818e-04 2.393269303591346049e-07 1.403788536226686487e-07 4.585328017980862252e-09
6.366197723675813547e-02 -7.481729999999999804e-04 2.476589999999999868e-03 1.728416999999999887e-03 1.345560473576736676e-04 1.051801586107098916e-07 1.597043466991183858e-07 6.495717004782774697e-09
7.639437268410975701e-02 -3.873500000000000207e-03 3.575769999999999817e-03 -2.977300000000003902e-04 -2.317807102094010616e-05 -1.811790130689914670e-08 1.820382903454614595e-07 8.671318202818948025e-09
8.912676813146140631e-02 -6.462560000000000006e-03 4.575159999999999991e-03 -1.887400000000000015e-03 -1.469327620492469561e-04 -1.148548245949061279e-07 2.066650237456041221e-07 1.114588035617073934e-08
1.018591635788130279e-01 -8.120080000000000006e-03 5.295990000000000419e-03 -2.824089999999999587e-03 -2.198534195060177030e-04 -1.718556541221937035e-07 2.328500877862122446e-07 1.394392045872570919e-08
1.145915590261646355e-01 -8.567270000000000094e-03 5.615430000000000248e-03 -2.951839999999999846e-03 -2.297986671227345208e-04 -1.796296839208581578e-07 2.599594014411391040e-07 1.708124310725071018e-08
1.273239544735162709e-01 -7.712260000000000296e-03 5.517919999999999943e-03 -2.194340000000000353e-03 -1.708278250901476222e-04 -1.335331862888557531e-07 2.875368649984947190e-07 2.056671259237971690e-08
1.400563499208679064e-01 -5.688119999999999635e-03 5.112750000000000107e-03 -5.753699999999995277e-04 -4.479214967694985800e-05 -3.501325655778906896e-08 3.153150244792724662e-07 2.440458691888674510e-08
1.527887453682195140e-01 -2.842330000000000117e-03 4.605589999999999684e-03 1.763259999999999567e-03 1.372685503925798070e-04 1.073004757948575479e-07 3.431535554146491278e-07 2.859652809331946904e-08
