# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
3.18309886e-02 1.56644954e+00 9.11516633e-01 4.55758316e-01
6.36619772e-02 1.56801064e+00 9.11102635e-01 4.55551318e-01
9.54929659e-02 1.57060934e+00 9.10425723e-01 4.55212861e-01
1.27323954e-01 1.57422895e+00 9.09485866e-01 4.54742933e-01
1.59154943e-01 1.57886777e+00 9.08321763e-01 4.54160881e-01
1.90985932e-01 1.58449604e+00 9.06924607e-01 4.53462304e-01
2.22816920e-01 1.59110965e+00 9.05353649e-01 4.52676824e-01
2.54647909e-01 1.59866942e+00 9.03608140e-01 4.51804070e-01
2.86478898e-01 1.60716563e+00 9.01755481e-01 4.50877740e-01
3.18309886e-01 1.61655106e+00 8.99801218e-01 4.49900609e-01
3.50140875e-01 1.62680956e+00 8.97817347e-01 4.48908674e-01
3.81971863e-01 1.63789208e+00 8.95829166e-01 4.47914583e-01
4.13802852e-01 1.64976911e+00 8.93902225e-01 4.46951113e-01
4.45633841e-01 1.66239454e+00 8.92075686e-01 4.46037843e-01
4.77464829e-01 1.67571799e+00 8.90396546e-01 4.45198273e-01
5.09295818e-01 1.68970749e+00 8.88942935e-01 4.44471468e-01
5.41126807e-01 1.70430050e+00 8.87752583e-01 4.43876291e-01
5.72957795e-01 1.71945587e+00 8.86892318e-01 4.43446159e-01
6.04788784e-01 1.73511238e+00 8.86407138e-01 4.43203569e-01
6.36619772e-01 1.75121651e+00 8.86355810e-01 4.43177905e-01
6.68450761e-01 1.76771341e+00 8.86792805e-01 4.43396403e-01
7.00281750e-01 1.78454463e+00 8.87768039e-01 4.43884019e-01
7.32112738e-01 1.80165141e+00 8.89332212e-01 4.44666106e-01
7.63943727e-01 1.81897638e+00 8.91531229e-01 4.45765614e-01
7.95774715e-01 1.83645192e+00 8.94393320e-01 4.47196660e-01
8.27605704e-01 1.85401965e+00 8.97954619e-01 4.48977310e-01
8.59436693e-01 1.87161108e+00 9.02236536e-01 4.51118268e-01
8.91267681e-01 1.88917577e+00 9.07272825e-01 4.53636412e-01
9.23098670e-01 1.90664399e+00 9.13074256e-01 4.56537128e-01
9.54929659e-01 1.92394399e+00 9.19628930e-01 4.59814465e-01
9.86760647e-01 1.94103283e+00 9.26967446e-01 4.63483723e-01
1.01859164e+00 1.95783366e+00 9.35057843e-01 4.67528921e-01
1.05042262e+00 1.97429650e+00 9.43902927e-01 4.71951464e-01
1.08225361e+00 1.99035210e+00 9.53473252e-01 4.76736626e-01
1.11408460e+00 2.00594972e+00 9.63739176e-01 4.81869588e-01
1.14591559e+00 2.02102946e+00 9.74681250e-01 4.87340625e-01
1.17774658e+00 2.03552907e+00 9.86239900e-01 4.93119950e-01
1.20957757e+00 2.04940800e+00 9.98397795e-01 4.99198898e-01
1.24140856e+00 2.06260186e+00 1.01108770e+00 5.05543848e-01
1.27323954e+00 2.07506476e+00 1.02426402e+00 5.12132011e-01
1.30507053e+00 2.08674541e+00 1.03786694e+00 5.18933468e-01
1.33690152e+00 2.09760835e+00 1.05184753e+00 5.25923765e-01
1.36873251e+00 2.10759887e+00 1.06613282e+00 5.33066409e-01
1.40056350e+00 2.11669188e+00 1.08068019e+00 5.40340097e-01
1.43239449e+00 2.12483121e+00 1.09540480e+00 5.47702400e-01
1.46422548e+00 2.13200036e+00 1.11026519e+00 5.55132593e-01
1.49605647e+00 2.13814663e+00 1.12516627e+00 5.62583137e-01
1.52788745e+00 2.14326030e+00 1.14006699e+00 5.70033493e-01
1.55971844e+00 2.14729657e+00 1.15488665e+00 5.77443326e-01
1.59154943e+00 2.15025392e+00 1.16957499e+00 5.84787493e-01
1.62338042e+00 2.15209557e+00 1.18405320e+00 5.92026598e-01
1.65521141e+00 2.15281407e+00 1.19826585e+00 5.99132927e-01
1.68704240e+00 2.15240108e+00 1.21215699e+00 6.06078497e-01
1.71887339e+00 2.15083025e+00 1.22564395e+00 6.12821976e-01
1.75070437e+00 2.14810903e+00 1.23868512e+00 6.19342560e-01
1.78253536e+00 2.14422309e+00 1.25121197e+00 6.25605983e-01
1.81436635e+00 2.13918391e+00 1.26317922e+00 6.31589608e-01
1.84619734e+00 2.13298355e+00 1.27452043e+00 6.37260215e-01
1.87802833e+00 2.12564708e+00 1.28520037e+00 6.42600185e-01
1.90985932e+00 2.11716319e+00 1.29515085e+00 6.47575425e-01
1.94169031e+00 2.10754952e+00 1.30433040e+00 6.52165199e-01
1.97352129e+00 2.09683652e+00 1.31270927e+00 6.56354635e-01
2.00535228e+00 2.08501572e+00 1.32021622e+00 6.60108110e-01
2.03718327e+00 2.07213458e+00 1.32684181e+00 6.63420905e-01
2.06901426e+00 2.05821054e+00 1.33253858e+00 6.66269289e-01
2.10084525e+00 2.04326463e+00 1.33727173e+00 6.68635867e-01
2.13267624e+00 2.02732593e+00 1.34100864e+00 6.70504322e-01
2.16450723e+00 2.01042691e+00 1.34372406e+00 6.71862031e-01
2.19633821e+00 1.99260466e+00 1.34540263e+00 6.72701316e-01
2.22816920e+00 1.97389323e+00 1.34601571e+00 6.73007857e-01
2.26000019e+00 1.95433713e+00 1.34555820e+00 6.72779100e-01
2.29183118e+00 1.93396709e+00 1.34400228e+00 6.72001140e-01
2.32366217e+00 1.91282822e+00 1.34135397e+00 6.70676984e-01
2.35549316e+00 1.89096481e+00 1.33760454e+00 6.68802268e-01
2.38732415e+00 1.86842647e+00 1.33275146e+00 6.66375731e-01
2.41915513e+00 1.84524898e+00 1.32679355e+00 6.63396776e-01
2.45098612e+00 1.82148330e+00 1.31973884e+00 6.59869419e-01
2.48281711e+00 1.79717225e+00 1.31159257e+00 6.55796287e-01
2.51464810e+00 1.77238140e+00 1.30239230e+00 6.51196150e-01
2.54647909e+00 1.74714061e+00 1.29212828e+00 6.46064139e-01
2.57831008e+00 1.72150575e+00 1.28082717e+00 6.40413584e-01
2.61014107e+00 1.69553123e+00 1.26852695e+00 6.34263473e-01
2.64197206e+00 1.66925767e+00 1.25523756e+00 6.27618779e-01
2.67380304e+00 1.64274713e+00 1.24101173e+00 6.20505864e-01
2.70563403e+00 1.61603331e+00 1.22586284e+00 6.12931421e-01
2.73746502e+00 1.58917712e+00 1.20984787e+00 6.04923936e-01
2.76929601e+00 1.56222054e+00 1.19299194e+00 5.96495969e-01
2.80112700e+00 1.53521648e+00 1.17535401e+00 5.87677003e-01
2.83295799e+00 1.50820722e+00 1.15697499e+00 5.78487497e-01
2.86478898e+00 1.48123432e+00 1.13789361e+00 5.68946803e-01
2.89661996e+00 1.45435472e+00 1.11818611e+00 5.59093057e-01
2.92845095e+00 1.42759875e+00 1.09787955e+00 5.48939774e-01
2.96028194e+00 1.40101070e+00 1.07703913e+00 5.38519563e-01
2.99211293e+00 1.37463868e+00 1.05573691e+00 5.27868457e-01
3.02394392e+00 1.34851546e+00 1.03401695e+00 5.17008474e-01
3.05577491e+00 1.32267644e+00 1.01194237e+00 5.05971186e-01
3.08760590e+00 1.29715974e+00 9.89577266e-01 4.94788633e-01
3.11943688e+00 1.27199784e+00 9.66980876e-01 4.83490438e-01
3.15126787e+00 1.24722084e+00 9.44218665e-01 4.72109333e-01
3.18309886e+00 1.22286042e+00 9.21351221e-01 4.60675610e-01
3.21492985e+00 1.19894055e+00 8.98442170e-01 4.49221085e-01
3.24676084e+00 1.17548966e+00 8.75554380e-01 4.37777190e-01
3.27859183e+00 1.15252859e+00 8.52750223e-01 4.26375111e-01
3.31042282e+00 1.13007782e+00 8.30089905e-01 4.15044952e-01
3.34225380e+00 1.10815876e+00 8.07630515e-01 4.03815257e-01
3.37408479e+00 1.08678540e+00 7.85434174e-01 3.92717087e-01
3.40591578e+00 1.06597136e+00 7.63554413e-01 3.81777206e-01
3.43774677e+00 1.04573019e+00 7.42043915e-01 3.71021957e-01
3.46957776e+00 1.02607109e+00 7.20956434e-01 3.60478217e-01
3.50140875e+00 1.00700178e+00 7.00336691e-01 3.50168346e-01
3.53323974e+00 9.88528446e-01 6.80231341e-01 3.40115670e-01
3.56507073e+00 9.70653942e-01 6.60681052e-01 3.30340526e-01
3.59690171e+00 9.53379083e-01 6.41723531e-01 3.20861765e-01
3.62873270e+00 9.36704944e-01 6.23389095e-01 3.11694548e-01
3.66056369e+00 9.20627166e-01 6.05707040e-01 3.02853520e-01
3.69239468e+00 9.05142462e-01 5.88700738e-01 2.94350369e-01
3.72422567e+00 8.90242365e-01 5.72388716e-01 2.86194358e-01
3.75605666e+00 8.75921884e-01 5.56781498e-01 2.78390749e-01
3.78788765e+00 8.62170656e-01 5.41887588e-01 2.70943794e-01
3.81971863e+00 8.48976613e-01 5.27711090e-01 2.63855545e-01
3.85154962e+00 8.36327899e-01 5.14246490e-01 2.57123245e-01
3.88338061e+00 8.24210476e-01 5.01484179e-01 2.50742090e-01
3.91521160e+00 8.12608407e-01 4.89412450e-01 2.44706225e-01
3.94704259e+00 8.01506041e-01 4.78012958e-01 2.39006479e-01
3.97887358e+00 7.90885951e-01 4.67261761e-01 2.33630880e-01
4.01070457e+00 7.80728921e-01 4.57134132e-01 2.28567066e-01
4.04253555e+00 7.71015124e-01 4.47600786e-01 2.23800393e-01
4.07436654e+00 7.61726292e-01 4.38626817e-01 2.19313409e-01
4.10619753e+00 7.52839943e-01 4.30181520e-01 2.15090760e-01
4.13802852e+00 7.44336022e-01 4.22227455e-01 2.11113728e-01
4.16985951e+00 7.36190280e-01 4.14731047e-01 2.07365524e-01
4.20169050e+00 7.28383177e-01 4.07652131e-01 2.03826066e-01
4.23352149e+00 7.20891457e-01 4.00958122e-01 2.00479061e-01
4.26535247e+00 7.13691807e-01 3.94613676e-01 1.97306838e-01
4.29718346e+00 7.06761883e-01 3.88587149e-01 1.94293574e-01
4.32901445e+00 7.00080601e-01 3.82844698e-01 1.91422349e-01
4.36084544e+00 6.93623002e-01 3.77358755e-01 1.88679377e-01
4.39267643e+00 6.87369939e-01 3.72103523e-01 1.86051762e-01
4.42450742e+00 6.81297402e-01 3.67055808e-01 1.83527904e-01
4.45633841e+00 6.75383907e-01 3.62193970e-01 1.81096985e-01
4.48816940e+00 6.69607971e-01 3.57501974e-01 1.78750987e-01
4.52000038e+00 6.63951584e-01 3.52960700e-01 1.76480350e-01
4.55183137e+00 6.58393833e-01 3.48561338e-01 1.74280669e-01
4.58366236e+00 6.52914560e-01 3.44291612e-01 1.72145806e-01
4.61549335e+00 6.47495315e-01 3.40146470e-01 1.70073235e-01
4.64732434e+00 6.42117963e-01 3.36117014e-01 1.68058507e-01
4.67915533e+00 6.36769171e-01 3.32201754e-01 1.66100877e-01
4.71098632e+00 6.31430300e-01 3.28401078e-01 1.64200539e-01
4.74281730e+00 6.26086248e-01 3.24711164e-01 1.62355582e-01
4.77464829e+00 6.20723681e-01 3.21136404e-01 1.60568202e-01
4.80647928e+00 6.15329522e-01 3.17678183e-01 1.58839092e-01
4.83831027e+00 6.09891131e-01 3.14339490e-01 1.57169745e-01
4.87014126e+00 6.04398336e-01 3.11120886e-01 1.55560443e-01
4.90197225e+00 5.98841659e-01 3.08028264e-01 1.54014132e-01
4.93380324e+00 5.93210168e-01 3.05063412e-01 1.52531706e-01
4.96563422e+00 5.87497545e-01 3.02230573e-01 1.51115287e-01
4.99746521e+00 5.81697471e-01 2.99531424e-01 1.49765712e-01
5.02929620e+00 5.75803817e-01 2.96965830e-01 1.48482915e-01
5.06112719e+00 5.69811906e-01 2.94536481e-01 1.47268240e-01
5.09295818e+00 5.63716496e-01 2.92239136e-01 1.46119568e-01
5.12478917e+00 5.57517332e-01 2.90074983e-01 1.45037491e-01
5.15662016e+00 5.51211065e-01 2.88037474e-01 1.44018737e-01
5.18845114e+00 5.44797255e-01 2.86122205e-01 1.43061102e-01
5.22028213e+00 5.38276784e-01 2.84322763e-01 1.42161382e-01
5.25211312e+00 5.31649723e-01 2.82629326e-01 1.41314663e-01
5.28394411e+00 5.24918144e-01 2.81034634e-01 1.40517317e-01
5.31577510e+00 5.18085472e-01 2.79524362e-01 1.39762181e-01
5.34760609e+00 5.11153609e-01 2.78087868e-01 1.39043934e-01
5.37943708e+00 5.04128621e-01 2.76710465e-01 1.38355233e-01
5.41126807e+00 4.97014393e-01 2.75375402e-01 1.37687701e-01
5.44309905e+00 4.89816379e-01 2.74068559e-01 1.37034279e-01
5.47493004e+00 4.82541419e-01 2.72773596e-01 1.36386798e-01
5.50676103e+00 4.75194268e-01 2.71470702e-01 1.35735351e-01
5.53859202e+00 4.67784211e-01 2.70144778e-01 1.35072389e-01
5.57042301e+00 4.60318044e-01 2.68776820e-01 1.34388410e-01
5.60225400e+00 4.52802761e-01 2.67347818e-01 1.33673909e-01
5.63408499e+00 4.45247814e-01 2.65842242e-01 1.32921121e-01
