# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
1.2732395447e-02 8.0983049222e-08 1.5825094178e-07 4.5238101012e-09 4.9934823183e-08
2.5464790895e-02 8.0826204110e-08 1.5817647196e-07 5.5005093936e-09 5.0363160661e-08
3.8197186342e-02 8.0566649245e-08 1.5805761161e-07 7.1252064025e-09 5.1076826168e-08
5.0929581789e-02 8.0207471178e-08 1.5790010237e-07 9.3931830743e-09 5.2075646987e-08
6.3661977237e-02 7.9752825548e-08 1.5771457054e-07 1.2297762958e-08 5.3359191328e-08
7.6394372684e-02 7.9208195724e-08 1.5751155672e-07 1.5830231792e-08 5.4926595606e-08
8.9126768131e-02 7.8580531622e-08 1.5730708607e-07 1.9979858515e-08 5.6776823521e-08
1.0185916358e-01 7.7877848792e-08 1.5711461286e-07 2.4733676778e-08 5.8908147905e-08
1.1459155903e-01 7.7109926776e-08 1.5695427565e-07 3.0076384105e-08 6.1318409800e-08
1.2732395447e-01 7.6287705589e-08 1.5684338503e-07 3.5990568779e-08 6.4004327588e-08
1.4005634992e-01 7.5424160819e-08 1.5680259374e-07 4.2456264473e-08 6.6962015142e-08
1.5278874537e-01 7.4533242300e-08 1.5685306868e-07 4.9450866209e-08 7.0186550037e-08
1.6552114082e-01 7.3631158741e-08 1.5701537690e-07 5.6949500109e-08 7.3671541752e-08
1.7825353626e-01 7.2735541421e-08 1.5731042821e-07 6.4924603228e-08 7.7409563469e-08
1.9098593171e-01 7.1865789061e-08 1.5775827550e-07 7.3346007584e-08 8.1391720277e-08
2.0371832716e-01 7.1042334977e-08 1.5837957148e-07 8.2180940162e-08 8.5607649172e-08
2.1645072260e-01 7.0289319799e-08 1.5919334067e-07 9.1394359048e-08 9.0045778133e-08
2.2918311805e-01 6.9630539289e-08 1.6021535113e-07 1.0094844922e-07 9.4692721614e-08
