# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
1.2732395447e-02 7.3423156073e-08 3.2341571378e-08
2.5464790895e-02 7.3716586532e-08 3.2123245204e-08
3.8197186342e-02 7.4206573357e-08 3.1762585668e-08
5.0929581789e-02 7.4894100903e-08 3.1264037193e-08
6.3661977237e-02 7.5781087593e-08 3.0634599541e-08
7.6394372684e-02 7.6869144960e-08 2.9882957972e-08
8.9126768131e-02 7.8161074932e-08 2.9020979732e-08
1.0185916358e-01 7.9658571584e-08 2.8062331597e-08
1.1459155903e-01 8.1364749083e-08 2.7025037990e-08
1.2732395447e-01 8.3281496747e-08 2.5929882442e-08
1.4005634992e-01 8.5411258542e-08 2.4802504845e-08
1.5278874537e-01 8.7755931806e-08 2.3673499720e-08
1.6552114082e-01 9.0316894375e-08 2.2578662694e-08
1.7825353626e-01 9.3095034083e-08 2.1559477707e-08
1.9098593171e-01 9.6090448104e-08 2.0662198204e-08
2.0371832716e-01 9.9302623947e-08 1.9936219242e-08
2.1645072260e-01 1.0273069941e-07 1.9429129354e-08
2.2918311805e-01 1.0637176531e-07 1.9180853827e-08
2.4191551350e-01 1.1022322273e-07 1.9217823623e-08
2.5464790895e-01 1.1428087651e-07 1.9546652982e-08
2.6738030439e-01 1.1853944828e-07 2.0153188951e-08
2.8011269984e-01 1.2299338588e-07 2.1006459175e-08
2.9284509529e-01 1.2763614753e-07 2.2063021999e-08
3.0557749074e-01 1.3246029955e-07 2.3275121922e-08
3.1830988618e-01 1.3745799939e-07 2.4594110317e-08
3.3104228163e-01 1.4262137135e-07 2.5974200672e-08
3.4377467708e-01 1.4794147631e-07 2.7373129109e-08
3.5650707253e-01 1.5341010288e-07 2.8753748171e-08
3.6923946797e-01 1.5901869396e-07 3.0083025872e-08
3.8197186342e-01 1.6475982114e-07 3.1331866608e-08
3.9470425887e-01 1.7062578014e-07 3.2474399120e-08
4.0743665432e-01 1.7661025584e-07 3.3488645839e-08
4.2016904976e-01 1.8270771416e-07 3.4354939662e-08
4.3290144521e-01 1.8891488637e-07 3.5057157744e-08
4.4563384066e-01 1.9522890424e-07 3.5581279978e-08
4.5836623610e-01 2.0164903955e-07 3.5915920284e-08
4.7109863155e-01 2.0817663624e-07 3.6052210148e-08
4.8383102700e-01 2.1481547273e-07 3.5983909053e-08
4.9656342245e-01 2.2157130264e-07 3.5707104401e-08
5.0929581789e-01 2.2845134616e-07 3.5221027218e-08
5.2202821334e-01 2.3546663634e-07 3.4526752301e-08
5.3476060879e-01 2.4262983375e-07 3.3628482775e-08
5.4749300424e-01 2.4995541868e-07 3.2532958147e-08
5.6022539968e-01 2.5746117607e-07 3.1250277406e-08
5.7295779513e-01 2.6516676969e-07 2.9794474684e-08
5.8569019058e-01 2.7309345346e-07 2.8181901595e-08
5.9842258603e-01 2.8126478016e-07 2.6435478630e-08
6.1115498147e-01 2.8970514431e-07 2.4583133943e-08
6.2388737692e-01 2.9844078488e-07 2.2662539653e-08
6.3661977237e-01 3.0749864763e-07 2.0722656316e-08
6.4935216781e-01 3.1690630337e-07 1.8830617370e-08
6.6208456326e-01 3.2669181240e-07 1.7079741800e-08
6.7481695871e-01 3.3688185137e-07 1.5596238529e-08
6.8754935416e-01 3.4750436438e-07 1.4540065450e-08
7.0028174960e-01 3.5858427054e-07 1.4081027585e-08
7.1301414505e-01 3.7014654628e-07 1.4340634633e-08
7.2574654050e-01 3.8221372770e-07 1.5336238896e-08
7.3847893595e-01 3.9480524088e-07 1.6982610191e-08
7.5121133139e-01 4.0793931418e-07 1.9149026506e-08
7.6394372684e-01 4.2163141220e-07 2.1711323904e-08
7.7667612229e-01 4.3589095381e-07 2.4573849715e-08
7.8940851774e-01 4.5072678790e-07 2.7670450367e-08
8.0214091318e-01 4.6614222565e-07 3.0957236097e-08
8.1487330863e-01 4.8213753458e-07 3.4407465156e-08
8.2760570408e-01 4.9870852619e-07 3.8004816239e-08
8.4033809953e-01 5.1584629517e-07 4.1741844578e-08
8.5307049497e-01 5.3353936893e-07 4.5616152117e-08
8.6580289042e-01 5.5177049878e-07 4.9628853262e-08
8.7853528587e-01 5.7051904236e-07 5.3783617057e-08
8.9126768131e-01 5.8976156773e-07 5.8085154082e-08
9.0400007676e-01 6.0947037810e-07 6.2538597833e-08
9.1673247221e-01 6.2961437473e-07 6.7148911547e-08
9.2946486766e-01 6.5015966938e-07 7.1920077417e-08
9.4219726310e-01 6.7107173508e-07 7.6854551999e-08
9.5492965855e-01 6.9231242264e-07 8.1953241565e-08
9.6766205400e-01 7.1384252041e-07 8.7215598362e-08
9.8039444945e-01 7.3562323818e-07 9.2638527620e-08
9.9312684489e-01 7.5761363312e-07 9.8216206751e-08
1.0058592403e+00 7.7977557000e-07 1.0394167078e-07
1.0185916358e+00 8.0206940403e-07 1.0980577642e-07
1.0313240312e+00 8.2445889979e-07 1.1579634514e-07
1.0440564267e+00 8.4690974877e-07 1.2190056653e-07
1.0567888221e+00 8.6938915242e-07 1.2810385304e-07
1.0695212176e+00 8.9186940648e-07 1.3438940463e-07
1.0822536130e+00 9.1432497124e-07 1.4074011623e-07
1.0949860085e+00 9.3673520568e-07 1.4713761044e-07
1.1077184039e+00 9.5908461204e-07 1.5356338699e-07
1.1204507994e+00 9.8136151360e-07 1.5999673770e-07
1.1331831948e+00 1.0035585278e-06 1.6641776322e-07
1.1459155903e+00 1.0256781014e-06 1.7280821394e-07
1.1586479857e+00 1.0477248203e-06 1.7914801606e-07
1.1713803812e+00 1.0697075467e-06 1.8541730761e-07
1.1841127766e+00 1.0916454222e-06 1.9159734673e-07
1.1968451721e+00 1.1135562709e-06 1.9766928160e-07
1.2095775675e+00 1.1354720807e-06 2.0361664858e-07
1.2223099629e+00 1.1574248376e-06 2.0942333039e-07
1.2350423584e+00 1.1794509902e-06 2.1507228952e-07
1.2477747538e+00 1.2015925972e-06 2.2054888165e-07
1.2605071493e+00 1.2238996568e-06 2.2584050593e-07
1.2732395447e+00 1.2464163281e-06 2.3093117459e-07
1.2859719402e+00 1.2692003655e-06 2.3581186074e-07
1.2987043356e+00 1.2923077460e-06 2.4047090730e-07
1.3114367311e+00 1.3157966339e-06 2.4489870990e-07
1.3241691265e+00 1.3397290789e-06 2.4908772661e-07
1.3369015220e+00 1.3641589819e-06 2.5302581297e-07
1.3496339174e+00 1.3891557068e-06 2.5671122168e-07
1.3623663129e+00 1.4147780935e-06 2.6013529440e-07
1.3750987083e+00 1.4410853116e-06 2.6329473202e-07
