# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 4 jobs
1.2732395447e-02 1.1763686505e+00 5.1816909969e-01
2.5464790895e-02 1.1810699248e+00 5.1467112874e-01
3.8197186342e-02 1.1889203792e+00 5.0889272593e-01
5.0929581789e-02 1.1999357849e+00 5.0090509875e-01
6.3661977237e-02 1.2141468784e+00 4.9082039577e-01
7.6394372684e-02 1.2315794793e+00 4.7877777018e-01
8.9126768131e-02 1.2522784794e+00 4.6496735623e-01
1.0185916358e-01 1.2762710209e+00 4.4960811981e-01
1.1459155903e-01 1.3036069981e+00 4.3298884401e-01
1.2732395447e-01 1.3343166813e+00 4.1544251771e-01
1.4005634992e-01 1.3684392272e+00 3.9737993727e-01
1.5278874537e-01 1.4060050343e+00 3.7929128096e-01
1.6552114082e-01 1.4470361782e+00 3.6175005795e-01
1.7825353626e-01 1.4915468835e+00 3.4542091423e-01
1.9098593171e-01 1.5395387070e+00 3.3104491169e-01
2.0371832716e-01 1.5910034378e+00 3.1941344639e-01
2.1645072260e-01 1.6459272619e+00 3.1128897069e-01
2.2918311805e-01 1.7042635690e+00 3.0731115822e-01
2.4191551350e-01 1.7659707198e+00 3.0790347965e-01
2.5464790895e-01 1.8309815005e+00 3.1317190681e-01
2.6738030439e-01 1.8992113424e+00 3.2288968438e-01
2.8011269984e-01 1.9705712899e+00 3.3656058053e-01
2.9284509529e-01 2.0449565322e+00 3.5348858322e-01
3.0557749074e-01 2.1222479687e+00 3.7290856496e-01
3.1830988618e-01 2.2023199478e+00 3.9404108883e-01
3.3104228163e-01 2.2850462868e+00 4.1615257404e-01
3.4377467708e-01 2.3702837654e+00 4.3856587858e-01
3.5650707253e-01 2.4579008226e+00 4.6068583460e-01
3.6923946797e-01 2.5477603583e+00 4.8198321132e-01
3.8197186342e-01 2.6397433566e+00 5.0199184579e-01
3.9470425887e-01 2.7337263810e+00 5.2029723473e-01
4.0743665432e-01 2.8296082523e+00 5.3654725867e-01
4.2016904976e-01 2.9273003047e+00 5.5042681589e-01
4.3290144521e-01 3.0267501676e+00 5.6167758992e-01
4.4563384066e-01 3.1279118865e+00 5.7007495389e-01
4.5836623610e-01 3.2307737943e+00 5.7543648268e-01
4.7109863155e-01 3.3353574232e+00 5.7762008703e-01
4.8383102700e-01 3.4417233103e+00 5.7652578284e-01
4.9656342245e-01 3.5499636385e+00 5.7209088339e-01
5.0929581789e-01 3.6601940882e+00 5.6430306834e-01
5.2202821334e-01 3.7725914282e+00 5.5317955784e-01
5.3476060879e-01 3.8873585034e+00 5.3878769339e-01
5.4749300424e-01 4.0047273134e+00 5.2123545379e-01
5.6022539968e-01 4.1249828047e+00 5.0068464267e-01
5.7295779513e-01 4.2484400250e+00 4.7736011161e-01
5.8569019058e-01 4.3754395004e+00 4.5152384237e-01
5.9842258603e-01 4.5063585873e+00 4.2354306169e-01
6.1115498147e-01 4.6415881297e+00 3.9386522794e-01
6.2388737692e-01 4.7815485217e+00 3.6309391500e-01
6.3661977237e-01 4.9266714822e+00 3.3201355744e-01
6.4935216781e-01 5.0773987443e+00 3.0169975155e-01
6.6208456326e-01 5.2341798835e+00 2.7364763227e-01
6.7481695871e-01 5.3974423069e+00 2.4987928949e-01
6.8754935416e-01 5.5676337282e+00 2.3295753121e-01
7.0028174960e-01 5.7451533957e+00 2.2560293379e-01
7.1301414505e-01 5.9304014760e+00 2.2976229726e-01
7.2574654050e-01 6.1237390372e+00 2.4571363612e-01
7.3847893595e-01 6.3254773193e+00 2.7209141232e-01
7.5121133139e-01 6.5359083728e+00 3.0680122832e-01
7.6394372684e-01 6.7552799678e+00 3.4785375852e-01
7.7667612229e-01 6.9837430117e+00 3.9371647821e-01
7.8940851774e-01 7.2214392789e+00 4.4332949030e-01
