# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 5.4606562159e-10
3.8197186342e-02 1.1461144251e-09
5.0929581789e-02 1.8017649716e-09
6.3661977237e-02 2.5147675269e-09
7.6394372684e-02 3.2870039360e-09
8.9126768131e-02 4.1204872063e-09
1.0185916358e-01 5.0173603639e-09
1.1459155903e-01 5.9798947844e-09
1.2732395447e-01 7.0104881328e-09
1.4005634992e-01 8.1116614917e-09
1.5278874537e-01 9.2637976815e-09
1.6552114082e-01 1.0447307037e-08
1.7825353626e-01 1.1664821979e-08
1.9098593171e-01 1.2918963058e-08
2.0371832716e-01 1.4212333310e-08
2.1645072260e-01 1.5547512084e-08
2.2918311805e-01 1.6927048511e-08
2.4191551350e-01 1.8353455053e-08
2.5464790895e-01 1.9829201202e-08
2.6738030439e-01 2.1356707375e-08
2.8011269984e-01 2.2938339349e-08
2.9284509529e-01 2.4576403354e-08
3.0557749074e-01 2.6273142414e-08
3.1830988618e-01 2.8030733794e-08
3.3104228163e-01 2.9851287616e-08
3.4377467708e-01 3.1736847169e-08
3.5650707253e-01 3.3689390880e-08
3.6923946797e-01 3.5710836346e-08
3.8197186342e-01 3.7803045938e-08
3.9470425887e-01 3.9967834393e-08
4.0743665432e-01 4.2206978869e-08
4.2016904976e-01 4.4522230455e-08
4.3290144521e-01 4.6915327623e-08
4.4563384066e-01 4.9388011812e-08
4.5836623610e-01 5.1942044464e-08
4.7109863155e-01 5.4579225377e-08
4.8383102700e-01 5.7301412333e-08
4.9656342245e-01 6.0110541648e-08
5.0929581789e-01 6.3008649379e-08
5.2202821334e-01 6.5997892697e-08
5.3476060879e-01 6.9080571339e-08
5.4749300424e-01 7.2259148453e-08
5.6022539968e-01 7.5536270743e-08
5.7295779513e-01 7.8914787172e-08
5.8569019058e-01 8.2397765941e-08
5.9842258603e-01 8.5988509986e-08
6.1115498147e-01 8.9690569513e-08
6.2388737692e-01 9.3507751857e-08
6.3661977237e-01 9.7444128808e-08
6.4935216781e-01 1.0150404023e-07
6.6208456326e-01 1.0569209404e-07
6.7481695871e-01 1.1001316274e-07
6.8754935416e-01 1.1447237627e-07
7.0028174960e-01 1.1907511102e-07
7.1301414505e-01 1.2382697451e-07
7.2574654050e-01 1.2873378685e-07
7.3847893595e-01 1.3380155838e-07
7.5121133139e-01 1.3903646371e-07
7.6394372684e-01 1.4444481296e-07
7.7667612229e-01 1.5003302019e-07
7.8940851774e-01 1.5580756900e-07
8.0214091318e-01 1.6177497598e-07
8.1487330863e-01 1.6794175341e-07
8.2760570408e-01 1.7431437060e-07
8.4033809953e-01 1.8089921449e-07
8.5307049497e-01 1.8770255081e-07
8.6580289042e-01 1.9473048555e-07
8.7853528587e-01 2.0198892826e-07
8.9126768131e-01 2.0948355704e-07
9.0400007676e-01 2.1721978531e-07
9.1673247221e-01 2.2520273293e-07
9.2946486766e-01 2.3343720029e-07
9.4219726310e-01 2.4192764625e-07
9.5492965855e-01 2.5067817098e-07
9.6766205400e-01 2.5969250309e-07
9.8039444945e-01 2.6897399269e-07
9.9312684489e-01 2.7852560930e-07
1.0058592403e+00 2.8834994477e-07
1.0185916358e+00 2.9844922332e-07
1.0313240312e+00 3.0882531696e-07
1.0440564267e+00 3.1947976516e-07
1.0567888221e+00 3.3041380106e-07
1.0695212176e+00 3.4162838245e-07
1.0822536130e+00 3.5312422760e-07
1.0949860085e+00 3.6490185665e-07
1.1077184039e+00 3.7696163585e-07
1.1204507994e+00 3.8930382499e-07
1.1331831948e+00 4.0192862947e-07
1.1459155903e+00 4.1483625282e-07
1.1586479857e+00 4.2802695119e-07
1.1713803812e+00 4.4150109081e-07
1.1841127766e+00 4.5525920400e-07
1.1968451721e+00 4.6930204593e-07
1.2095775675e+00 4.8363064814e-07
1.2223099629e+00 4.9824637202e-07
1.2350423584e+00 5.1315096171e-07
1.2477747538e+00 5.2834659079e-07
1.2605071493e+00 5.4383590590e-07
1.2732395447e+00 5.5962206900e-07
1.2859719402e+00 5.7570879283e-07
1.2987043356e+00 5.9210037155e-07
1.3114367311e+00 6.0880170721e-07
1.3241691265e+00 6.2581832927e-07
1.3369015220e+00 6.4315641016e-07
1.3496339174e+00 6.6082277248e-07
1.3623663129e+00 6.7882489174e-07
1.3750987083e+00 6.9717089508e-07
1.3878311038e+00 7.1586955124e-07
1.4005634992e+00 7.3493025547e-07
1.4132958947e+00 7.5436301172e-07
1.4260282901e+00 7.7417840772e-07
1.4387606856e+00 7.9438758369e-07
1.4514930810e+00 8.1500219824e-07
1.4642254764e+00 8.3603439027e-07
1.4769578719e+00 8.5749673952e-07
1.4896902673e+00 8.7940222042e-07
1.5024226628e+00 9.0176415326e-07
1.5151550582e+00 9.2459615499e-07
1.5278874537e+00 9.4791208905e-07
1.5406198491e+00 9.7172601146e-07
1.5533522446e+00 9.9605211572e-07
1.5660846400e+00 1.0209046801e-06
1.5788170355e+00 1.0462980120e-06
1.5915494309e+00 1.0722463928e-06
1.6042818264e+00 1.0987640234e-06
1.6170142218e+00 1.1258649728e-06
1.6297466173e+00 1.1535631255e-06
1.6424790127e+00 1.1818721284e-06
1.6552114082e+00 1.2108053413e-06
1.6679438036e+00 1.2403757875e-06
1.6806761991e+00 1.2705961076e-06
1.6934085945e+00 1.3014785137e-06
1.7061409899e+00 1.3330347447e-06
1.7188733854e+00 1.3652760253e-06
1.7316057808e+00 1.3982130250e-06
1.7443381763e+00 1.4318558175e-06
1.7570705717e+00 1.4662138461e-06
1.7698029672e+00 1.5012958869e-06
1.7825353626e+00 1.5371100157e-06
1.7952677581e+00 1.5736635760e-06
1.8080001535e+00 1.6109631493e-06
1.8207325490e+00 1.6490145295e-06
1.8334649444e+00 1.6878226952e-06
1.8461973399e+00 1.7273917869e-06
1.8589297353e+00 1.7677250882e-06
1.8716621308e+00 1.8088250089e-06
1.8843945262e+00 1.8506930687e-06
1.8971269217e+00 1.8933298858e-06
1.9098593171e+00 1.9367351669e-06
1.9225917126e+00 1.9809077073e-06
1.9353241080e+00 2.0258453922e-06
1.9480565034e+00 2.0715451959e-06
1.9607888989e+00 2.1180031923e-06
1.9735212943e+00 2.1652145723e-06
1.9862536898e+00 2.2131736590e-06
1.9989860852e+00 2.2618739314e-06
2.0117184807e+00 2.3113080578e-06
2.0244508761e+00 2.3614679272e-06
2.0371832716e+00 2.4123446907e-06
2.0499156670e+00 2.4639288092e-06
2.0626480625e+00 2.5162101016e-06
2.0753804579e+00 2.5691778028e-06
2.0881128534e+00 2.6228206265e-06
2.1008452488e+00 2.6771268293e-06
2.1135776443e+00 2.7320842808e-06
2.1263100397e+00 2.7876805379e-06
2.1390424352e+00 2.8439029203e-06
2.1517748306e+00 2.9007385892e-06
2.1645072260e+00 2.9581746282e-06
2.1772396215e+00 3.0161981277e-06
2.1899720169e+00 3.0747962647e-06
2.2027044124e+00 3.1339563774e-06
2.2154368078e+00 3.1936660487e-06
2.2281692033e+00 3.2539131832e-06
