# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 8.7489357954e-03
3.8197186342e-02 1.8362777518e-02
5.0929581789e-02 2.8867457374e-02
6.3661977237e-02 4.0291017715e-02
7.6394372684e-02 5.2663609022e-02
8.9126768131e-02 6.6017483226e-02
1.0185916358e-01 8.0386975394e-02
1.1459155903e-01 9.5808476973e-02
1.2732395447e-01 1.1232040279e-01
1.4005634992e-01 1.2996314505e-01
1.5278874537e-01 1.4842240187e-01
1.6552114082e-01 1.6738431222e-01
1.7825353626e-01 1.8689105214e-01
1.9098593171e-01 2.0698460748e-01
2.0371832716e-01 2.2770668344e-01
2.1645072260e-01 2.4909860578e-01
2.2918311805e-01 2.7120121606e-01
2.4191551350e-01 2.9405476839e-01
2.5464790895e-01 3.1769882836e-01
2.6738030439e-01 3.4217217535e-01
2.8011269984e-01 3.6751271327e-01
2.9284509529e-01 3.9375739202e-01
3.0557749074e-01 4.2094214878e-01
3.1830988618e-01 4.4910186719e-01
3.3104228163e-01 4.7827035513e-01
3.4377467708e-01 5.0848034971e-01
3.5650707253e-01 5.3976354881e-01
3.6923946797e-01 5.7215067574e-01
3.8197186342e-01 6.0567156896e-01
3.9470425887e-01 6.4035530376e-01
4.0743665432e-01 6.7623035335e-01
4.2016904976e-01 7.1332477329e-01
4.3290144521e-01 7.5166641695e-01
4.4563384066e-01 7.9128318524e-01
4.5836623610e-01 8.3220329963e-01
4.7109863155e-01 8.7445559602e-01
4.8383102700e-01 9.1806983936e-01
4.9656342245e-01 9.6307705285e-01
5.0929581789e-01 1.0095098577e+00
5.2202821334e-01 1.0574028157e+00
5.3476060879e-01 1.1067927726e+00
5.4749300424e-01 1.1577191924e+00
5.6022539968e-01 1.2102244800e+00
5.7295779513e-01 1.2643542808e+00
5.8569019058e-01 1.3201577528e+00
5.9842258603e-01 1.3776878149e+00
6.1115498147e-01 1.4370013476e+00
6.2388737692e-01 1.4981593512e+00
6.3661977237e-01 1.5612270630e+00
6.4935216781e-01 1.6262740151e+00
6.6208456326e-01 1.6933740346e+00
6.7481695871e-01 1.7626051877e+00
6.8754935416e-01 1.8340496649e+00
7.0028174960e-01 1.9077936056e+00
7.1301414505e-01 1.9839268522e+00
7.2574654050e-01 2.0625426530e+00
7.3847893595e-01 2.1437373043e+00
7.5121133139e-01 2.2276097343e+00
7.6394372684e-01 2.3142610423e+00
7.7667612229e-01 2.4037939928e+00
7.8940851774e-01 2.4963124645e+00
8.0214091318e-01 2.5919208649e+00
8.1487330863e-01 2.6907235318e+00
8.2760570408e-01 2.7928241155e+00
8.4033809953e-01 2.8983249456e+00
8.5307049497e-01 3.0073264105e+00
8.6580289042e-01 3.1199263388e+00
8.7853528587e-01 3.2362194119e+00
8.9126768131e-01 3.3562966029e+00
9.0400007676e-01 3.4802446447e+00
9.1673247221e-01 3.6081455662e+00
9.2946486766e-01 3.7400762781e+00
9.4219726310e-01 3.8761082194e+00
9.5492965855e-01 4.0163070819e+00
9.6766205400e-01 4.1607326048e+00
9.8039444945e-01 4.3094384625e+00
9.9312684489e-01 4.4624722319e+00
1.0058592403e+00 4.6198754393e+00
1.0185916358e+00 4.7816837203e+00
1.0313240312e+00 4.9479270683e+00
1.0440564267e+00 5.1186301477e+00
1.0567888221e+00 5.2938127160e+00
1.0695212176e+00 5.4734901187e+00
1.0822536130e+00 5.6576738635e+00
1.0949860085e+00 5.8463722842e+00
1.1077184039e+00 6.0395912487e+00
1.1204507994e+00 6.2373349193e+00
1.1331831948e+00 6.4396065867e+00
1.1459155903e+00 6.6464095120e+00
1.1586479857e+00 6.8577477992e+00
1.1713803812e+00 7.0736273158e+00
1.1841127766e+00 7.2940565906e+00
1.1968451721e+00 7.5190477228e+00
1.2095775675e+00 7.7486172393e+00
1.2223099629e+00 7.9827869523e+00
1.2350423584e+00 8.2215848056e+00
1.2477747538e+00 8.4650456242e+00
1.2605071493e+00 8.7132118117e+00
1.2732395447e+00 8.9661340282e+00
1.2859719402e+00 9.2238717587e+00
1.2987043356e+00 9.4864938028e+00
1.3114367311e+00 9.7540787004e+00
1.3241691265e+00 1.0026715043e+01
1.3369015220e+00 1.0304501724e+01
1.3496339174e+00 1.0587548053e+01
1.3623663129e+00 1.0875973801e+01
1.3750987083e+00 1.1169909180e+01
1.3878311038e+00 1.1469494680e+01
1.4005634992e+00 1.1774880829e+01
1.4132958947e+00 1.2086227909e+01
1.4260282901e+00 1.2403705554e+01
1.4387606856e+00 1.2727492249e+01
1.4514930810e+00 1.3057774787e+01
1.4642254764e+00 1.3394747653e+01
1.4769578719e+00 1.3738612398e+01
1.4896902673e+00 1.4089576895e+01
1.5024226628e+00 1.4447854557e+01
1.5151550582e+00 1.4813663554e+01
1.5278874537e+00 1.5187226002e+01
1.5406198491e+00 1.5568767102e+01
1.5533522446e+00 1.5958514260e+01
1.5660846400e+00 1.6356696241e+01
1.5788170355e+00 1.6763542271e+01
1.5915494309e+00 1.7179281165e+01
1.6042818264e+00 1.7604140446e+01
1.6170142218e+00 1.8038345524e+01
1.6297466173e+00 1.8482118855e+01
1.6424790127e+00 1.8935679086e+01
1.6552114082e+00 1.9399240262e+01
1.6679438036e+00 1.9873011041e+01
1.6806761991e+00 2.0357193948e+01
1.6934085945e+00 2.0851984643e+01
1.7061409899e+00 2.1357571203e+01
1.7188733854e+00 2.1874133467e+01
1.7316057808e+00 2.2401842379e+01
1.7443381763e+00 2.2940859341e+01
1.7570705717e+00 2.3491335647e+01
1.7698029672e+00 2.4053411907e+01
1.7825353626e+00 2.4627217511e+01
1.7952677581e+00 2.5212870113e+01
1.8080001535e+00 2.5810475161e+01
1.8207325490e+00 2.6420125483e+01
1.8334649444e+00 2.7041900846e+01
1.8461973399e+00 2.7675867587e+01
1.8589297353e+00 2.8322078317e+01
1.8716621308e+00 2.8980571642e+01
1.8843945262e+00 2.9651371914e+01
1.8971269217e+00 3.0334489034e+01
1.9098593171e+00 3.1029918307e+01
1.9225917126e+00 3.1737640428e+01
1.9353241080e+00 3.2457621514e+01
1.9480565034e+00 3.3189813092e+01
1.9607888989e+00 3.3934152255e+01
1.9735212943e+00 3.4690561954e+01
1.9862536898e+00 3.5458951234e+01
1.9989860852e+00 3.6239215619e+01
2.0117184807e+00 3.7031237642e+01
2.0244508761e+00 3.7834887349e+01
2.0371832716e+00 3.8650022966e+01
2.0499156670e+00 3.9476491659e+01
2.0626480625e+00 4.0314130309e+01
2.0753804579e+00 4.1162766442e+01
2.0881128534e+00 4.2022219230e+01
2.1008452488e+00 4.2892300521e+01
2.1135776443e+00 4.3772815967e+01
2.1263100397e+00 4.4663566208e+01
2.1390424352e+00 4.5564348083e+01
2.1517748306e+00 4.6474955889e+01
2.1645072260e+00 4.7395182686e+01
2.1772396215e+00 4.8324821638e+01
2.1899720169e+00 4.9263667295e+01
2.2027044124e+00 5.0211516798e+01
2.2154368078e+00 5.1168171201e+01
2.2281692033e+00 5.2133436711e+01
2.2409015987e+00 5.3107125763e+01
2.2536339942e+00 5.4089058158e+01
2.2663663896e+00 5.5079062049e+01
2.2790987851e+00 5.6076974800e+01
2.2918311805e+00 5.7082643781e+01
2.3045635760e+00 5.8095927022e+01
2.3172959714e+00 5.9116693748e+01
2.3300283669e+00 6.0144824778e+01
2.3427607623e+00 6.1180212734e+01
2.3554931578e+00 6.2222762110e+01
2.3682255532e+00 6.3272389227e+01
2.3809579487e+00 6.4329022018e+01
2.3936903441e+00 6.5392599658e+01
2.4064227395e+00 6.6463072076e+01
2.4191551350e+00 6.7540399312e+01
2.4318875304e+00 6.8624550752e+01
2.4446199259e+00 6.9715504228e+01
2.4573523213e+00 7.0813245023e+01
2.4700847168e+00 7.1917764921e+01
2.4828171122e+00 7.3029061059e+01
2.4955495077e+00 7.4147134700e+01
2.5082819031e+00 7.5271990111e+01
2.5210142986e+00 7.6403633371e+01
2.5337466940e+00 7.7542071191e+01
2.5464790895e+00 7.8687309794e+01
2.5592114849e+00 7.9839353891e+01
2.5719438804e+00 8.0998205682e+01
2.5846762758e+00 8.2163863958e+01
2.5974086713e+00 8.3336323383e+01
2.6101410667e+00 8.4515573861e+01
2.6228734622e+00 8.5701600096e+01
2.6356058576e+00 8.6894381279e+01
2.6483382530e+00 8.8093891009e+01
2.6610706485e+00 8.9300097363e+01
2.6738030439e+00 9.0512963121e+01
2.6865354394e+00 9.1732446221e+01
2.6992678348e+00 9.2958500396e+01
2.7120002303e+00 9.4191076005e+01
2.7247326257e+00 9.5430121041e+01
2.7374650212e+00 9.6675582234e+01
2.7501974166e+00 9.7927406358e+01
2.7629298121e+00 9.9185541706e+01
2.7756622075e+00 1.0044993960e+02
2.7883946030e+00 1.0172055607e+02
2.8011269984e+00 1.0299735348e+02
2.8138593939e+00 1.0428030237e+02
2.8265917893e+00 1.0556938312e+02
2.8393241848e+00 1.0686458774e+02
2.8520565802e+00 1.0816592156e+02
