# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.1830988600e-02 1.8241965800e+00 1.3724030600e-01 1.0117335824e+06 6.3621531247e+05 1.8030404562e-06 1.1419037899e-06
6.3661977200e-02 1.8268955000e+00 1.3723842100e-01 1.0741730202e+06 6.3481032616e+05 1.7007460304e-06 1.0131874562e-06
9.5492965900e-02 1.8313800800e+00 1.3727042200e-01 1.1813673017e+06 6.3524920648e+05 1.5502207293e-06 8.4164991754e-07
1.2732395400e-01 1.8376327600e+00 1.3738456500e-01 1.3308860409e+06 6.4073374504e+05 1.3807589106e-06 6.7271160313e-07
1.5915494300e-01 1.8456275100e+00 1.3764932600e-01 1.5274248014e+06 6.5553881495e+05 1.2083262680e-06 5.2636040332e-07
1.9098593200e-01 1.8553334400e+00 1.3815152800e-01 1.7682265129e+06 6.8166918886e+05 1.0492623125e-06 4.1197759236e-07
2.2281692000e-01 1.8667082600e+00 1.3899242300e-01 2.0573584843e+06 7.2102755583e+05 9.0733252092e-07 3.2508374758e-07
2.5464790900e-01 1.8797066100e+00 1.4028286100e-01 2.3907527553e+06 7.7137597909e+05 7.8624048674e-07 2.6037808865e-07
2.8647889800e-01 1.8942749100e+00 1.4214295400e-01 2.7707470367e+06 8.3022519484e+05 6.8366938047e-07 2.1118031031e-07
3.1830988600e-01 1.9103545900e+00 1.4469114400e-01 3.1916617617e+06 8.9259256030e+05 5.9854543890e-07 1.7342177523e-07
3.5014087500e-01 1.9278806200e+00 1.4804129300e-01 3.6538010046e+06 9.5348809752e+05 5.2763700529e-07 1.4352857152e-07
3.8197186300e-01 1.9467801400e+00 1.5229308100e-01 4.1506429728e+06 1.0081853302e+06 4.6903097972e-07 1.1968966190e-07
4.1380285200e-01 1.9669785400e+00 1.5752841400e-01 4.6813045806e+06 1.0515503925e+06 4.2017743263e-07 1.0020277943e-07
4.4563384100e-01 1.9883931100e+00 1.6380684200e-01 5.2400381203e+06 1.0812888734e+06 3.7946157344e-07 8.4311877663e-08
4.7746482900e-01 2.0109357500e+00 1.7116384900e-01 5.8266666333e+06 1.0948856847e+06 3.4512627486e-07 7.1195443841e-08
5.0929581800e-01 2.0345207300e+00 1.7961001200e-01 6.4379814350e+06 1.0949682971e+06 3.1601842139e-07 6.0557404024e-08
5.4112680700e-01 2.0590500400e+00 1.8913596200e-01 7.0767249903e+06 1.0860867863e+06 2.9096086718e-07 5.2041748168e-08
5.7295779500e-01 2.0844261300e+00 1.9971335500e-01 7.7433163369e+06 1.0786388937e+06 2.6919036228e-07 4.5511705068e-08
6.0478878400e-01 2.1105491400e+00 2.1130178000e-01 8.4450802506e+06 1.0880062017e+06 2.4991463401e-07 4.0776224425e-08
6.3661977200e-01 2.1373141400e+00 2.2384832400e-01 9.1858551048e+06 1.1283907225e+06 2.3267448872e-07 3.7560014096e-08
6.6845076100e-01 2.1646194500e+00 2.3729639100e-01 9.9779267454e+06 1.2145924402e+06 2.1694080396e-07 3.5538141546e-08
7.0028175000e-01 2.1923552600e+00 2.5158357200e-01 1.0827024266e+07 1.3455535598e+06 2.0248917950e-07 3.4252136140e-08
7.3211273800e-01 2.2204141400e+00 2.6664656300e-01 1.1749330747e+07 1.5173749307e+06 1.8898218017e-07 3.3327308907e-08
7.6394372700e-01 2.2486861500e+00 2.8242066400e-01 1.2750093599e+07 1.7144673013e+06 1.7636624646e-07 3.2450979420e-08
7.9577471500e-01 2.2770648900e+00 2.9884303700e-01 1.3847321691e+07 1.9237079830e+06 1.6444081685e-07 3.1426523461e-08
8.2760570400e-01 2.3054428000e+00 3.1585108800e-01 1.5043440417e+07 2.1309936984e+06 1.5325236356e-07 3.0201242675e-08
8.5943669300e-01 2.3337083700e+00 3.3338413400e-01 1.6355992265e+07 2.3241985920e+06 1.4268216396e-07 2.8749816438e-08
8.9126768100e-01 2.3617567000e+00 3.5138247900e-01 1.7783120325e+07 2.4959338004e+06 1.3280890287e-07 2.7164145167e-08
9.2309867000e-01 2.3894847300e+00 3.6978983600e-01 1.9340162294e+07 2.6384412551e+06 1.2355039703e-07 2.5488834668e-08
9.5492965900e-01 2.4167877100e+00 3.8854968800e-01 2.1020810604e+07 2.7513722170e+06 1.1497119476e-07 2.3835120038e-08
9.8676064700e-01 2.4435669200e+00 4.0760884300e-01 2.2837504548e+07 2.8326551473e+06 1.0699798285e-07 2.2241678122e-08
1.0185916400e+00 2.4697243800e+00 4.2691385500e-01 2.4780356816e+07 2.8875974974e+06 9.9664601212e-08 2.0776878823e-08
1.0504226200e+00 2.4951660500e+00 4.4641451400e-01 2.6859160889e+07 2.9194153459e+06 9.2898138566e-08 1.9447395547e-08
1.0822536100e+00 2.5198033500e+00 4.6606130700e-01 2.9061905980e+07 2.9362395045e+06 8.6704683159e-08 1.8273480431e-08
1.1140846000e+00 2.5435509700e+00 4.8580581500e-01 3.1396484692e+07 2.9444196528e+06 8.1013877668e-08 1.7237911511e-08
1.1459155900e+00 2.5663261400e+00 5.0560226400e-01 3.3850012110e+07 2.9515959669e+06 7.5814629893e-08 1.6334090009e-08
1.1777465800e+00 2.5880492500e+00 5.2540336400e-01 3.6428965978e+07 2.9645630426e+06 7.1043719759e-08 1.5538317915e-08
1.2095775700e+00 2.6086514200e+00 5.4516736300e-01 3.9120301619e+07 2.9884110881e+06 6.6682804376e-08 1.4837477092e-08
1.2414085600e+00 2.6280669300e+00 5.6485007900e-01 4.1929223818e+07 3.0288656920e+06 6.2678644885e-08 1.4212044637e-08
1.2732395400e+00 2.6462357600e+00 5.8441112800e-01 4.4842559541e+07 3.0881481429e+06 5.9011701988e-08 1.3651440607e-08
1.3050705300e+00 2.6630991400e+00 6.0381103000e-01 4.7863966922e+07 3.1701545959e+06 5.5638914015e-08 1.3142373943e-08
1.3369015200e+00 2.6786033700e+00 6.2300574600e-01 5.0979958547e+07 3.2738802779e+06 5.2542282229e-08 1.2677870318e-08
1.3687325100e+00 2.6927067400e+00 6.4195955000e-01 5.4192068442e+07 3.3999248330e+06 4.9688207470e-08 1.2249317607e-08
1.4005635000e+00 2.7053795600e+00 6.6063952800e-01 5.7486717486e+07 3.5436282258e+06 4.7060950395e-08 1.1852530745e-08
1.4323944900e+00 2.7165756900e+00 6.7900369500e-01 6.0863532765e+07 3.7015052327e+06 4.4633881186e-08 1.1481655905e-08
1.4642254800e+00 2.7262774400e+00 6.9702184200e-01 6.4309083175e+07 3.8669756506e+06 4.2393349515e-08 1.1134358342e-08
1.4960564700e+00 2.7344709200e+00 7.1466291700e-01 6.7821362034e+07 4.0348544738e+06 4.0318726106e-08 1.0806988768e-08
