# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.1830988600e-02 1.8241965800e+00 1.3724030600e-01 5.0586679121e+05 3.1810765623e+05 3.6060809124e-06 2.2838075797e-06
6.3661977200e-02 1.8268955000e+00 1.3723842100e-01 5.3708651009e+05 3.1740516309e+05 3.4014920607e-06 2.0263749124e-06
9.5492965900e-02 1.8313800800e+00 1.3727042200e-01 5.9068365083e+05 3.1762460323e+05 3.1004414587e-06 1.6832998351e-06
1.2732395400e-01 1.8376327600e+00 1.3738456500e-01 6.6544302046e+05 3.2036687251e+05 2.7615178212e-06 1.3454232062e-06
1.5915494300e-01 1.8456275100e+00 1.3764932600e-01 7.6371240073e+05 3.2776940747e+05 2.4166525360e-06 1.0527208066e-06
1.9098593200e-01 1.8553334400e+00 1.3815152800e-01 8.8411325645e+05 3.4083459443e+05 2.0985246251e-06 8.2395518470e-07
2.2281692000e-01 1.8667082600e+00 1.3899242300e-01 1.0286792421e+06 3.6051377791e+05 1.8146650418e-06 6.5016749515e-07
2.5464790900e-01 1.8797066100e+00 1.4028286100e-01 1.1953763776e+06 3.8568798955e+05 1.5724809735e-06 5.2075617731e-07
2.8647889800e-01 1.8942749100e+00 1.4214295400e-01 1.3853735183e+06 4.1511259742e+05 1.3673387609e-06 4.2236062062e-07
3.1830988600e-01 1.9103545900e+00 1.4469114400e-01 1.5958308809e+06 4.4629628014e+05 1.1970908778e-06 3.4684355045e-07
3.5014087500e-01 1.9278806200e+00 1.4804129300e-01 1.8269005024e+06 4.7674404875e+05 1.0552740105e-06 2.8705714301e-07
3.8197186300e-01 1.9467801400e+00 1.5229308100e-01 2.0753214864e+06 5.0409266511e+05 9.3806195942e-07 2.3937932380e-07
4.1380285200e-01 1.9669785400e+00 1.5752841400e-01 2.3406522903e+06 5.2577519625e+05 8.4035486526e-07 2.0040555886e-07
4.4563384100e-01 1.9883931100e+00 1.6380684200e-01 2.6200190602e+06 5.4064443670e+05 7.5892314687e-07 1.6862375532e-07
4.7746482900e-01 2.0109357500e+00 1.7116384900e-01 2.9133333167e+06 5.4744284235e+05 6.9025254972e-07 1.4239088768e-07
5.0929581800e-01 2.0345207300e+00 1.7961001200e-01 3.2189907175e+06 5.4748414855e+05 6.3203684277e-07 1.2111480805e-07
