# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.2732395447e-02 -2.7805703862e-08 8.2736243742e-08 -6.5518400785e-09 3.8361358643e-08 1.0020494679e-07 7.8451146725e-08 3.7798540901e-08 -5.5221578698e-08
2.5464790895e-02 -2.8202142054e-08 8.2935222448e-08 -6.1230331732e-09 3.8140993858e-08 1.0068379724e-07 7.8808033427e-08 3.8491073168e-08 -5.4244305908e-08
3.8197186342e-02 -2.8858948147e-08 8.3266978299e-08 -5.4071482808e-09 3.7783119563e-08 1.0148098546e-07 7.9398177687e-08 3.9641387111e-08 -5.2614643825e-08
5.0929581789e-02 -2.9770646474e-08 8.3732072324e-08 -4.4023753255e-09 3.7301818167e-08 1.0259465796e-07 8.0214535106e-08 4.1243893433e-08 -5.0331749571e-08
6.3661977237e-02 -3.0929479844e-08 8.4331065553e-08 -3.1059991940e-09 3.6716306949e-08 1.0402277589e-07 8.1247683807e-08 4.3290478633e-08 -4.7394405651e-08
7.6394372684e-02 -3.2325044492e-08 8.5065080048e-08 -1.5149427579e-09 3.6050892781e-08 1.0576181762e-07 8.2485472206e-08 4.5770865612e-08 -4.3801488225e-08
8.9126768131e-02 -3.3945020169e-08 8.5935144363e-08 3.7450463781e-10 3.5334437807e-08 1.0780761278e-07 8.3913547347e-08 4.8672703820e-08 -3.9552248066e-08
1.0185916358e-01 -3.5774531317e-08 8.6943502619e-08 2.5663251594e-09 3.4599888523e-08 1.1015478624e-07 8.5515442954e-08 5.1981298808e-08 -3.4646216908e-08
1.1459155903e-01 -3.7796238330e-08 8.8092398937e-08 5.0651344996e-09 3.3883904472e-08 1.1279638738e-07 8.7272931654e-08 5.5680333427e-08 -2.9084331284e-08
1.2732395447e-01 -3.9990520071e-08 8.9385293003e-08 7.8756388550e-09 3.3226332982e-08 1.1572416816e-07 8.9166024974e-08 5.9751056478e-08 -2.2868501722e-08
1.4005634992e-01 -4.2335200094e-08 9.0826299039e-08 1.1002634926e-08 3.2669194874e-08 1.1892784168e-07 9.1173853890e-08 6.4173003912e-08 -1.6002202762e-08
1.5278874537e-01 -4.4805729166e-08 9.2420279305e-08 1.4450919412e-08 3.2256322209e-08 1.2239536022e-07 9.3274404666e-08 6.8924179129e-08 -8.4914001235e-09
1.6552114082e-01 -4.7374637698e-08 9.4173685650e-08 1.8225108007e-08 3.2032724356e-08 1.2611217384e-07 9.5445135235e-08 7.3980512082e-08 -3.4417609061e-10
1.7825353626e-01 -5.0012448355e-08 9.6093717960e-08 2.2329544892e-08 3.2043772934e-08 1.3006187911e-07 9.7663415476e-08 7.9317031221e-08 8.4283339523e-09
1.9098593171e-01 -5.2686580927e-08 9.8189165708e-08 2.6768302737e-08 3.2334386749e-08 1.3422510702e-07 9.9906703323e-08 8.4906961998e-08 1.7812025809e-08
2.0371832716e-01 -5.5362173677e-08 1.0046975342e-07 3.1544911189e-08 3.2948307301e-08 1.3857989364e-07 1.0215324920e-07 9.0722628363e-08 2.7789011689e-08
2.1645072260e-01 -5.8001627034e-08 1.0294688870e-07 3.6662266369e-08 3.3927645971e-08 1.4310130946e-07 1.0438236020e-07 9.6735452769e-08 3.8338032280e-08
2.2918311805e-01 -6.0564877377e-08 1.0563319474e-07 4.2122540368e-08 3.5311978403e-08 1.4776238613e-07 1.0657457618e-07 1.0291622662e-07 4.9433379734e-08
2.4191551350e-01 -6.3009488299e-08 1.0854241678e-07 4.7927452758e-08 3.7138072814e-08 1.5253235564e-07 1.0871219809e-07 1.0923483981e-07 6.1045525149e-08
2.5464790895e-01 -6.5290285557e-08 1.1168951561e-07 5.4078089584e-08 3.9438259876e-08 1.5737841112e-07 1.1077990437e-07 1.1566154284e-07 7.3140762680e-08
2.6738030439e-01 -6.7359904643e-08 1.1509085463e-07 6.0573636311e-08 4.2241338343e-08 1.6226339000e-07 1.1276483900e-07 1.2216604533e-07 8.5681069064e-08
2.8011269984e-01 -6.9168882046e-08 1.1876335823e-07 6.7413368911e-08 4.5571126048e-08 1.6714985167e-07 1.1465687566e-07 1.2871886821e-07 9.8624668348e-08
2.9284509529e-01 -7.0665563985e-08 1.2272488589e-07 7.4595929826e-08 4.9446188224e-08 1.7199590715e-07 1.1644949828e-07 1.3529062258e-07 1.1192471606e-07
3.0557749074e-01 -7.1796471460e-08 1.2699376458e-07 8.2118422935e-08 5.3879928065e-08 1.7675781396e-07 1.1813927273e-07 1.4185318166e-07 1.2553190277e-07
3.1830988618e-01 -7.2506482771e-08 1.3158850831e-07 8.9979309674e-08 5.8879681101e-08 1.8139090286e-07 1.1972655121e-07 1.4837968074e-07 1.3939328342e-07
3.3104228163e-01 -7.2739016038e-08 1.3652800508e-07 9.8172073771e-08 6.4447168012e-08 1.8584911450e-07 1.2121582454e-07 1.5484271423e-07 1.5345346205e-07
3.4377467708e-01 -7.2436485512e-08 1.4182964685e-07 1.0669354759e-07 7.0578404065e-08 1.9008277522e-07 1.2261563405e-07 1.6122073627e-07 1.6765440169e-07
3.5650707253e-01 -7.1540392831e-08 1.4751091904e-07 1.1553987568e-07 7.7261797310e-08 1.9404499158e-07 1.2393865963e-07 1.6748976696e-07 1.8193429110e-07
