# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
1.2732395447e-02 4.9662091171e-01 3.1842916343e-01
2.5464790895e-02 5.0166080834e-01 3.1824377299e-01
3.8197186342e-02 5.1007277412e-01 3.1797153947e-01
5.0929581789e-02 5.2187340134e-01 3.1766713521e-01
6.3661977237e-02 5.3708651014e-01 3.1740516308e-01
7.6394372684e-02 5.5574030552e-01 3.1727709651e-01
8.9126768131e-02 5.7786642437e-01 3.1738950232e-01
1.0185916358e-01 6.0350087711e-01 3.1785970415e-01
1.1459155903e-01 6.3268056849e-01 3.1881083820e-01
1.2732395447e-01 6.6544302167e-01 3.2036687257e-01
1.4005634992e-01 7.0182431300e-01 3.2264603381e-01
1.5278874537e-01 7.4185651905e-01 3.2575539612e-01
1.6552114082e-01 7.8556828305e-01 3.2978341889e-01
1.7825353626e-01 8.3298214068e-01 3.3479698283e-01
1.9098593171e-01 8.8411325520e-01 3.4083459426e-01
2.0371832716e-01 9.3896679378e-01 3.4790594148e-01
2.1645072260e-01 9.9753986331e-01 3.5599003545e-01
2.2918311805e-01 1.0598186242e+00 3.6503752084e-01
2.4191551350e-01 1.1257761665e+00 3.7497046759e-01
2.5464790895e-01 1.1953763774e+00 3.8568798951e-01
2.6738030439e-01 1.2685659439e+00 3.9706750849e-01
2.8011269984e-01 1.3452861059e+00 4.0897266746e-01
2.9284509529e-01 1.4254609253e+00 4.2125252654e-01
3.0557749074e-01 1.5090056873e+00 4.3374816646e-01
3.1830988618e-01 1.5958308821e+00 4.4629628032e-01
3.3104228163e-01 1.6858289720e+00 4.5873112216e-01
3.4377467708e-01 1.7788940335e+00 4.7088686498e-01
3.5650707253e-01 1.8749069682e+00 4.8260123217e-01
3.6923946797e-01 1.9737560173e+00 4.9371965792e-01
3.8197186342e-01 2.0753214897e+00 5.0409266545e-01
3.9470425887e-01 2.1794852547e+00 5.1358711519e-01
4.0743665432e-01 2.2861356749e+00 5.2208007624e-01
4.2016904976e-01 2.3951689063e+00 5.2947031630e-01
4.3290144521e-01 2.5064902413e+00 5.3567601013e-01
4.4563384066e-01 2.6200190571e+00 5.4064443660e-01
4.5836623610e-01 2.7356806881e+00 5.4435128343e-01
4.7109863155e-01 2.8534302849e+00 5.4681027621e-01
4.8383102700e-01 2.9732363535e+00 5.4807540854e-01
4.9656342245e-01 3.0950858938e+00 5.4824862633e-01
5.0929581789e-01 3.2189907164e+00 5.4748414857e-01
5.2202821334e-01 3.3449918081e+00 5.4599543481e-01
5.3476060879e-01 3.4731543923e+00 5.4406231195e-01
5.4749300424e-01 3.6035705879e+00 5.4202447444e-01
5.6022539968e-01 3.7363530662e+00 5.4028765929e-01
5.7295779513e-01 3.8716581699e+00 5.3931944684e-01
5.8569019058e-01 4.0096504236e+00 5.3963135337e-01
5.9842258603e-01 4.1505394053e+00 5.4176169197e-01
6.1115498147e-01 4.2945408397e+00 5.4624450954e-01
6.2388737692e-01 4.4419120611e+00 5.5358235993e-01
6.3661977237e-01 4.5929275568e+00 5.6419536155e-01
6.4935216781e-01 4.7478769189e+00 5.7840279252e-01
6.6208456326e-01 4.9070766672e+00 5.9639082937e-01
6.7481695871e-01 5.0708500780e+00 6.1820161076e-01
6.8754935416e-01 5.2395471013e+00 6.4373673095e-01
7.0028174960e-01 5.4135121273e+00 6.7277677888e-01
7.1301414505e-01 5.5931103761e+00 7.0499946586e-01
7.2574654050e-01 5.7786942110e+00 7.4000918717e-01
7.3847893595e-01 5.9706365423e+00 7.7736574490e-01
7.5121133139e-01 6.1693065931e+00 8.1660045296e-01
7.6394372684e-01 6.3750467966e+00 8.5723365013e-01
7.7667612229e-01 6.5882140850e+00 8.9879392821e-01
7.8940851774e-01 6.8091491069e+00 9.4082325689e-01
8.0214091318e-01 7.0381726006e+00 9.8288472921e-01
8.1487330863e-01 7.2755964222e+00 1.0245685383e+00
8.2760570408e-01 7.5217202100e+00 1.0654968494e+00
8.4033809953e-01 7.7768034112e+00 1.1053212886e+00
8.5307049497e-01 8.0411150219e+00 1.1437345623e+00
8.6580289042e-01 8.3148772296e+00 1.1804640279e+00
8.7853528587e-01 8.5982925472e+00 1.2152724702e+00
8.9126768131e-01 8.8915601697e+00 1.2479669010e+00
9.0400007676e-01 9.1948298676e+00 1.2783909838e+00
9.1673247221e-01 9.5082428719e+00 1.3064309058e+00
9.2946486766e-01 9.8319194186e+00 1.3320103491e+00
9.4219726310e-01 1.0165948027e+01 1.3550949371e+00
9.5492965855e-01 1.0510405289e+01 1.3756861079e+00
9.6766205400e-01 1.0865337652e+01 1.3938258986e+00
9.8039444945e-01 1.1230773843e+01 1.4095842884e+00
9.9312684489e-01 1.1606730715e+01 1.4230708593e+00
1.0058592403e+00 1.1993205285e+01 1.4344220840e+00
1.0185916358e+00 1.2390178274e+01 1.4437987462e+00
1.0313240312e+00 1.2797611672e+01 1.4513870574e+00
1.0440564267e+00 1.3215470220e+01 1.4573891600e+00
1.0567888221e+00 1.3643690964e+01 1.4620261891e+00
1.0695212176e+00 1.4082221512e+01 1.4655251174e+00
1.0822536130e+00 1.4530953096e+01 1.4681197528e+00
1.0949860085e+00 1.4989859637e+01 1.4700573876e+00
1.1077184039e+00 1.5458788234e+01 1.4715542515e+00
1.1204507994e+00 1.5937696582e+01 1.4728654016e+00
1.1331831948e+00 1.6426484625e+01 1.4742130485e+00
1.1459155903e+00 1.6925006067e+01 1.4757979835e+00
1.1586479857e+00 1.7433182831e+01 1.4778370382e+00
1.1713803812e+00 1.7950912155e+01 1.4805265970e+00
1.1841127766e+00 1.8478053731e+01 1.4840364450e+00
1.1968451721e+00 1.9014505603e+01 1.4885435641e+00
1.2095775675e+00 1.9560150701e+01 1.4942055427e+00
1.2223099629e+00 2.0114827154e+01 1.5011427648e+00
1.2350423584e+00 2.0678418761e+01 1.5094945370e+00
1.2477747538e+00 2.1250804707e+01 1.5193711490e+00
1.2605071493e+00 2.1831805610e+01 1.5308789132e+00
1.2732395447e+00 2.2421279988e+01 1.5440740763e+00
1.2859719402e+00 2.3019104429e+01 1.5590423583e+00
1.2987043356e+00 2.3625019187e+01 1.5757918621e+00
1.3114367311e+00 2.4238948059e+01 1.5943627435e+00
1.3241691265e+00 2.4860666919e+01 1.6147603804e+00
