# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 4.0472636237e-03
3.8197186342e-02 8.5575695473e-03
5.0929581789e-02 1.3558542710e-02
6.3661977237e-02 1.9080057244e-02
7.6394372684e-02 2.5154242639e-02
8.9126768131e-02 3.1815484427e-02
1.0185916358e-01 3.9100419116e-02
1.1459155903e-01 4.7047921832e-02
1.2732395447e-01 5.5699087218e-02
1.4005634992e-01 6.5097202317e-02
1.5278874537e-01 7.5137160848e-02
1.6552114082e-01 8.5714446265e-02
1.7825353626e-01 9.6874612570e-02
1.9098593171e-01 1.0866318031e-01
2.0371832716e-01 1.2112556459e-01
2.1645072260e-01 1.3430699458e-01
2.2918311805e-01 1.4825242720e-01
2.4191551350e-01 1.6300645657e-01
2.5464790895e-01 1.7861322177e-01
2.6738030439e-01 1.9511631219e-01
2.8011269984e-01 2.1255867554e-01
2.9284509529e-01 2.3098253189e-01
3.0557749074e-01 2.5042929505e-01
3.1830988618e-01 2.7093950391e-01
3.3104228163e-01 2.9255276395e-01
3.4377467708e-01 3.1530770482e-01
3.5650707253e-01 3.3924195654e-01
3.6923946797e-01 3.6439214103e-01
3.8197186342e-01 3.9079388417e-01
3.9470425887e-01 4.1848185086e-01
4.0743665432e-01 4.4748980435e-01
4.2016904976e-01 4.7785068791e-01
4.3290144521e-01 5.0959672774e-01
4.4563384066e-01 5.4275956325e-01
4.5836623610e-01 5.7737039711e-01
4.7109863155e-01 6.1346016842e-01
4.8383102700e-01 6.5105974635e-01
4.9656342245e-01 6.9020014174e-01
5.0929581789e-01 7.3091273837e-01
5.2202821334e-01 7.7322953406e-01
5.3476060879e-01 8.1718339653e-01
5.4749300424e-01 8.6280832704e-01
5.6022539968e-01 9.1013972976e-01
5.7295779513e-01 9.5921468249e-01
5.8569019058e-01 1.0100722049e+00
5.9842258603e-01 1.0627535232e+00
6.1115498147e-01 1.1173023260e+00
6.2388737692e-01 1.1737650131e+00
6.3661977237e-01 1.2321909236e+00
6.4935216781e-01 1.2926325495e+00
6.6208456326e-01 1.3551457303e+00
6.7481695871e-01 1.4197898216e+00
6.8754935416e-01 1.4866278392e+00
7.0028174960e-01 1.5557265825e+00
7.1301414505e-01 1.6271567220e+00
7.2574654050e-01 1.7009928629e+00
7.3847893595e-01 1.7773135800e+00
7.5121133139e-01 1.8562014176e+00
7.6394372684e-01 1.9377428682e+00
7.7667612229e-01 2.0220283169e+00
7.8940851774e-01 2.1091519586e+00
8.0214091318e-01 2.1992116932e+00
8.1487330863e-01 2.2923089957e+00
8.2760570408e-01 2.3885487613e+00
8.4033809953e-01 2.4880391328e+00
8.5307049497e-01 2.5908913082e+00
8.6580289042e-01 2.6972193365e+00
8.7853528587e-01 2.8071399028e+00
8.9126768131e-01 2.9207720958e+00
9.0400007676e-01 3.0382371754e+00
9.1673247221e-01 3.1596583378e+00
9.2946486766e-01 3.2851604749e+00
9.4219726310e-01 3.4148699384e+00
9.5492965855e-01 3.5489142991e+00
9.6766205400e-01 3.6874221212e+00
9.8039444945e-01 3.8305227378e+00
9.9312684489e-01 3.9783460323e+00
1.0058592403e+00 4.1310222456e+00
1.0185916358e+00 4.2886817732e+00
1.0313240312e+00 4.4514549753e+00
1.0440564267e+00 4.6194720160e+00
1.0567888221e+00 4.7928627014e+00
1.0695212176e+00 4.9717563273e+00
1.0822536130e+00 5.1562815489e+00
1.0949860085e+00 5.3465662468e+00
1.1077184039e+00 5.5427374047e+00
1.1204507994e+00 5.7449210157e+00
1.1331831948e+00 5.9532419765e+00
1.1459155903e+00 6.1678239865e+00
1.1586479857e+00 6.3887894741e+00
1.1713803812e+00 6.6162594981e+00
1.1841127766e+00 6.8503536677e+00
1.1968451721e+00 7.0911900813e+00
1.2095775675e+00 7.3388852344e+00
1.2223099629e+00 7.5935539483e+00
1.2350423584e+00 7.8553092810e+00
1.2477747538e+00 8.1242624856e+00
1.2605071493e+00 8.4005229269e+00
1.2732395447e+00 8.6841979670e+00
1.2859719402e+00 8.9753929354e+00
1.2987043356e+00 9.2742110448e+00
1.3114367311e+00 9.5807533037e+00
1.3241691265e+00 9.8951184396e+00
1.3369015220e+00 1.0217402836e+01
1.3496339174e+00 1.0547700468e+01
1.3623663129e+00 1.0886102807e+01
1.3750987083e+00 1.1232698781e+01
1.3878311038e+00 1.1587574713e+01
1.4005634992e+00 1.1950814249e+01
1.4132958947e+00 1.2322498316e+01
1.4260282901e+00 1.2702705069e+01
1.4387606856e+00 1.3091509870e+01
1.4514930810e+00 1.3488985229e+01
1.4642254764e+00 1.3895200786e+01
1.4769578719e+00 1.4310223290e+01
1.4896902673e+00 1.4734116556e+01
1.5024226628e+00 1.5166941480e+01
1.5151550582e+00 1.5608755963e+01
1.5278874537e+00 1.6059614901e+01
1.5406198491e+00 1.6519570196e+01
1.5533522446e+00 1.6988670692e+01
1.5660846400e+00 1.7466962132e+01
1.5788170355e+00 1.7954487106e+01
1.5915494309e+00 1.8451284998e+01
1.6042818264e+00 1.8957391898e+01
1.6170142218e+00 1.9472840495e+01
1.6297466173e+00 1.9997659999e+01
1.6424790127e+00 2.0531875959e+01
1.6552114082e+00 2.1075510095e+01
1.6679438036e+00 2.1628580146e+01
1.6806761991e+00 2.2191099625e+01
1.6934085945e+00 2.2763077559e+01
1.7061409899e+00 2.3344518245e+01
1.7188733854e+00 2.3935420950e+01
1.7316057808e+00 2.4535779530e+01
1.7443381763e+00 2.5145582126e+01
1.7570705717e+00 2.5764810780e+01
1.7698029672e+00 2.6393441040e+01
1.7825353626e+00 2.7031441568e+01
1.7952677581e+00 2.7678773701e+01
1.8080001535e+00 2.8335391022e+01
1.8207325490e+00 2.9001238936e+01
1.8334649444e+00 2.9676254261e+01
1.8461973399e+00 3.0360364819e+01
1.8589297353e+00 3.1053489040e+01
1.8716621308e+00 3.1755535601e+01
1.8843945262e+00 3.2466403097e+01
1.8971269217e+00 3.3185979719e+01
1.9098593171e+00 3.3914143048e+01
1.9225917126e+00 3.4650759894e+01
1.9353241080e+00 3.5395686130e+01
1.9480565034e+00 3.6148766670e+01
1.9607888989e+00 3.6909835504e+01
1.9735212943e+00 3.7678715762e+01
1.9862536898e+00 3.8455219928e+01
1.9989860852e+00 3.9239150144e+01
2.0117184807e+00 4.0030298561e+01
2.0244508761e+00 4.0828447793e+01
2.0371832716e+00 4.1633371486e+01
2.0499156670e+00 4.2444834987e+01
2.0626480625e+00 4.3262596089e+01
2.0753804579e+00 4.4086405847e+01
2.0881128534e+00 4.4916009500e+01
2.1008452488e+00 4.5751147473e+01
2.1135776443e+00 4.6591556467e+01
2.1263100397e+00 4.7436970580e+01
2.1390424352e+00 4.8287122515e+01
2.1517748306e+00 4.9141744828e+01
2.1645072260e+00 5.0000571209e+01
2.1772396215e+00 5.0863337804e+01
2.1899720169e+00 5.1729784528e+01
2.2027044124e+00 5.2599656383e+01
2.2154368078e+00 5.3472704812e+01
2.2281692033e+00 5.4348688973e+01
2.2409015987e+00 5.5227377035e+01
2.2536339942e+00 5.6108547441e+01
2.2663663896e+00 5.6991990075e+01
2.2790987851e+00 5.7877507382e+01
2.2918311805e+00 5.8764915437e+01
2.3045635760e+00 5.9654044905e+01
2.3172959714e+00 6.0544741907e+01
2.3300283669e+00 6.1436868869e+01
2.3427607623e+00 6.2330305217e+01
2.3554931578e+00 6.3224947937e+01
2.3682255532e+00 6.4120712100e+01
2.3809579487e+00 6.5017531241e+01
2.3936903441e+00 6.5915357660e+01
2.4064227395e+00 6.6814162622e+01
2.4191551350e+00 6.7713936427e+01
2.4318875304e+00 6.8614688419e+01
2.4446199259e+00 6.9516446871e+01
2.4573523213e+00 7.0419258817e+01
2.4700847168e+00 7.1323189816e+01
2.4828171122e+00 7.2228323612e+01
2.4955495077e+00 7.3134761786e+01
2.5082819031e+00 7.4042623305e+01
2.5210142986e+00 7.4952044011e+01
2.5337466940e+00 7.5863176144e+01
2.5464790895e+00 7.6776187813e+01
2.5592114849e+00 7.7691262458e+01
2.5719438804e+00 7.8608598304e+01
2.5846762758e+00 7.9528407810e+01
2.5974086713e+00 8.0450917091e+01
2.6101410667e+00 8.1376365398e+01
2.6228734622e+00 8.2305004660e+01
2.6356058576e+00 8.3237098937e+01
2.6483382530e+00 8.4172923972e+01
2.6610706485e+00 8.5112766790e+01
2.6738030439e+00 8.6056925253e+01
2.6865354394e+00 8.7005707657e+01
2.6992678348e+00 8.7959432416e+01
2.7120002303e+00 8.8918427721e+01
2.7247326257e+00 8.9883031205e+01
2.7374650212e+00 9.0853589684e+01
2.7501974166e+00 9.1830458865e+01
2.7629298121e+00 9.2814003030e+01
2.7756622075e+00 9.3804594769e+01
2.7883946030e+00 9.4802614710e+01
2.8011269984e+00 9.5808451175e+01
2.8138593939e+00 9.6822499813e+01
2.8265917893e+00 9.7845163274e+01
2.8393241848e+00 9.8876850805e+01
2.8520565802e+00 9.9917977772e+01
2.8647889757e+00 1.0096896518e+02
2.8775213711e+00 1.0203023914e+02
2.8902537665e+00 1.0310223017e+02
2.9029861620e+00 1.0418537266e+02
2.9157185574e+00 1.0528010405e+02
2.9284509529e+00 1.0638686406e+02
2.9411833483e+00 1.0750609384e+02
2.9539157438e+00 1.0863823512e+02
2.9666481392e+00 1.0978372914e+02
2.9793805347e+00 1.1094301569e+02
2.9921129301e+00 1.1211653212e+02
3.0048453256e+00 1.1330471208e+02
3.0175777210e+00 1.1450798451e+02
3.0303101165e+00 1.1572677245e+02
3.0430425119e+00 1.1696149189e+02
3.0557749074e+00 1.1821255051e+02
3.0685073028e+00 1.1948034660e+02
3.0812396983e+00 1.2076526788e+02
3.0939720937e+00 1.2206769031e+02
3.1067044892e+00 1.2338797699e+02
3.1194368846e+00 1.2472647707e+02
3.1321692800e+00 1.2608352474e+02
3.1449016755e+00 1.2745943822e+02
3.1576340709e+00 1.2885451886e+02
3.1703664664e+00 1.3026905027e+02
3.1830988618e+00 1.3170329748e+02
3.1958312573e+00 1.3315750624e+02
3.2085636527e+00 1.3463190231e+02
3.2212960482e+00 1.3612669088e+02
3.2340284436e+00 1.3764205604e+02
3.2467608391e+00 1.3917816027e+02
3.2594932345e+00 1.4073514403e+02
3.2722256300e+00 1.4231312537e+02
3.2849580254e+00 1.4391219961e+02
3.2976904209e+00 1.4553243899e+02
3.3104228163e+00 1.4717389248e+02
3.3231552118e+00 1.4883658547e+02
3.3358876072e+00 1.5052051953e+02
3.3486200027e+00 1.5222567217e+02
3.3613523981e+00 1.5395199660e+02
3.3740847935e+00 1.5569942144e+02
3.3868171890e+00 1.5746785050e+02
3.3995495844e+00 1.5925716241e+02
3.4122819799e+00 1.6106721029e+02
3.4250143753e+00 1.6289782139e+02
3.4377467708e+00 1.6474879665e+02
3.4504791662e+00 1.6661991026e+02
3.4632115617e+00 1.6851090920e+02
3.4759439571e+00 1.7042151270e+02
3.4886763526e+00 1.7235141171e+02
3.5014087480e+00 1.7430026838e+02
3.5141411435e+00 1.7626771551e+02
3.5268735389e+00 1.7825335599e+02
3.5396059344e+00 1.8025676231e+02
3.5523383298e+00 1.8227747604e+02
3.5650707253e+00 1.8431500743e+02
3.5778031207e+00 1.8636883512e+02
3.5905355162e+00 1.8843840581e+02
3.6032679116e+00 1.9052313420e+02
3.6160003070e+00 1.9262240292e+02
3.6287327025e+00 1.9473556275e+02
3.6414650979e+00 1.9686193297e+02
3.6541974934e+00 1.9900080180e+02
3.6669298888e+00 2.0115142720e+02
3.6796622843e+00 2.0331303782e+02
3.6923946797e+00 2.0548483417e+02
3.7051270752e+00 2.0766599012e+02
3.7178594706e+00 2.0985565463e+02
3.7305918661e+00 2.1205295363e+02
3.7433242615e+00 2.1425699234e+02
3.7560566570e+00 2.1646685772e+02
3.7687890524e+00 2.1868162123e+02
3.7815214479e+00 2.2090034183e+02
3.7942538433e+00 2.2312206923e+02
3.8069862388e+00 2.2534584730e+02
3.8197186342e+00 2.2757071778e+02
3.8324510297e+00 2.2979572406e+02
3.8451834251e+00 2.3201991506e+02
3.8579158205e+00 2.3424234940e+02
3.8706482160e+00 2.3646209946e+02
3.8833806114e+00 2.3867825562e+02
3.8961130069e+00 2.4088993033e+02
3.9088454023e+00 2.4309626230e+02
3.9215777978e+00 2.4529642057e+02
3.9343101932e+00 2.4748960837e+02
3.9470425887e+00 2.4967506687e+02
3.9597749841e+00 2.5185207882e+02
3.9725073796e+00 2.5401997175e+02
3.9852397750e+00 2.5617812102e+02
3.9979721705e+00 2.5832595247e+02
4.0107045659e+00 2.6046294479e+02
4.0234369614e+00 2.6258863149e+02
4.0361693568e+00 2.6470260241e+02
4.0489017523e+00 2.6680450484e+02
4.0616341477e+00 2.6889404419e+02
4.0743665432e+00 2.7097098421e+02
4.0870989386e+00 2.7303514672e+02
4.0998313340e+00 2.7508641089e+02
4.1125637295e+00 2.7712471214e+02
4.1252961249e+00 2.7915004046e+02
4.1380285204e+00 2.8116243837e+02
4.1507609158e+00 2.8316199855e+02
4.1634933113e+00 2.8514886096e+02
4.1762257067e+00 2.8712320969e+02
4.1889581022e+00 2.8908526947e+02
4.2016904976e+00 2.9103530189e+02
4.2144228931e+00 2.9297360148e+02
4.2271552885e+00 2.9490049150e+02
4.2398876840e+00 2.9681631965e+02
4.2526200794e+00 2.9872145370e+02
4.2653524749e+00 3.0061627707e+02
4.2780848703e+00 3.0250118442e+02
4.2908172658e+00 3.0437657736e+02
4.3035496612e+00 3.0624286019e+02
4.3162820567e+00 3.0810043592e+02
4.3290144521e+00 3.0994970235e+02
4.3417468475e+00 3.1179104852e+02
4.3544792430e+00 3.1362485143e+02
4.3672116384e+00 3.1545147307e+02
4.3799440339e+00 3.1727125777e+02
4.3926764293e+00 3.1908452993e+02
4.4054088248e+00 3.2089159227e+02
4.4181412202e+00 3.2269272426e+02
