# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
1.2732395447e-02 3.0996639270e-08 1.9874785131e-08
2.5464790895e-02 3.1311204875e-08 1.9863213970e-08
3.8197186342e-02 3.1836238483e-08 1.9846222490e-08
5.0929581789e-02 3.2572775702e-08 1.9827223071e-08
6.3661977237e-02 3.3522303268e-08 1.9810872057e-08
7.6394372684e-02 3.4686581599e-08 1.9802878770e-08
8.9126768131e-02 3.6067585315e-08 1.9809894589e-08
1.0185916358e-01 3.7667562010e-08 1.9839242278e-08
1.1459155903e-01 3.9488815095e-08 1.9898607397e-08
1.2732395447e-01 4.1533686583e-08 1.9995727423e-08
1.4005634992e-01 4.3804428183e-08 2.0137981479e-08
1.5278874537e-01 4.6303041956e-08 2.0332052609e-08
1.6552114082e-01 4.9031315673e-08 2.0583462016e-08
1.7825353626e-01 5.1990655899e-08 2.0896384064e-08
1.9098593171e-01 5.5182009052e-08 2.1273222130e-08
2.0371832716e-01 5.8605697640e-08 2.1714580908e-08
2.1645072260e-01 6.2261541090e-08 2.2219150367e-08
2.2918311805e-01 6.6148675600e-08 2.2783849988e-08
2.4191551350e-01 7.0265421592e-08 2.3403815761e-08
2.5464790895e-01 7.4609525066e-08 2.4072750864e-08
2.6738030439e-01 7.9177658503e-08 2.4783004574e-08
2.8011269984e-01 8.3966154378e-08 2.5526066152e-08
2.9284509529e-01 8.8970273004e-08 2.6292514670e-08
3.0557749074e-01 9.4184726904e-08 2.7072431170e-08
3.1830988618e-01 9.9603929318e-08 2.7855622835e-08
3.3104228163e-01 1.0522116827e-07 2.8631744617e-08
3.4377467708e-01 1.1102983253e-07 2.9390446408e-08
3.5650707253e-01 1.1702248856e-07 3.0121599699e-08
3.6923946797e-01 1.2319216093e-07 3.0815557251e-08
3.8197186342e-01 1.2953137911e-07 3.1462989458e-08
3.9470425887e-01 1.3603276995e-07 3.2055586400e-08
4.0743665432e-01 1.4268936560e-07 3.2585675334e-08
4.2016904976e-01 1.4949468464e-07 3.3046937839e-08
4.3290144521e-01 1.5644281586e-07 3.3434266782e-08
4.4563384066e-01 1.6352872720e-07 3.3744371571e-08
