# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 2.5261032634e-10
3.8197186342e-02 5.3412147985e-10
5.0929581789e-02 8.4625767362e-10
6.3661977237e-02 1.1908835043e-09
7.6394372684e-02 1.5700043369e-09
8.9126768131e-02 1.9857663476e-09
1.0185916358e-01 2.4404562073e-09
1.1459155903e-01 2.9365003105e-09
1.2732395447e-01 3.4764635831e-09
1.4005634992e-01 4.0630477898e-09
1.5278874537e-01 4.6896927126e-09
1.6552114082e-01 5.3498749418e-09
1.7825353626e-01 6.0464377344e-09
1.9098593171e-01 6.7822222596e-09
2.0371832716e-01 7.5600631052e-09
2.1645072260e-01 8.3827832546e-09
2.2918311805e-01 9.2531886970e-09
2.4191551350e-01 1.0174062779e-08
2.5464790895e-01 1.1148160445e-08
2.6738030439e-01 1.2178202331e-08
2.8011269984e-01 1.3266869022e-08
2.9284509529e-01 1.4416795688e-08
3.0557749074e-01 1.5630567175e-08
3.1830988618e-01 1.6910713723e-08
3.3104228163e-01 1.8259707310e-08
3.4377467708e-01 1.9679959009e-08
3.5650707253e-01 2.1173817502e-08
3.6923946797e-01 2.2743568549e-08
3.8197186342e-01 2.4391435743e-08
3.9470425887e-01 2.6119582696e-08
4.0743665432e-01 2.7930116745e-08
4.2016904976e-01 2.9825094048e-08
4.3290144521e-01 3.1806526005e-08
4.4563384066e-01 3.3876387393e-08
4.5836623610e-01 3.6036625729e-08
4.7109863155e-01 3.8289172080e-08
4.8383102700e-01 4.0635953148e-08
4.9656342245e-01 4.3078904479e-08
5.0929581789e-01 4.5619984892e-08
5.2202821334e-01 4.8261191535e-08
5.3476060879e-01 5.1004575850e-08
5.4749300424e-01 5.3852260027e-08
5.6022539968e-01 5.6806453823e-08
5.7295779513e-01 5.9869471451e-08
5.8569019058e-01 6.3043748327e-08
5.9842258603e-01 6.6331857587e-08
6.1115498147e-01 6.9736526069e-08
6.2388737692e-01 7.3260649802e-08
6.3661977237e-01 7.6907308312e-08
6.4935216781e-01 8.0679777877e-08
6.6208456326e-01 8.4581543727e-08
6.7481695871e-01 8.8616310551e-08
6.8754935416e-01 9.2788011487e-08
7.0028174960e-01 9.7100815819e-08
7.1301414505e-01 1.0155913446e-07
7.2574654050e-01 1.0616762390e-07
7.3847893595e-01 1.1093118837e-07
7.5121133139e-01 1.1585497992e-07
7.6394372684e-01 1.2094439696e-07
7.7667612229e-01 1.2620508089e-07
7.8940851774e-01 1.3164291089e-07
8.0214091318e-01 1.3726399740e-07
8.1487330863e-01 1.4307467398e-07
8.2760570408e-01 1.4908148768e-07
8.4033809953e-01 1.5529118825e-07
8.5307049497e-01 1.6171071611e-07
8.6580289042e-01 1.6834718965e-07
8.7853528587e-01 1.7520789176e-07
8.9126768131e-01 1.8230025540e-07
9.0400007676e-01 1.8963184900e-07
9.1673247221e-01 1.9721036188e-07
9.2946486766e-01 2.0504358915e-07
9.4219726310e-01 2.1313941708e-07
9.5492965855e-01 2.2150580802e-07
9.6766205400e-01 2.3015078631e-07
9.8039444945e-01 2.3908242428e-07
9.9312684489e-01 2.4830882862e-07
1.0058592403e+00 2.5783812832e-07
1.0185916358e+00 2.6767846205e-07
1.0313240312e+00 2.7783796623e-07
1.0440564267e+00 2.8832476507e-07
1.0567888221e+00 2.9914696044e-07
1.0695212176e+00 3.1031262233e-07
1.0822536130e+00 3.2182978078e-07
1.0949860085e+00 3.3370641746e-07
1.1077184039e+00 3.4595045809e-07
1.1204507994e+00 3.5856976652e-07
1.1331831948e+00 3.7157213819e-07
1.1459155903e+00 3.8496529381e-07
1.1586479857e+00 3.9875687478e-07
1.1713803812e+00 4.1295443697e-07
1.1841127766e+00 4.2756544580e-07
1.1968451721e+00 4.4259727241e-07
1.2095775675e+00 4.5805718787e-07
1.2223099629e+00 4.7395235876e-07
1.2350423584e+00 4.9028984160e-07
1.2477747538e+00 5.0707658027e-07
1.2605071493e+00 5.2431940078e-07
1.2732395447e+00 5.4202500416e-07
1.2859719402e+00 5.6019996453e-07
1.2987043356e+00 5.7885072395e-07
1.3114367311e+00 5.9798358685e-07
1.3241691265e+00 6.1760471534e-07
1.3369015220e+00 6.3772012520e-07
1.3496339174e+00 6.5833568183e-07
1.3623663129e+00 6.7945709455e-07
1.3750987083e+00 7.0108991372e-07
1.3878311038e+00 7.2323952724e-07
1.4005634992e+00 7.4591115585e-07
1.4132958947e+00 7.6910985061e-07
1.4260282901e+00 7.9284048961e-07
