# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
5.0929581800e-01 4.8222736600e+00 3.0465092100e+00 9.0177796399e+04 1.2725620913e+06 5.3475177400e-05 7.5538154397e-04
5.4112680700e-01 4.9794956500e+00 3.1234266700e+00 3.6736765662e+05 1.3350040629e+06 1.3554529258e-05 4.9985182708e-05
5.7295779500e-01 5.1433410700e+00 3.2029275600e+00 7.1294310835e+05 1.3761560030e+06 7.2142377277e-06 1.4632011014e-05
6.0478878400e-01 5.3133453300e+00 3.2846651700e+00 1.1330777581e+06 1.3929770774e+06 4.6893033527e-06 6.4527316013e-06
6.3661977200e-01 5.4890640800e+00 3.3683213000e+00 1.6187302685e+06 1.3879252971e+06 3.3909689507e-06 3.5753727664e-06
6.6845076100e-01 5.6700061700e+00 3.4535219300e+00 2.1676773946e+06 1.3619642360e+06 2.6157057246e-06 2.2889353561e-06
7.0028175000e-01 5.8557015000e+00 3.5399154800e+00 2.7648319389e+06 1.3211116441e+06 2.1179231250e-06 1.6319950826e-06
7.3211273800e-01 6.0456531000e+00 3.6271254200e+00 3.4005013302e+06 1.2706118190e+06 1.7778711175e-06 1.2565972744e-06
7.6394372700e-01 6.2393864300e+00 3.7147897100e+00 4.0578245969e+06 1.2180455370e+06 1.5376185641e-06 1.0252324923e-06
7.9577471500e-01 6.4364143000e+00 3.8025361800e+00 4.7234671331e+06 1.1702839292e+06 1.3626461492e-06 8.7295704613e-07
8.2760570400e-01 6.6362514700e+00 3.8899705000e+00 5.3839508936e+06 1.1317770252e+06 1.2325988110e-06 7.6756832418e-07
8.5943669300e-01 6.8384073500e+00 3.9767264400e+00 6.0275439680e+06 1.1052541145e+06 1.1345263322e-06 6.9178067159e-07
8.9126768100e-01 7.0424122200e+00 4.0624245100e+00 6.6482224033e+06 1.0884837097e+06 1.0592925135e-06 6.3519002781e-07
9.2309867000e-01 7.2478289400e+00 4.1466930300e+00 7.2404164907e+06 1.0786144770e+06 1.0010237601e-06 5.9181083039e-07
9.5492965900e-01 7.4541626300e+00 4.2291523700e+00 7.8066903114e+06 1.0719328611e+06 9.5484287613e-07 5.5737392169e-07
9.8676064700e-01 7.6610241800e+00 4.3094536200e+00 8.3494650503e+06 1.0684342587e+06 9.1754670914e-07 5.2932176416e-07
1.0185916400e+00 7.8679302300e+00 4.3872309300e+00 8.8775983925e+06 1.0725518516e+06 8.8626787135e-07 5.0565796264e-07
1.0504226200e+00 8.0745090800e+00 4.4621305600e+00 9.3995842981e+06 1.0965319038e+06 8.5902831699e-07 4.8517779264e-07
1.0822536100e+00 8.2803730400e+00 4.5338098000e+00 9.9254100872e+06 1.1535049465e+06 8.3426004238e-07 4.6696444281e-07
1.1140846000e+00 8.4851168200e+00 4.6019384300e+00 1.0464676581e+07 1.2606259241e+06 8.1083411939e-07 4.5047642412e-07
1.1459155900e+00 8.6884214400e+00 4.6662212400e+00 1.1022574314e+07 1.4201363076e+06 7.8823886255e-07 4.3534417625e-07
