# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
3.18309886e-02 3.51282270e+00 3.37335949e+00 2.38532537e+00
6.36619772e-02 3.52925137e+00 3.38537304e+00 2.39382024e+00
9.54929659e-02 3.55657582e+00 3.40533995e+00 2.40793897e+00
1.27323954e-01 3.59469903e+00 3.43316150e+00 2.42761177e+00
1.59154943e-01 3.64352634e+00 3.46875351e+00 2.45277913e+00
1.90985932e-01 3.70290033e+00 3.51195439e+00 2.48332676e+00
2.22816920e-01 3.77262748e+00 3.56256990e+00 2.51911734e+00
2.54647909e-01 3.85251521e+00 3.62041881e+00 2.56002269e+00
2.86478898e-01 3.94229668e+00 3.68522652e+00 2.60584866e+00
3.18309886e-01 4.04173093e+00 3.75676688e+00 2.65643534e+00
3.50140875e-01 4.15050183e+00 3.83471957e+00 2.71155621e+00
3.81971863e-01 4.26828547e+00 3.91875128e+00 2.77097561e+00
4.13802852e-01 4.39472669e+00 4.00851142e+00 2.83444561e+00
4.45633841e-01 4.52947397e+00 4.10365322e+00 2.90172102e+00
4.77464829e-01 4.67212830e+00 4.20376159e+00 2.97250832e+00
5.09295818e-01 4.82227366e+00 4.30841465e+00 3.04650921e+00
5.41126807e-01 4.97949565e+00 4.41719235e+00 3.12342667e+00
5.72957795e-01 5.14334107e+00 4.52962360e+00 3.20292756e+00
6.04788784e-01 5.31334533e+00 4.64521803e+00 3.28466517e+00
6.36619772e-01 5.48906408e+00 4.76352566e+00 3.36832130e+00
6.68450761e-01 5.67000617e+00 4.88401755e+00 3.45352193e+00
7.00281750e-01 5.85570150e+00 5.00619648e+00 3.53991548e+00
7.32112738e-01 6.04565310e+00 5.12952997e+00 3.62712542e+00
7.63943727e-01 6.23938643e+00 5.25350599e+00 3.71478971e+00
7.95774715e-01 6.43641430e+00 5.37759823e+00 3.80253618e+00
8.27605704e-01 6.63625147e+00 5.50124903e+00 3.88997050e+00
8.59436693e-01 6.83840735e+00 5.62394047e+00 3.97672644e+00
8.91267681e-01 7.04241222e+00 5.74513583e+00 4.06242451e+00
9.23098670e-01 7.24782894e+00 5.86430952e+00 4.14669303e+00
9.54929659e-01 7.45416263e+00 5.98092464e+00 4.22915237e+00
9.86760647e-01 7.66102418e+00 6.09448776e+00 4.30945362e+00
1.01859164e+00 7.86793023e+00 6.20448148e+00 4.38723093e+00
1.05042262e+00 8.07450908e+00 6.31040556e+00 4.46213056e+00
1.08225361e+00 8.28037304e+00 6.41177531e+00 4.53380980e+00
1.11408460e+00 8.48511682e+00 6.50812374e+00 4.60193843e+00
1.14591559e+00 8.68842144e+00 6.59903336e+00 4.66622124e+00
1.17774658e+00 8.88994798e+00 6.68406844e+00 4.72635012e+00
1.20957757e+00 9.08937671e+00 6.76279470e+00 4.78201799e+00
1.24140856e+00 9.28644856e+00 6.83482431e+00 4.83295062e+00
1.27323954e+00 9.48089308e+00 6.89984630e+00 4.87892811e+00
1.30507053e+00 9.67246006e+00 6.95747107e+00 4.91967497e+00
1.33690152e+00 9.86099912e+00 7.00745732e+00 4.95502059e+00
1.36873251e+00 1.00462663e+01 7.04941726e+00 4.98469075e+00
1.40056350e+00 1.02281619e+01 7.08320610e+00 5.00858307e+00
1.43239449e+00 1.04065316e+01 7.10857723e+00 5.02652316e+00
1.46422548e+00 1.05813035e+01 7.12531080e+00 5.03835559e+00
1.49605647e+00 1.07523776e+01 7.13329781e+00 5.04400325e+00
1.52788745e+00 1.09197224e+01 7.13236846e+00 5.04334611e+00
1.55971844e+00 1.10833291e+01 7.12246379e+00 5.03634244e+00
1.59154943e+00 1.12431963e+01 7.10351408e+00 5.02294298e+00
1.62338042e+00 1.13993520e+01 7.07551577e+00 5.00314518e+00
1.65521141e+00 1.15518579e+01 7.03848852e+00 4.97696296e+00
1.68704240e+00 1.17007989e+01 6.99245555e+00 4.94441274e+00
1.71887339e+00 1.18462734e+01 6.93752768e+00 4.90557286e+00
1.75070437e+00 1.19884166e+01 6.87379962e+00 4.86051032e+00
1.78253536e+00 1.21273437e+01 6.80143044e+00 4.80933758e+00
1.81436635e+00 1.22632238e+01 6.72060958e+00 4.75218861e+00
1.84619734e+00 1.23962391e+01 6.63154436e+00 4.68920998e+00
1.87802833e+00 1.25265979e+01 6.53451178e+00 4.62059759e+00
1.90985932e+00 1.26544925e+01 6.42974063e+00 4.54651320e+00
1.94169031e+00 1.27801224e+01 6.31759190e+00 4.46721207e+00
1.97352129e+00 1.29037620e+01 6.19835692e+00 4.38290021e+00
2.00535228e+00 1.30255994e+01 6.07244852e+00 4.29386953e+00
2.03718327e+00 1.31459078e+01 5.94026704e+00 4.20040311e+00
2.06901426e+00 1.32649397e+01 5.80216993e+00 4.10275370e+00
2.10084525e+00 1.33829480e+01 5.65862184e+00 4.00124988e+00
2.13267624e+00 1.35001981e+01 5.51014108e+00 3.89625812e+00
2.16450723e+00 1.36169300e+01 5.35713870e+00 3.78806910e+00
2.19633821e+00 1.37334218e+01 5.20015085e+00 3.67706193e+00
2.22816920e+00 1.38499010e+01 5.03964222e+00 3.56356519e+00
2.26000019e+00 1.39666203e+01 4.87622045e+00 3.44800855e+00
2.29183118e+00 1.40838703e+01 4.71036808e+00 3.33073321e+00
2.32366217e+00 1.42018533e+01 4.54265702e+00 3.21214359e+00
2.35549316e+00 1.43207715e+01 4.37362344e+00 3.09261879e+00
2.38732415e+00 1.44408777e+01 4.20387497e+00 2.97258850e+00
2.41915513e+00 1.45623865e+01 4.03392991e+00 2.85241919e+00
2.45098612e+00 1.46854498e+01 3.86436016e+00 2.73251527e+00
2.48281711e+00 1.48102823e+01 3.69579124e+00 2.61331905e+00
2.51464810e+00 1.49370231e+01 3.52866996e+00 2.49514646e+00
2.54647909e+00 1.50658743e+01 3.36367545e+00 2.37847772e+00
2.57831008e+00 1.51969118e+01 3.20123664e+00 2.26361614e+00
2.61014107e+00 1.53302746e+01 3.04197905e+00 2.15100401e+00
2.64197206e+00 1.54660511e+01 2.88638522e+00 2.04098257e+00
2.67380304e+00 1.56043551e+01 2.73493771e+00 1.93389300e+00
2.70563403e+00 1.57452119e+01 2.58820840e+00 1.83013971e+00
2.73746502e+00 1.58886720e+01 2.44659050e+00 1.73000073e+00
2.76929601e+00 1.60347354e+01 2.31054866e+00 1.63380463e+00
2.80112700e+00 1.61834526e+01 2.18054757e+00 1.54187998e+00
2.83295799e+00 1.63347479e+01 2.05694467e+00 1.45447952e+00
2.86478898e+00 1.64886592e+01 1.94011526e+00 1.37186865e+00
2.89661996e+00 1.66450347e+01 1.83045253e+00 1.29432540e+00
2.92845095e+00 1.68038745e+01 1.72824243e+00 1.22205194e+00
2.96028194e+00 1.69650649e+01 1.63378879e+00 1.15526314e+00
