# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
8.2760570400e-01 4.5281017300e+00 3.5458096000e-02 6.0656435000e+06 1.5648141343e+06 7.4651629790e-07 1.9267490331e-07
8.5943669300e-01 4.7695284200e+00 3.4463530400e-02 6.8064430574e+06 1.3573107670e+06 7.0073728375e-07 1.3982963434e-07
8.9126768100e-01 5.0177262500e+00 3.2880060700e-02 7.5007989109e+06 1.1720623929e+06 6.6895890819e-07 1.0462228185e-07
9.2309867000e-01 5.2724715300e+00 3.0683675600e-02 8.1403427921e+06 1.0295300790e+06 6.4769649936e-07 8.2002517868e-08
9.5492965900e-01 5.5335001300e+00 2.7868056600e-02 8.7303726205e+06 9.4210039306e+05 6.3382175888e-07 6.8470580621e-08
9.8676064700e-01 5.8006225100e+00 2.4445841100e-02 9.2736824095e+06 9.2848757043e+05 6.2549290065e-07 6.2680241319e-08
1.0185916400e+00 6.0735644200e+00 2.0413237800e-02 9.7842323621e+06 9.9254569610e+05 6.2075022294e-07 6.3005559334e-08
1.0504226200e+00 6.3521186100e+00 1.5787939000e-02 1.0273522269e+07 1.1464319756e+06 6.1829997965e-07 6.9013786008e-08
1.0822536100e+00 6.6359893700e+00 1.0590164800e-02 1.0757386333e+07 1.3838957927e+06 6.1687747979e-07 7.9364987555e-08
1.1140846000e+00 6.9249568000e+00 4.8780472800e-03 1.1249900795e+07 1.7071804853e+06 6.1555714367e-07 9.3412242837e-08
1.1459155900e+00 7.2187896400e+00 1.3269299600e-03 1.1761214020e+07 2.1008559090e+06 6.1377929417e-07 1.0963685700e-07
1.1777465800e+00 7.5172098700e+00 7.9994920400e-03 1.2300027726e+07 2.5564259236e+06 6.1115389636e-07 1.2702330253e-07
1.2095775700e+00 7.8200026500e+00 1.5025902100e-02 1.2865669364e+07 3.0525661640e+06 6.0781933912e-07 1.4421865960e-07
1.2414085600e+00 8.1268773200e+00 2.2393522800e-02 1.3455224289e+07 3.5719496854e+06 6.0399419181e-07 1.6035058449e-07
1.2732395400e+00 8.4376190400e+00 2.9988617100e-02 1.4056402194e+07 4.0923608638e+06 6.0026875465e-07 1.7477440996e-07
1.3050705300e+00 8.7519624300e+00 3.7747998000e-02 1.4652808988e+07 4.5916089780e+06 5.9728905477e-07 1.8718442027e-07
1.3369015200e+00 9.0696800100e+00 4.5570566100e-02 1.5224888528e+07 5.0518345069e+06 5.9571405027e-07 1.9768905343e-07
