# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.2732395447e-02 -3.4881971298e-08 -1.1902476055e-08 -1.2719588332e-08 1.7781276464e-08 1.4158379366e-08 6.8737699541e-09 1.3555652273e-09 -5.6464343781e-09
2.5464790895e-02 -3.4841414815e-08 -1.1989705853e-08 -1.2453934362e-08 1.7951285259e-08 1.4293162431e-08 6.7927930317e-09 1.5062429133e-09 -5.4456470898e-09
3.8197186342e-02 -3.4773271236e-08 -1.2138615303e-08 -1.2014014704e-08 1.8230427201e-08 1.4516794867e-08 6.6601285501e-09 1.7574836286e-09 -5.1109860715e-09
5.0929581789e-02 -3.4676721340e-08 -1.2354494083e-08 -1.1404065052e-08 1.8612749214e-08 1.4827660211e-08 6.4792078235e-09 2.1094399294e-09 -4.6424811122e-09
6.3661977237e-02 -3.4550936033e-08 -1.2644927394e-08 -1.0629920591e-08 1.9089608458e-08 1.5223441222e-08 6.2548757877e-09 2.5623311148e-09 -4.0401608132e-09
7.6394372684e-02 -3.4394276868e-08 -1.3018698098e-08 -9.6989271381e-09 1.9650532661e-08 1.5701400191e-08 5.9933653151e-09 3.1164432276e-09 -3.3041584825e-09
8.9126768131e-02 -3.4204779684e-08 -1.3486185942e-08 -8.6198325346e-09 2.0282992673e-08 1.6258145352e-08 5.7023362176e-09 3.7721195187e-09 -2.4347235157e-09
1.0185916358e-01 -3.3980203954e-08 -1.4059167947e-08 -7.4026977853e-09 2.0972620021e-08 1.6889789720e-08 5.3908733444e-09 4.5297413783e-09 -1.4322933450e-09
1.1459155903e-01 -3.3717440579e-08 -1.4749700590e-08 -6.0587193372e-09 2.1703572797e-08 1.7592104329e-08 5.0694979971e-09 5.3897378702e-09 -2.9752312890e-10
1.2732395447e-01 -3.3412956041e-08 -1.5570459137e-08 -4.6000217378e-09 2.2458861987e-08 1.8360413585e-08 4.7501584170e-09 6.3525857319e-09 9.6859845677e-10
