# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
1.2732395447e-02 -3.1226848816e-09 6.0353149534e-09
2.5464790895e-02 -3.0234023105e-09 6.0419057918e-09
3.8197186342e-02 -2.8590066335e-09 6.0535196677e-09
5.0929581789e-02 -2.6310880512e-09 6.0710917386e-09
6.3661977237e-02 -2.3419610311e-09 6.0958952151e-09
7.6394372684e-02 -1.9942898988e-09 6.1294545649e-09
8.9126768131e-02 -1.5912409893e-09 6.1735174318e-09
1.0185916358e-01 -1.1364173210e-09 6.2300111326e-09
1.1459155903e-01 -6.3355883024e-10 6.3009086412e-09
1.2732395447e-01 -8.6602342215e-11 6.3882255412e-09
1.4005634992e-01 5.0056196954e-10 6.4939158987e-09
1.5278874537e-01 1.1240450145e-09 6.6198031229e-09
1.6552114082e-01 1.7802839483e-09 6.7675701513e-09
1.7825353626e-01 2.4660832950e-09 6.9386805918e-09
1.9098593171e-01 3.1786833007e-09 7.1344275095e-09
2.0371832716e-01 3.9159407252e-09 7.3558020808e-09
2.1645072260e-01 4.6764756343e-09 7.6036291800e-09
2.2918311805e-01 5.4596832711e-09 7.8784623616e-09
2.4191551350e-01 6.2657905799e-09 8.1806208962e-09
2.5464790895e-01 7.0961371445e-09 8.5101981995e-09
2.6738030439e-01 7.9529469240e-09 8.8670700378e-09
2.8011269984e-01 8.8394995842e-09 9.2508384618e-09
2.9284509529e-01 9.7601283433e-09 9.6608642628e-09
3.0557749074e-01 1.0720247034e-08 1.0096210873e-08
3.1830988618e-01 1.1726199391e-08 1.0555689098e-08
3.3104228163e-01 1.2785385996e-08 1.1037801886e-08
3.4377467708e-01 1.3905918312e-08 1.1540740252e-08
3.5650707253e-01 1.5096859955e-08 1.2062412394e-08
3.6923946797e-01 1.6367809600e-08 1.2600429327e-08
3.8197186342e-01 1.7728965781e-08 1.3152140825e-08
3.9470425887e-01 1.9190864725e-08 1.3714629831e-08
4.0743665432e-01 2.0764361456e-08 1.4284808818e-08
4.2016904976e-01 2.2460305167e-08 1.4859390225e-08
4.3290144521e-01 2.4289371562e-08 1.5435002777e-08
4.4563384066e-01 2.6262127827e-08 1.6008183516e-08
4.5836623610e-01 2.8388442792e-08 1.6575488759e-08
4.7109863155e-01 3.0677690462e-08 1.7133539009e-08
4.8383102700e-01 3.3138298550e-08 1.7679065422e-08
4.9656342245e-01 3.5777939628e-08 1.8209038241e-08
5.0929581789e-01 3.8602826625e-08 1.8720594527e-08
5.2202821334e-01 4.1618084544e-08 1.9211273170e-08
5.3476060879e-01 4.4827438159e-08 1.9678902995e-08
5.4749300424e-01 4.8233055802e-08 2.0121808718e-08
5.6022539968e-01 5.1835494373e-08 2.0538691640e-08
5.7295779513e-01 5.5633747074e-08 2.0928780816e-08
5.8569019058e-01 5.9625103213e-08 2.1291848070e-08
5.9842258603e-01 6.3805280736e-08 2.1628198458e-08
6.1115498147e-01 6.8168249629e-08 2.1938653983e-08
6.2388737692e-01 7.2706247531e-08 2.2224414682e-08
6.3661977237e-01 7.7410468544e-08 2.2487564797e-08
6.4935216781e-01 8.2270075052e-08 2.2730159923e-08
6.6208456326e-01 8.7273409577e-08 2.2955108666e-08
6.7481695871e-01 9.2407389924e-08 2.3165397357e-08
6.8754935416e-01 9.7658236832e-08 2.3364465487e-08
7.0028174960e-01 1.0301104678e-07 2.3555805270e-08
7.1301414505e-01 1.0845046597e-07 2.3743087652e-08
7.2574654050e-01 1.1396096395e-07 2.3930018455e-08
7.3847893595e-01 1.1952657498e-07 2.4120338304e-08
7.5121133139e-01 1.2513113802e-07 2.4317350682e-08
7.6394372684e-01 1.3075977484e-07 2.4524481287e-08
7.7667612229e-01 1.3639699587e-07 2.4744373638e-08
7.8940851774e-01 1.4202880984e-07 2.4979903973e-08
8.0214091318e-01 1.4764142851e-07 2.5233120775e-08
8.1487330863e-01 1.5322283477e-07 2.5506051293e-08
8.2760570408e-01 1.5876191643e-07 2.5800052336e-08
8.4033809953e-01 1.6424948035e-07 2.6116401777e-08
8.5307049497e-01 1.6967715376e-07 2.6456091727e-08
8.6580289042e-01 1.7503885642e-07 2.6819724132e-08
8.7853528587e-01 1.8032981238e-07 2.7207930424e-08
8.9126768131e-01 1.8554738921e-07 2.7621162752e-08
9.0400007676e-01 1.9069091490e-07 2.8060077933e-08
9.1673247221e-01 1.9576057673e-07 2.8525157476e-08
9.2946486766e-01 2.0075919644e-07 2.9016879592e-08
9.4219726310e-01 2.0569082777e-07 2.9535882061e-08
9.5492965855e-01 2.1056156281e-07 3.0083068316e-08
9.6766205400e-01 2.1537823644e-07 3.0659191684e-08
9.8039444945e-01 2.2014949867e-07 3.1264895346e-08
9.9312684489e-01 2.2488435230e-07 3.1901011101e-08
1.0058592403e+00 2.2959304541e-07 3.2568015027e-08
1.0185916358e+00 2.3428708770e-07 3.3266253100e-08
1.0313240312e+00 2.3897707057e-07 3.3995742390e-08
1.0440564267e+00 2.4367487499e-07 3.4756253468e-08
1.0567888221e+00 2.4839095577e-07 3.5546759107e-08
1.0695212176e+00 2.5313665853e-07 3.6366090745e-08
1.0822536130e+00 2.5792219941e-07 3.7212300839e-08
1.0949860085e+00 2.6275655908e-07 3.8083101035e-08
1.1077184039e+00 2.6764800010e-07 3.8975465584e-08
1.1204507994e+00 2.7260306654e-07 3.9885813192e-08
1.1331831948e+00 2.7762670224e-07 4.0810346608e-08
1.1459155903e+00 2.8272236632e-07 4.1744565957e-08
1.1586479857e+00 2.8789159106e-07 4.2684101291e-08
1.1713803812e+00 2.9313354627e-07 4.3623882862e-08
1.1841127766e+00 2.9844555304e-07 4.4559139935e-08
1.1968451721e+00 3.0382264937e-07 4.5485058156e-08
1.2095775675e+00 3.0925766659e-07 4.6396941792e-08
1.2223099629e+00 3.1474103345e-07 4.7290207363e-08
1.2350423584e+00 3.2026151720e-07 4.8161188113e-08
1.2477747538e+00 3.2580532583e-07 4.9006149916e-08
1.2605071493e+00 3.3135763773e-07 4.9822288898e-08
1.2732395447e+00 3.3690098284e-07 5.0607451557e-08
1.2859719402e+00 3.4241665090e-07 5.1359930198e-08
1.2987043356e+00 3.4788489873e-07 5.2079449432e-08
1.3114367311e+00 3.5328497846e-07 5.2765941930e-08
1.3241691265e+00 3.5859600011e-07 5.3420290719e-08
1.3369015220e+00 3.6379541319e-07 5.4044298476e-08
1.3496339174e+00 3.6886226646e-07 5.4640279567e-08
1.3623663129e+00 3.7377521969e-07 5.5211093487e-08
1.3750987083e+00 3.7851357146e-07 5.5760555283e-08
1.3878311038e+00 3.8305835082e-07 5.6292238386e-08
1.4005634992e+00 3.8739183623e-07 5.6810077272e-08
1.4132958947e+00 3.9149845442e-07 5.7318094701e-08
1.4260282901e+00 3.9536498177e-07 5.7820226850e-08
1.4387606856e+00 3.9898072137e-07 5.8319702836e-08
1.4514930810e+00 4.0233820111e-07 5.8819595889e-08
1.4642254764e+00 4.0543311698e-07 5.9321861986e-08
1.4769578719e+00 4.0826565970e-07 5.9827753785e-08
1.4896902673e+00 4.1083844598e-07 6.0337600654e-08
1.5024226628e+00 4.1315923821e-07 6.0850725651e-08
1.5151550582e+00 4.1524030401e-07 6.1365251894e-08
1.5278874537e+00 4.1709717442e-07 6.1878279076e-08
1.5406198491e+00 4.1875067318e-07 6.2386121534e-08
1.5533522446e+00 4.2022676023e-07 6.2884310872e-08
1.5660846400e+00 4.2155369133e-07 6.3367403781e-08
1.5788170355e+00 4.2276616418e-07 6.3829673248e-08
1.5915494309e+00 4.2390206656e-07 6.4265270568e-08
1.6042818264e+00 4.2500344859e-07 6.4668057924e-08
1.6170142218e+00 4.2611679460e-07 6.5032568561e-08
1.6297466173e+00 4.2729074815e-07 6.5353719380e-08
1.6424790127e+00 4.2857772439e-07 6.5627007285e-08
1.6552114082e+00 4.3003251269e-07 6.5849075840e-08
1.6679438036e+00 4.3171280114e-07 6.6018218169e-08
1.6806761991e+00 4.3367731517e-07 6.6133730150e-08
1.6934085945e+00 4.3598597034e-07 6.6196938405e-08
1.7061409899e+00 4.3869976636e-07 6.6211162890e-08
1.7188733854e+00 4.4187903846e-07 6.6181474289e-08
1.7316057808e+00 4.4558412252e-07 6.6115560392e-08
1.7443381763e+00 4.4987417875e-07 6.6022886671e-08
1.7570705717e+00 4.5480665833e-07 6.5915603825e-08
1.7698029672e+00 4.6043546505e-07 6.5807642438e-08
1.7825353626e+00 4.6681348867e-07 6.5715390512e-08
1.7952677581e+00 4.7398788938e-07 6.5656445098e-08
1.8080001535e+00 4.8200301275e-07 6.5650245847e-08
1.8207325490e+00 4.9089818013e-07 6.5716864620e-08
1.8334649444e+00 5.0070667440e-07 6.5876936181e-08
1.8461973399e+00 5.1145690111e-07 6.6150458023e-08
1.8589297353e+00 5.2317109591e-07 6.6556280966e-08
1.8716621308e+00 5.3586425631e-07 6.7111398588e-08
1.8843945262e+00 5.4954535877e-07 6.7829942019e-08
1.8971269217e+00 5.6421509630e-07 6.8722520142e-08
1.9098593171e+00 5.7986752491e-07 6.9796039376e-08
1.9225917126e+00 5.9648947345e-07 7.1052677640e-08
1.9353241080e+00 6.1406067343e-07 7.2490294497e-08
1.9480565034e+00 6.3255164114e-07 7.4102397415e-08
1.9607888989e+00 6.5192719328e-07 7.5878128892e-08
1.9735212943e+00 6.7214495178e-07 7.7802909900e-08
1.9862536898e+00 6.9315454228e-07 7.9858809989e-08
1.9989860852e+00 7.1489983068e-07 8.2025348596e-08
2.0117184807e+00 7.3731854187e-07 8.4279433680e-08
2.0244508761e+00 7.6034293601e-07 8.6596656591e-08
2.0371832716e+00 7.8389891565e-07 8.8951102142e-08
2.0499156670e+00 8.0790900881e-07 9.1316112593e-08
2.0626480625e+00 8.3229279727e-07 9.3664956430e-08
2.0753804579e+00 8.5696466946e-07 9.5970214703e-08
2.0881128534e+00 8.8183880387e-07 9.8204989120e-08
2.1008452488e+00 9.0682566216e-07 1.0034234966e-07
2.1135776443e+00 9.3183778859e-07 1.0235688479e-07
2.1263100397e+00 9.5678623660e-07 1.0422331169e-07
2.1390424352e+00 9.8158356129e-07 1.0591704971e-07
2.1517748306e+00 1.0061442281e-06 1.0741532394e-07
2.1645072260e+00 1.0303872496e-06 1.0869649244e-07
2.1772396215e+00 1.0542328117e-06 1.0974022411e-07
2.1899720169e+00 1.0776071289e-06 1.1052761453e-07
2.2027044124e+00 1.1004441872e-06 1.1104296811e-07
2.2154368078e+00 1.1226798130e-06 1.1127024168e-07
2.2281692033e+00 1.1442615345e-06 1.1119804986e-07
2.2409015987e+00 1.1651404716e-06 1.1081523661e-07
2.2536339942e+00 1.1852811371e-06 1.1011525963e-07
2.2663663896e+00 1.2046514011e-06 1.0909171323e-07
2.2790987851e+00 1.2232318668e-06 1.0774286055e-07
2.2918311805e+00 1.2410149452e-06 1.0607057195e-07
2.3045635760e+00 1.2579964890e-06 1.0407712542e-07
2.3172959714e+00 1.2741897118e-06 1.0177096004e-07
2.3300283669e+00 1.2896146885e-06 9.9163364532e-08
2.3427607623e+00 1.3043003985e-06 9.6269018670e-08
2.3554931578e+00 1.3182898515e-06 9.3107409602e-08
2.3682255532e+00 1.3316326471e-06 8.9703090124e-08
2.3809579487e+00 1.3443880591e-06 8.6085923662e-08
2.3936903441e+00 1.3566264764e-06 8.2293880122e-08
2.4064227395e+00 1.3684264799e-06 7.8369108226e-08
2.4191551350e+00 1.3798697120e-06 7.4365669639e-08
2.4318875304e+00 1.3910504469e-06 7.0351645054e-08
2.4446199259e+00 1.4020690694e-06 6.6402075237e-08
2.4573523213e+00 1.4130265939e-06 6.2614854411e-08
2.4700847168e+00 1.4240313816e-06 5.9105982046e-08
2.4828171122e+00 1.4351936388e-06 5.6006176161e-08
2.4955495077e+00 1.4466237032e-06 5.3468343667e-08
2.5082819031e+00 1.4584405024e-06 5.1645893401e-08
2.5210142986e+00 1.4707534978e-06 5.0680687917e-08
2.5337466940e+00 1.4836715831e-06 5.0674239018e-08
2.5464790895e+00 1.4973076981e-06 5.1669610708e-08
2.5592114849e+00 1.5117618133e-06 5.3640747654e-08
2.5719438804e+00 1.5271374599e-06 5.6506745352e-08
2.5846762758e+00 1.5435231241e-06 6.0145834625e-08
2.5974086713e+00 1.5610083100e-06 6.4430332460e-08
2.6101410667e+00 1.5796638034e-06 6.9231715085e-08
2.6228734622e+00 1.5995596229e-06 7.4438250395e-08
2.6356058576e+00 1.6207574060e-06 7.9950613730e-08
2.6483382530e+00 1.6432956052e-06 8.5688107025e-08
2.6610706485e+00 1.6672116572e-06 9.1583189162e-08
2.6738030439e+00 1.6925265328e-06 9.7578599872e-08
2.6865354394e+00 1.7192498971e-06 1.0362512112e-07
2.6992678348e+00 1.7473799494e-06 1.0968395568e-07
2.7120002303e+00 1.7768959118e-06 1.1571701241e-07
2.7247326257e+00 1.8077705909e-06 1.2169420138e-07
2.7374650212e+00 1.8399639556e-06 1.2758757860e-07
2.7501974166e+00 1.8734148990e-06 1.3337249700e-07
2.7629298121e+00 1.9080607530e-06 1.3902567603e-07
2.7756622075e+00 1.9438148861e-06 1.4452726282e-07
2.7883946030e+00 1.9805982063e-06 1.4985939008e-07
2.8011269984e+00 2.0182955949e-06 1.5500348541e-07
2.8138593939e+00 2.0568092566e-06 1.5994400788e-07
2.8265917893e+00 2.0960131919e-06 1.6466829678e-07
2.8393241848e+00 2.1357846581e-06 1.6916463529e-07
2.8520565802e+00 2.1759906067e-06 1.7342228049e-07
2.8647889757e+00 2.2164903090e-06 1.7743404401e-07
2.8775213711e+00 2.2571495236e-06 1.8119160013e-07
