# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
1.2732395447e-02 -5.0030927526e-02 9.6696405972e-02
2.5464790895e-02 -4.8440245371e-02 9.6802002844e-02
3.8197186342e-02 -4.5806336246e-02 9.6988077651e-02
5.0929581789e-02 -4.2154677977e-02 9.7269613265e-02
6.3661977237e-02 -3.7522352417e-02 9.7667008769e-02
7.6394372684e-02 -3.1952046774e-02 9.8204688831e-02
8.9126768131e-02 -2.5494491321e-02 9.8910653789e-02
1.0185916358e-01 -1.8207412782e-02 9.9815782662e-02
1.1459155903e-01 -1.0150731541e-02 1.0095168598e-01
1.2732395447e-01 -1.3875224915e-03 1.0235065695e-01
1.4005634992e-01 8.0198869146e-03 1.0404400316e-01
1.5278874537e-01 1.8009186579e-02 1.0606093885e-01
1.6552114082e-01 2.8523293438e-02 1.0842842765e-01
1.7825353626e-01 3.9511010327e-02 1.1116991915e-01
1.9098593171e-01 5.0928121113e-02 1.1430613053e-01
2.0371832716e-01 6.2740287301e-02 1.1785294218e-01
2.1645072260e-01 7.4925399907e-02 1.2182357006e-01
2.2918311805e-01 8.7473769660e-02 1.2622688308e-01
2.4191551350e-01 1.0038903261e-01 1.3106799651e-01
2.5464790895e-01 1.1369265125e-01 1.3634840706e-01
2.6738030439e-01 1.2742025733e-01 1.4206612427e-01
2.8011269984e-01 1.4162439690e-01 1.4821477228e-01
2.9284509529e-01 1.5637449576e-01 1.5478410986e-01
3.0557749074e-01 1.7175729309e-01 1.6175913153e-01
3.1830988618e-01 1.8787442670e-01 1.6912078429e-01
3.3104228163e-01 2.0484446699e-01 1.7684508272e-01
3.4377467708e-01 2.2279737393e-01 1.8490304370e-01
3.5650707253e-01 2.4187836266e-01 1.9326115287e-01
3.6923946797e-01 2.6224122091e-01 2.0188113446e-01
3.8197186342e-01 2.8404934720e-01 2.1072052716e-01
3.9470425887e-01 3.0747155049e-01 2.1973259459e-01
4.0743665432e-01 3.3268174745e-01 2.2886786909e-01
4.2016904976e-01 3.5985376131e-01 2.3807367814e-01
4.3290144521e-01 3.8915863571e-01 2.4729600795e-01
4.4563384066e-01 4.2076567563e-01 2.5647937582e-01
4.5836623610e-01 4.5483299717e-01 2.6556860786e-01
4.7109863155e-01 4.9151078843e-01 2.7450955858e-01
4.8383102700e-01 5.3093407628e-01 2.8324985529e-01
4.9656342245e-01 5.7322578885e-01 2.9174095597e-01
5.0929581789e-01 6.1848546825e-01 2.9993699126e-01
5.2202821334e-01 6.6679522608e-01 3.0779852982e-01
5.3476060879e-01 7.1821473980e-01 3.1529078562e-01
5.4749300424e-01 7.7277874992e-01 3.2238691762e-01
5.6022539968e-01 8.3049617897e-01 3.2906611839e-01
5.7295779513e-01 8.9135089624e-01 3.3531603602e-01
5.8569019058e-01 9.5529947168e-01 3.4113301473e-01
5.9842258603e-01 1.0222732992e+00 3.4652194205e-01
6.1115498147e-01 1.0921757674e+00 3.5149598793e-01
6.2388737692e-01 1.1648825094e+00 3.5607437908e-01
6.3661977237e-01 1.2402524393e+00 3.6029050874e-01
6.4935216781e-01 1.3181119193e+00 3.6417731116e-01
