# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 -1.1130337432e-11
3.8197186342e-02 -2.1380220940e-11
5.0929581789e-02 -3.0342808567e-11
6.3661977237e-02 -3.7594172373e-11
7.6394372684e-02 -4.2694784782e-11
8.9126768131e-02 -4.5190586645e-11
1.0185916358e-01 -4.4613588901e-11
1.1459155903e-01 -4.0481987112e-11
1.2732395447e-01 -3.2299686568e-11
1.4005634992e-01 -1.9555221989e-11
1.5278874537e-01 -7.7344007069e-13
1.6552114082e-01 2.5510061622e-11
1.7825353626e-01 5.9785501293e-11
1.9098593171e-01 1.0252996689e-10
2.0371832716e-01 1.5421276643e-10
2.1645072260e-01 2.1530163985e-10
2.2918311805e-01 2.8626973325e-10
2.4191551350e-01 3.6760330855e-10
2.5464790895e-01 4.5980997109e-10
2.6738030439e-01 5.6342728264e-10
2.8011269984e-01 6.7903161900e-10
2.9284509529e-01 8.0724710799e-10
3.0557749074e-01 9.4875441379e-10
3.1830988618e-01 1.1042992256e-09
3.3104228163e-01 1.2747002583e-09
3.4377467708e-01 1.4608565722e-09
3.5650707253e-01 1.6637540375e-09
3.6923946797e-01 1.8844708175e-09
3.8197186342e-01 2.1241816918e-09
3.9470425887e-01 2.3841610188e-09
4.0743665432e-01 2.6657843385e-09
4.2016904976e-01 2.9705284901e-09
4.3290144521e-01 3.2999701306e-09
4.4563384066e-01 3.6557826435e-09
4.5836623610e-01 4.0397314476e-09
4.7109863155e-01 4.4536677103e-09
4.8383102700e-01 4.8995205190e-09
4.9656342245e-01 5.3792874936e-09
5.0929581789e-01 5.8950241057e-09
5.2202821334e-01 6.4488317226e-09
5.3476060879e-01 7.0428445016e-09
5.4749300424e-01 7.6792154056e-09
5.6022539968e-01 8.3601014805e-09
5.7295779513e-01 9.0876486340e-09
5.8569019058e-01 9.8639760236e-09
5.9842258603e-01 1.0691160499e-08
6.1115498147e-01 1.1571221220e-08
6.2388737692e-01 1.2506104521e-08
6.3661977237e-01 1.3497669619e-08
6.4935216781e-01 1.4547675201e-08
6.6208456326e-01 1.5657767047e-08
6.7481695871e-01 1.6829466927e-08
6.8754935416e-01 1.8064162993e-08
7.0028174960e-01 1.9363101936e-08
7.1301414505e-01 2.0727382974e-08
7.2574654050e-01 2.2157953647e-08
7.3847893595e-01 2.3655607561e-08
7.5121133139e-01 2.5220984218e-08
7.6394372684e-01 2.6854570957e-08
7.7667612229e-01 2.8556706969e-08
7.8940851774e-01 3.0327589109e-08
8.0214091318e-01 3.2167279627e-08
8.1487330863e-01 3.4075715751e-08
8.2760570408e-01 3.6052720906e-08
8.4033809953e-01 3.8098017330e-08
8.5307049497e-01 4.0211239939e-08
8.6580289042e-01 4.2391951040e-08
8.7853528587e-01 4.4639655719e-08
8.9126768131e-01 4.6953818174e-08
9.0400007676e-01 4.9333877821e-08
9.1673247221e-01 5.1779265321e-08
9.2946486766e-01 5.4289418279e-08
9.4219726310e-01 5.6863796283e-08
9.5492965855e-01 5.9501895255e-08
9.6766205400e-01 6.2203260290e-08
9.8039444945e-01 6.4967497034e-08
9.9312684489e-01 6.7794281498e-08
1.0058592403e+00 7.0683367926e-08
1.0185916358e+00 7.3634594627e-08
1.0313240312e+00 7.6647887741e-08
1.0440564267e+00 7.9723262449e-08
1.0567888221e+00 8.2860822057e-08
1.0695212176e+00 8.6060754769e-08
1.0822536130e+00 8.9323327924e-08
1.0949860085e+00 9.2648879845e-08
1.1077184039e+00 9.6037809614e-08
1.1204507994e+00 9.9490564792e-08
1.1331831948e+00 1.0300762739e-07
1.1459155903e+00 1.0658949826e-07
1.1586479857e+00 1.1023667949e-07
1.1713803812e+00 1.1394965610e-07
1.1841127766e+00 1.1772887692e-07
1.1968451721e+00 1.2157473520e-07
1.2095775675e+00 1.2548754884e-07
1.2223099629e+00 1.2946754067e-07
1.2350423584e+00 1.3351481979e-07
1.2477747538e+00 1.3762936362e-07
1.2605071493e+00 1.4181100137e-07
1.2732395447e+00 1.4605939944e-07
1.2859719402e+00 1.5037404878e-07
1.2987043356e+00 1.5475425464e-07
1.3114367311e+00 1.5919912911e-07
1.3241691265e+00 1.6370758669e-07
1.3369015220e+00 1.6827834300e-07
1.3496339174e+00 1.7290991726e-07
1.3623663129e+00 1.7760063817e-07
1.3750987083e+00 1.8234865337e-07
1.3878311038e+00 1.8715194316e-07
1.4005634992e+00 1.9200833749e-07
1.4132958947e+00 1.9691553688e-07
1.4260282901e+00 2.0187113750e-07
1.4387606856e+00 2.0687265929e-07
1.4514930810e+00 2.1191757732e-07
1.4642254764e+00 2.1700335642e-07
1.4769578719e+00 2.2212748855e-07
1.4896902673e+00 2.2728753288e-07
1.5024226628e+00 2.3248115740e-07
1.5151550582e+00 2.3770618234e-07
1.5278874537e+00 2.4296062466e-07
1.5406198491e+00 2.4824274331e-07
1.5533522446e+00 2.5355108458e-07
1.5660846400e+00 2.5888452681e-07
1.5788170355e+00 2.6424232430e-07
1.5915494309e+00 2.6962414961e-07
1.6042818264e+00 2.7503013368e-07
1.6170142218e+00 2.8046090334e-07
1.6297466173e+00 2.8591761578e-07
1.6424790127e+00 2.9140198917e-07
1.6552114082e+00 2.9691632899e-07
1.6679438036e+00 3.0246354989e-07
1.6806761991e+00 3.0804719243e-07
1.6934085945e+00 3.1367143426e-07
1.7061409899e+00 3.1934109570e-07
1.7188733854e+00 3.2506163934e-07
1.7316057808e+00 3.3083916341e-07
1.7443381763e+00 3.3668038882e-07
1.7570705717e+00 3.4259263959e-07
1.7698029672e+00 3.4858381693e-07
1.7825353626e+00 3.5466236705e-07
1.7952677581e+00 3.6083724282e-07
1.8080001535e+00 3.6711785957e-07
1.8207325490e+00 3.7351404470e-07
1.8334649444e+00 3.8003598210e-07
1.8461973399e+00 3.8669415201e-07
1.8589297353e+00 3.9349926610e-07
1.8716621308e+00 4.0046219860e-07
1.8843945262e+00 4.0759391418e-07
1.8971269217e+00 4.1490539319e-07
1.9098593171e+00 4.2240755489e-07
1.9225917126e+00 4.3011117916e-07
1.9353241080e+00 4.3802682826e-07
1.9480565034e+00 4.4616476878e-07
1.9607888989e+00 4.5453489432e-07
1.9735212943e+00 4.6314665029e-07
1.9862536898e+00 4.7200896158e-07
1.9989860852e+00 4.8113016370e-07
2.0117184807e+00 4.9051793806e-07
2.0244508761e+00 5.0017925223e-07
