# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
1.2732395447e-02 0.0000000000e+00
2.5464790895e-02 -1.7832766563e-04
3.8197186342e-02 -3.4254890419e-04
5.0929581789e-02 -4.8614538896e-04
6.3661977237e-02 -6.0232504550e-04
7.6394372684e-02 -6.8404586571e-04
8.9126768131e-02 -7.2403301999e-04
1.0185916358e-01 -7.1478849696e-04
1.1459155903e-01 -6.4859293849e-04
1.2732395447e-01 -5.1749803105e-04
1.4005634992e-01 -3.1330919744e-04
1.5278874537e-01 -1.2391876091e-05
1.6552114082e-01 4.0871624663e-04
1.7825353626e-01 9.5786933224e-04
1.9098593171e-01 1.6427111723e-03
2.0371832716e-01 2.4707609104e-03
2.1645072260e-01 3.4495125663e-03
2.2918311805e-01 4.5865467764e-03
2.4191551350e-01 5.8896543154e-03
2.5464790895e-01 7.3669679175e-03
2.6738030439e-01 9.0271002720e-03
2.8011269984e-01 1.0879285937e-02
2.9284509529e-01 1.2933524543e-02
3.0557749074e-01 1.5200721532e-02
3.1830988618e-01 1.7692824162e-02
3.3104228163e-01 2.0422949693e-02
3.4377467708e-01 2.3405502655e-02
3.5650707253e-01 2.6656278437e-02
3.6923946797e-01 3.0192551113e-02
3.8197186342e-01 3.4033142730e-02
3.9470425887e-01 3.8198470761e-02
4.0743665432e-01 4.2710573784e-02
4.2016904976e-01 4.7593113375e-02
4.3290144521e-01 5.2871350361e-02
4.4563384066e-01 5.8572095304e-02
4.5836623610e-01 6.4723633330e-02
4.7109863155e-01 7.1355623410e-02
4.8383102700e-01 7.8498972934e-02
4.9656342245e-01 8.6185687298e-02
5.0929581789e-01 9.4448698791e-02
5.2202821334e-01 1.0332167503e-01
5.3476060879e-01 1.1283880897e-01
5.4749300424e-01 1.2303459490e-01
5.6022539968e-01 1.3394359250e-01
5.7295779513e-01 1.4560018299e-01
5.8569019058e-01 1.5803831903e-01
5.9842258603e-01 1.7129127542e-01
6.1115498147e-01 1.8539140266e-01
6.2388737692e-01 2.0036988445e-01
6.3661977237e-01 2.1625650876e-01
6.4935216781e-01 2.3307945285e-01
6.6208456326e-01 2.5086508503e-01
6.7481695871e-01 2.6963778674e-01
6.8754935416e-01 2.8941979860e-01
7.0028174960e-01 3.1023109484e-01
7.1301414505e-01 3.3208928684e-01
7.2574654050e-01 3.5500955590e-01
7.3847893595e-01 3.7900461697e-01
7.5121133139e-01 4.0408471601e-01
7.6394372684e-01 4.3025766103e-01
7.7667612229e-01 4.5752888650e-01
7.8940851774e-01 4.8590154636e-01
8.0214091318e-01 5.1537663798e-01
8.1487330863e-01 5.4595315563e-01
8.2760570408e-01 5.7762827028e-01
8.4033809953e-01 6.1039753168e-01
8.5307049497e-01 6.4425509054e-01
8.6580289042e-01 6.7919393426e-01
