# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.5915494300e-01 3.6435263400e+00 2.4527791300e+00 2.3266239930e+04 1.0724468324e+05 1.5660142554e-04 7.2950478875e-04
1.9098593200e-01 3.7029003300e+00 2.4833267600e+00 5.0928121382e+04 1.1430613061e+05 7.2708362876e-05 1.7032022999e-04
2.2281692000e-01 3.7726274800e+00 2.5191173400e+00 8.1199584463e+04 1.2402522645e+05 4.6461167319e-05 7.7450339282e-05
2.5464790900e-01 3.8525152100e+00 2.5600226900e+00 1.1369265130e+05 1.3634840708e+05 3.3885349369e-05 4.6459057293e-05
2.8647889800e-01 3.9422966800e+00 2.6058486600e+00 1.4899944684e+05 1.5149944130e+05 2.6458465207e-05 3.2087436996e-05
3.1830988600e-01 4.0417309300e+00 2.6564353400e+00 1.8787442647e+05 1.6912078418e+05 2.1512938221e-05 2.3978038869e-05
3.5014087500e-01 4.1505018300e+00 2.7115562100e+00 2.3233786859e+05 1.8908209842e+05 1.7864078099e-05 1.8643120429e-05
3.8197186300e-01 4.2682854700e+00 2.7709756100e+00 2.8404934647e+05 2.1072052688e+05 1.5026563247e-05 1.4813141175e-05
4.1380285200e-01 4.3947266900e+00 2.8344456100e+00 3.4626775429e+05 2.3347077359e+05 1.2691700672e-05 1.1842058020e-05
4.4563384100e-01 4.5294739700e+00 2.9017210200e+00 4.2076567655e+05 2.5647937606e+05 1.0764837111e-05 9.5192083594e-06
4.7746482900e-01 4.6721283000e+00 2.9725083200e+00 5.1122243150e+05 2.7887970675e+05 9.1391300774e-06 7.6592496983e-06
5.0929581800e-01 4.8222736600e+00 3.0465092100e+00 6.1848546867e+05 2.9993699133e+05 7.7969069676e-06 6.2096788381e-06
5.4112680700e-01 4.9794956500e+00 3.1234266700e+00 7.4549674694e+05 3.1883885189e+05 6.6794331034e-06 5.0709516881e-06
5.7295779500e-01 5.1433410700e+00 3.2029275600e+00 8.9135089562e+05 3.3531603595e+05 5.7702764369e-06 4.1981054670e-06
6.0478878400e-01 5.3133453300e+00 3.2846651700e+00 1.0572245347e+06 3.4900896509e+05 5.0257491723e-06 3.5221099762e-06
6.3661977200e-01 5.4890640800e+00 3.3683213000e+00 1.2402524371e+06 3.6029050861e+05 4.4257635912e-06 3.0047827581e-06
6.6845076100e-01 5.6700061700e+00 3.4535219300e+00 1.4394018928e+06 3.6946598550e+05 3.9391404155e-06 2.6036216525e-06
7.0028175000e-01 5.8557015000e+00 3.5399154800e+00 1.6504189247e+06 3.7740560808e+05 3.5480091826e-06 2.2931810993e-06
7.3211273800e-01 6.0456531000e+00 3.6271254200e+00 1.8704413944e+06 3.8492579422e+05 3.2322066428e-06 2.0500914347e-06
7.6394372700e-01 6.2393864300e+00 3.7147897100e+00 2.0950025603e+06 3.9292550883e+05 2.9782237732e-06 1.8590669459e-06
7.9577471500e-01 6.4364143000e+00 3.8025361800e+00 2.3205144340e+06 4.0225067472e+05 2.7737014714e-06 1.7077430496e-06
8.2760570400e-01 6.6362514700e+00 3.8899705000e+00 2.5436463282e+06 4.1336241006e+05 2.6089521159e-06 1.5869719346e-06
8.5943669300e-01 6.8384073500e+00 3.9767264400e+00 2.7614796864e+06 4.2678633677e+05 2.4763562026e-06 1.4900601015e-06
8.9126768100e-01 7.0424122200e+00 4.0624245100e+00 2.9727969129e+06 4.4253981549e+05 2.3689516729e-06 1.4113020953e-06
9.2309867000e-01 7.2478289400e+00 4.1466930300e+00 3.1764735779e+06 4.6096253636e+05 2.2817217780e-06 1.3467778946e-06
9.5492965900e-01 7.4541626300e+00 4.2291523700e+00 3.3735681623e+06 4.8198389168e+05 2.2095781889e-06 1.2927507272e-06
9.8676064700e-01 7.6610241800e+00 4.3094536200e+00 3.5651141858e+06 5.0601469674e+05 2.1488860611e-06 1.2466697938e-06
1.0185916400e+00 7.8679302300e+00 4.3872309300e+00 3.7536930004e+06 5.3298413803e+05 2.0960505372e-06 1.2060745923e-06
1.0504226200e+00 8.0745090800e+00 4.4621305600e+00 3.9418818561e+06 5.6318921586e+05 2.0483894178e-06 1.1691997492e-06
1.0822536100e+00 8.2803730400e+00 4.5338098000e+00 4.1323691948e+06 5.9620678582e+05 2.0037834592e-06 1.1345955231e-06
