# freq_THz coherence_avg
0.000000000000000000e+00 6.412869339376492395e-01
2.441406249999999653e-02 4.905157233086215873e-01
4.882812499999999306e-02 1.351878863368138062e-01
7.324218749999998612e-02 3.272954822328789648e-01
9.765624999999998612e-02 1.427856997496715352e-01
1.220703124999999861e-01 1.000310062995768273e-01
1.464843749999999722e-01 1.843100441187902616e-01
1.708984374999999722e-01 8.359867454885563931e-02
1.953124999999999722e-01 6.107011455651681180e-03
2.197265624999999722e-01 7.375155579087047664e-02
2.441406249999999722e-01 1.197261756894962142e-01
2.685546874999999445e-01 8.344031239522799182e-02
2.929687499999999445e-01 1.536281171373281469e-02
3.173828124999999445e-01 5.100441200144899268e-02
3.417968749999999445e-01 7.187411525729243966e-02
3.662109374999999445e-01 4.333352492648877979e-02
3.906249999999999445e-01 2.540946105845459657e-02
4.150390624999999445e-01 2.902334291768860972e-02
4.394531249999999445e-01 2.351914332316817555e-02
4.638671874999999445e-01 2.209991267210233666e-03
4.882812499999999445e-01 2.414797695370967875e-02
5.126953124999998890e-01 1.465876629195674019e-01
5.371093749999998890e-01 8.191170280077426924e-02
5.615234374999998890e-01 7.779107684916329590e-02
5.859374999999998890e-01 1.285863226052003441e-03
6.103515624999998890e-01 1.180614836845268224e-02
6.347656249999998890e-01 2.083923738463733938e-02
6.591796874999998890e-01 3.182227442683268487e-02
6.835937499999998890e-01 1.320612284588424182e-02
7.080078124999998890e-01 1.007843907173865995e-02
7.324218749999998890e-01 7.841315440404832138e-03
7.568359374999998890e-01 7.970612899738254570e-03
7.812499999999998890e-01 9.499982604832171718e-02
8.056640624999998890e-01 1.010072009888172834e-01
8.300781249999998890e-01 1.220661559245012594e-02
8.544921874999998890e-01 2.027356322792230048e-01
8.789062499999998890e-01 1.307090431745724923e-01
9.033203124999998890e-01 2.142320281527511014e-02
9.277343749999998890e-01 9.443816509625521660e-02
9.521484374999998890e-01 1.552963333069119767e-01
9.765624999999998890e-01 3.100637773300618863e-02
1.000976562499999778e+00 5.235267626611700073e-03
1.025390624999999778e+00 7.635976992475644598e-02
1.049804687499999778e+00 2.251316572810085209e-02
1.074218749999999778e+00 9.424729547072965841e-02
1.098632812499999778e+00 2.169364487276291553e-01
1.123046874999999778e+00 9.302122784513644493e-02
1.147460937499999778e+00 6.669078709319925524e-02
1.171874999999999778e+00 1.603208216731874802e-01
1.196289062499999778e+00 1.528876063391428064e-01
1.220703124999999778e+00 8.982976225765874900e-02
1.245117187499999778e+00 1.077885964893209314e-01
1.269531249999999778e+00 5.087720690047688871e-02
1.293945312499999778e+00 5.679674182709547325e-02
1.318359374999999778e+00 1.045369251369012570e-02
1.342773437499999778e+00 4.249670703780027842e-02
1.367187499999999778e+00 1.847973682383437580e-02
1.391601562499999778e+00 2.748984318883649150e-02
1.416015624999999778e+00 3.911780306176627919e-02
1.440429687499999778e+00 3.368835197827464017e-02
1.464843749999999778e+00 6.912330628087345885e-02
1.489257812499999778e+00 7.189970514287181980e-02
1.513671874999999778e+00 9.406331267302360521e-02
1.538085937499999778e+00 5.878826568979925171e-02
1.562499999999999778e+00 5.236196984931238384e-03
1.586914062499999778e+00 2.957778028810381047e-03
1.611328124999999778e+00 2.305966673072597922e-02
1.635742187499999778e+00 2.921902548009086900e-02
1.660156249999999778e+00 6.657306269276061506e-02
1.684570312499999778e+00 1.892599814602085109e-02
1.708984374999999778e+00 3.187142612598400926e-02
1.733398437499999778e+00 5.247458452510064993e-03
1.757812499999999778e+00 8.189033085410811486e-02
1.782226562499999778e+00 5.717124527329785384e-03
1.806640624999999778e+00 8.315557529303155282e-02
1.831054687499999778e+00 2.561520782022787268e-02
1.855468749999999778e+00 3.336665119831184328e-02
1.879882812499999778e+00 2.246026813745358522e-02
1.904296874999999778e+00 1.480050260907141979e-01
1.928710937499999778e+00 1.591746242618270746e-02
1.953124999999999778e+00 4.283452704579256837e-02
1.977539062499999778e+00 4.891667399068497235e-02
2.001953124999999556e+00 3.613829094104596684e-02
2.026367187499999556e+00 1.725285251558186100e-02
2.050781249999999556e+00 7.696106238803377547e-03
2.075195312499999556e+00 7.889846584706214057e-04
2.099609374999999556e+00 8.819854941310848948e-03
2.124023437499999556e+00 8.033783198045749141e-02
2.148437499999999556e+00 2.321959326171096818e-03
2.172851562499999556e+00 1.272637568268511210e-01
2.197265624999999556e+00 3.301747379690942591e-02
2.221679687499999556e+00 1.071420069247797091e-01
2.246093749999999556e+00 3.631958631059015868e-02
2.270507812499999556e+00 2.694791140391465147e-03
2.294921874999999556e+00 2.934442042056462779e-02
2.319335937499999556e+00 3.570602303591134674e-02
2.343749999999999556e+00 5.510755111566530140e-02
2.368164062499999556e+00 1.493575000994931852e-02
2.392578124999999556e+00 1.397806783022078822e-02
2.416992187499999556e+00 3.226677656099921632e-02
2.441406249999999556e+00 1.302236861696488834e-02
2.465820312499999556e+00 1.983832695739957269e-02
2.490234374999999556e+00 2.280171081956112317e-02
2.514648437499999556e+00 2.237285409320808813e-02
2.539062499999999556e+00 4.962332721325608473e-03
2.563476562499999556e+00 4.995675333190709860e-02
2.587890624999999556e+00 9.121445068879295223e-03
2.612304687499999556e+00 8.580023062110754897e-03
2.636718749999999556e+00 1.466342806687273050e-02
2.661132812499999556e+00 7.726928055233746317e-02
2.685546874999999556e+00 4.670257090328055333e-02
2.709960937499999556e+00 8.422284285140817228e-02
2.734374999999999556e+00 6.425846449377271841e-02
2.758789062499999556e+00 1.411020725121595563e-02
2.783203124999999556e+00 1.938808721217319397e-02
2.807617187499999556e+00 1.174661719079278781e-03
