# freq_THz abs_cross_spectrum auto_left auto_right
0.000000000000000000e+00 4.717583563164575675e-21 7.089960443549062860e-21 4.894890711251658211e-21
2.441406249999999653e-02 1.549670924982696210e-20 2.886637983316676104e-20 1.696030721521439643e-20
4.882812499999999306e-02 5.481567726450843734e-21 2.252986407048099531e-20 9.865366391780121458e-21
7.324218749999998612e-02 8.329225974308117340e-21 1.951590788255945070e-20 1.086126773549787789e-20
9.765624999999998612e-02 5.319928375975205649e-21 1.554794292443414932e-20 1.274834824810829470e-20
1.220703124999999861e-01 4.072572809784850309e-21 1.643872264658484090e-20 1.008637263575873003e-20
1.464843749999999722e-01 4.147037768452151228e-21 1.353675192981863773e-20 6.893067129373401587e-21
1.708984374999999722e-01 2.561815614705104267e-21 1.096593221511737401e-20 7.158974047933614004e-21
1.953124999999999722e-01 5.461376874248933761e-22 8.998496982501642908e-21 5.427571883315890949e-21
2.197265624999999722e-01 1.559568605612439231e-21 5.805094293047858464e-21 5.681048588737770895e-21
2.441406249999999722e-01 2.568355498478136929e-21 7.434606040778045537e-21 7.410767735433640768e-21
2.685546874999999445e-01 2.496238528509968492e-21 1.056814595987593271e-20 7.066387349559639996e-21
2.929687499999999445e-01 8.058123510121879769e-22 7.792432470526504421e-21 5.424054994366977758e-21
3.173828124999999445e-01 1.434476722797848311e-21 7.714662851897070279e-21 5.229525852860977511e-21
3.417968749999999445e-01 1.507671035081507837e-21 6.492395863235255915e-21 4.871196832722669436e-21
3.662109374999999445e-01 1.201409299386504624e-21 7.220227292674106666e-21 4.613251072049477868e-21
3.906249999999999445e-01 9.815256607671949305e-22 7.035881164934070768e-21 5.388766517217937939e-21
4.150390624999999445e-01 8.184102717657727989e-22 4.047064051177511641e-21 5.702360005493800271e-21
4.394531249999999445e-01 7.521257580602599549e-22 5.672271431011852198e-21 4.240356993215139506e-21
4.638671874999999445e-01 2.390923514225977412e-22 5.519312905751474707e-21 4.686577387299205220e-21
4.882812499999999445e-01 8.038920503825288976e-22 5.342982528797592173e-21 5.008768519328484415e-21
5.126953124999998890e-01 1.757300016882758193e-21 5.741436586266021496e-21 3.669220684836772072e-21
5.371093749999998890e-01 1.213453636096047601e-21 5.867178559918031533e-21 3.063875507305247496e-21
5.615234374999998890e-01 1.142643060195016488e-21 5.026802997145677433e-21 3.338870106657872005e-21
5.859374999999998890e-01 1.498216705749120979e-22 3.873255174750396025e-21 4.506904801200228170e-21
6.103515624999998890e-01 5.064763331561223715e-22 4.499745115829581692e-21 4.828610357118826772e-21
6.347656249999998890e-01 5.520734113329731604e-22 4.274591049277661832e-21 3.421505708276216271e-21
6.591796874999998890e-01 6.195493638063185468e-22 3.676560653850011025e-21 3.280793372225075809e-21
6.835937499999998890e-01 3.552732150526534873e-22 3.057798244697028911e-21 3.125653072582075199e-21
7.080078124999998890e-01 3.861853213229271468e-22 4.535845909935170714e-21 3.262420653521627601e-21
7.324218749999998890e-01 3.502125429640947742e-22 4.127980082627394490e-21 3.789107045585216354e-21
7.568359374999998890e-01 3.179301775987164694e-22 3.766538253890045657e-21 3.366893699800685956e-21
7.812499999999998890e-01 9.532271921762136046e-22 3.439238425480683748e-21 2.781043301737183898e-21
8.056640624999998890e-01 8.510519672970337961e-22 3.162145931421343910e-21 2.267659871586713965e-21
8.300781249999998890e-01 2.974591231551831992e-22 3.480386985815312302e-21 2.082724292876268487e-21
8.544921874999998890e-01 9.279985283328280526e-22 2.785590913343212785e-21 1.524920321673927417e-21
8.789062499999998890e-01 1.084567663795197810e-21 3.338494386830988136e-21 2.695609745793373938e-21
9.033203124999998890e-01 4.894453672977916684e-22 3.081777511827428006e-21 3.628463538318860321e-21
9.277343749999998890e-01 8.777837369579812844e-22 2.931635695954430382e-21 2.783027636878001078e-21
9.521484374999998890e-01 1.214690230510471123e-21 3.036414994433592767e-21 3.129022946224754861e-21
9.765624999999998890e-01 5.248641723308672528e-22 3.514376481058069437e-21 2.528101693598691361e-21
1.000976562499999778e+00 1.775209213970253969e-22 2.604792213108576040e-21 2.310931721949651316e-21
1.025390624999999778e+00 8.050734633115960929e-22 2.694288655839445037e-21 3.150375270796384667e-21
1.049804687499999778e+00 4.075446222325441390e-22 2.231979849385859939e-21 3.305395988933550276e-21
1.074218749999999778e+00 8.870735099133233510e-22 2.814492687304035088e-21 2.966539938950083740e-21
1.098632812499999778e+00 1.211284618406411141e-21 2.589702719389127243e-21 2.611619877301567896e-21
1.123046874999999778e+00 7.493123003691575174e-22 2.293971473352332140e-21 2.631210799566430196e-21
1.147460937499999778e+00 5.485468782987445455e-22 1.836979658600567247e-21 2.456163682453804804e-21
1.171874999999999778e+00 8.910734466568626986e-22 2.349934143851163314e-21 2.107566966323515655e-21
1.196289062499999778e+00 9.744710242399352079e-22 2.422253301992664874e-21 2.564165319720399389e-21
1.220703124999999778e+00 7.627878255933513521e-22 1.960056400995878528e-21 3.304598391209299477e-21
1.245117187499999778e+00 6.024828644798357271e-22 1.335108745483120602e-21 2.522318592236865355e-21
1.269531249999999778e+00 3.855608082517947394e-22 1.469038677566023558e-21 1.988974763447306598e-21
1.293945312499999778e+00 6.003110261388456138e-22 2.862233634500579706e-21 2.216787872084526788e-21
1.318359374999999778e+00 2.505652150398626765e-22 2.133222044878363517e-21 2.815371917620187418e-21
1.342773437499999778e+00 4.770867960286670956e-22 2.149423104970575185e-21 2.491825364470776677e-21
1.367187499999999778e+00 3.047786940001240554e-22 2.668175417232826008e-21 1.883905208916711763e-21
1.391601562499999778e+00 3.824826977728514677e-22 1.939444607040058725e-21 2.743935795432312001e-21
1.416015624999999778e+00 4.549677408229168003e-22 1.990829824750157756e-21 2.657985543722964890e-21
1.440429687499999778e+00 3.858277027951830693e-22 1.795631439003271505e-21 2.460876662535664054e-21
1.464843749999999778e+00 5.351460605246588925e-22 2.104759396358506158e-21 1.968419711796895779e-21
1.489257812499999778e+00 5.431889837908347090e-22 2.013708252772044896e-21 2.037878314422637453e-21
1.513671874999999778e+00 7.124303489068475125e-22 2.099386128493368818e-21 2.570231434163988211e-21
1.538085937499999778e+00 5.724837108997439701e-22 2.285559783681177169e-21 2.439175415594227685e-21
1.562499999999999778e+00 1.887549692310931700e-22 2.590570560846619505e-21 2.626548263587269374e-21
1.586914062499999778e+00 1.363094396767150786e-22 2.586261611623141980e-21 2.428923479239737880e-21
1.611328124999999778e+00 3.371927859722519086e-22 2.224660928460752382e-21 2.216356896325920214e-21
1.635742187499999778e+00 4.599448225357135840e-22 2.843509614096443379e-21 2.546191364458079656e-21
1.660156249999999778e+00 6.276836904399331307e-22 2.271708397757450572e-21 2.605137004369697776e-21
1.684570312499999778e+00 2.658957082014403034e-22 1.803975743991396528e-21 2.070776214754050060e-21
1.708984374999999778e+00 2.683064281883252754e-22 1.629977647393658318e-21 1.385731246467928964e-21
1.733398437499999778e+00 1.192774865341528712e-22 1.764769326378616893e-21 1.536314050593063770e-21
1.757812499999999778e+00 5.866775605929527503e-22 1.763983726248308270e-21 2.382713113865661290e-21
1.782226562499999778e+00 1.499449529878546025e-22 2.048045148385962827e-21 1.920200270813895872e-21
1.806640624999999778e+00 5.266890426006076447e-22 2.331840568145389779e-21 1.430600394217956223e-21
1.831054687499999778e+00 3.392441661836859065e-22 2.722937067671230077e-21 1.650020303698088771e-21
1.855468749999999778e+00 3.964703910251887201e-22 2.873401273049543492e-21 1.639504514992818544e-21
1.879882812499999778e+00 2.747353212787866279e-22 2.357584062002901803e-21 1.425433208405764768e-21
1.904296874999999778e+00 6.795355552631670660e-22 1.593681104007805602e-21 1.957701543691442478e-21
1.928710937499999778e+00 2.418273889091703331e-22 1.890449236396186034e-21 1.943444398566651196e-21
1.953124999999999778e+00 4.403748231990425474e-22 2.252820028164381462e-21 2.009668795322487218e-21
1.977539062499999778e+00 3.703926155665752769e-22 1.885716242661054088e-21 1.487275340356374286e-21
2.001953124999999556e+00 3.865805429478838547e-22 2.110553519503889957e-21 1.959367968246305617e-21
2.026367187499999556e+00 2.318170333912634235e-22 1.789249974960842436e-21 1.740839602526305402e-21
2.050781249999999556e+00 1.524788263690420206e-22 1.919374728226616841e-21 1.573940297061888941e-21
2.075195312499999556e+00 4.881353778741669356e-23 1.636392239370480425e-21 1.845544830863201213e-21
2.099609374999999556e+00 1.582582759571476898e-22 1.522984231255808754e-21 1.864558489740618159e-21
2.124023437499999556e+00 4.914187837739327943e-22 1.789213909896092808e-21 1.680045841824735719e-21
2.148437499999999556e+00 8.603177896575682582e-23 1.780749027647112806e-21 1.790030714217105004e-21
2.172851562499999556e+00 6.702667194530615591e-22 2.177212127953435590e-21 1.621398727219192297e-21
2.197265624999999556e+00 3.062839756277395876e-22 1.896163046855021306e-21 1.498404369784465852e-21
2.221679687499999556e+00 4.901005778198316363e-22 1.481584532621331853e-21 1.513157784961693074e-21
2.246093749999999556e+00 2.787670406365114963e-22 1.824459088700425394e-21 1.172756441193696123e-21
2.270507812499999556e+00 6.878401481404009953e-23 2.024345172715793833e-21 8.672920498124394030e-22
2.294921874999999556e+00 2.872846951448314141e-22 2.060253685736231940e-21 1.365144877763415498e-21
2.319335937499999556e+00 3.034784019386311039e-22 1.915583130097563432e-21 1.346520880580013768e-21
2.343749999999999556e+00 3.169550439062248817e-22 1.394129064167636808e-21 1.307619057075171138e-21
2.368164062499999556e+00 1.889322162904571759e-22 1.589348019998685411e-21 1.503716610709075695e-21
2.392578124999999556e+00 1.754162223484590140e-22 1.484951530262874860e-21 1.482450108880871960e-21
2.416992187499999556e+00 3.266718238443939598e-22 1.781263074521527316e-21 1.856691322497043865e-21
2.441406249999999556e+00 2.434402263034600037e-22 1.984668632532053756e-21 2.293013944737969469e-21
2.465820312499999556e+00 2.045660843936372552e-22 1.361447583131395515e-21 1.549391952293310986e-21
2.490234374999999556e+00 1.792753345915721087e-22 1.193694279616382261e-21 1.180811399915070544e-21
2.514648437499999556e+00 1.925198679018699449e-22 1.404648897187572050e-21 1.179402209688270585e-21
2.539062499999999556e+00 9.279811882961551711e-23 1.390069448498495494e-21 1.248406342602640411e-21
2.563476562499999556e+00 2.892196063038505033e-22 1.218219137214546826e-21 1.374471811748986680e-21
2.587890624999999556e+00 1.261426258563386972e-22 1.134523031061840046e-21 1.537612039597429562e-21
2.612304687499999556e+00 1.663646945620251677e-22 1.608140854339375554e-21 2.005902379847592198e-21
2.636718749999999556e+00 2.114276288805886236e-22 1.761081740635659339e-21 1.731045372465437361e-21
2.661132812499999556e+00 3.394656015026012325e-22 1.320702289322545685e-21 1.129223082991782669e-21
2.685546874999999556e+00 2.572322529066114588e-22 1.461108422319277369e-21 9.696781511884860863e-22
2.709960937499999556e+00 3.239642574932624234e-22 1.374193137989250101e-21 9.068104651237236184e-22
2.734374999999999556e+00 3.301018382775491818e-22 1.305929644016035107e-21 1.298511385351543888e-21
2.758789062499999556e+00 1.241992761795472805e-22 9.540280311135250392e-22 1.145891773668428762e-21
2.783203124999999556e+00 1.586609501706362661e-22 1.193000836278221749e-21 1.088339493080224026e-21
2.807617187499999556e+00 3.893072928438964125e-23 1.426034822184322023e-21 9.047782089428175731e-22
2.832031249999999556e+00 2.247843335212998645e-22 1.146114945184116768e-21 1.245905160189283791e-21
2.856445312499999556e+00 1.616393853968303276e-22 9.856426796042387489e-22 1.171362905776446134e-21
2.880859374999999556e+00 1.164049028845599116e-22 1.264070369952350313e-21 9.571145568188058228e-22
2.905273437499999556e+00 1.961295794294479029e-22 1.824770434379734623e-21 1.491686918502766909e-21
2.929687499999999556e+00 2.964065224372515403e-22 1.414660093782971060e-21 1.155343709944700558e-21
