# freq_THz coherence
0.000000000000000000e+00 6.744948982001236493e-02
2.441406249999999653e-02 6.833078321083388418e-02
4.882812499999999306e-02 8.662775962838005495e-02
7.324218749999998612e-02 9.475181831220906570e-02
9.765624999999998612e-02 1.193132829479684048e-01
1.220703124999999861e-01 9.820720039229328957e-02
1.464843749999999722e-01 8.663159135914881570e-02
1.708984374999999722e-01 8.036449340704525379e-02
1.953124999999999722e-01 1.168827639215840181e-01
2.197265624999999722e-01 3.272894426275324009e-01
2.441406249999999722e-01 3.188397687596299379e-01
2.685546874999999445e-01 8.943448185219884938e-02
2.929687499999999445e-01 6.819110034025316347e-02
3.173828124999999445e-01 5.646574061595537042e-02
3.417968749999999445e-01 6.473866629653593496e-02
3.662109374999999445e-01 7.318151325527080808e-02
3.906249999999999445e-01 7.570555775933165976e-02
4.150390624999999445e-01 6.588459752429506877e-02
4.394531249999999445e-01 6.266412762267843661e-02
4.638671874999999445e-01 8.061296081213488451e-02
4.882812499999999445e-01 6.468785359768104704e-02
5.126953124999998890e-01 6.485446669455190161e-02
5.371093749999998890e-01 6.150046753815550243e-02
5.615234374999998890e-01 6.405147752446721521e-02
5.859374999999998890e-01 6.021736213762930723e-02
6.103515624999998890e-01 6.232256002857169269e-02
6.347656249999998890e-01 6.692417894503895071e-02
6.591796874999998890e-01 6.504857016499765443e-02
6.835937499999998890e-01 7.041520358937949919e-02
7.080078124999998890e-01 7.092615041743598192e-02
7.324218749999998890e-01 8.035839639225221542e-02
7.568359374999998890e-01 8.805386654505384381e-02
7.812499999999998890e-01 9.239525507570246765e-02
8.056640624999998890e-01 1.564186532226964077e-01
8.300781249999998890e-01 2.782237139590567065e-01
8.544921874999998890e-01 1.950786296267587316e-01
8.789062499999998890e-01 1.053830788759389930e-01
9.033203124999998890e-01 9.155473089738630499e-02
9.277343749999998890e-01 1.304170127237032628e-01
9.521484374999998890e-01 1.467737043514700523e-01
9.765624999999998890e-01 1.833360580855171729e-01
1.000976562499999778e+00 2.029447631146280573e-01
1.025390624999999778e+00 1.290311751341255975e-01
1.049804687499999778e+00 1.205614939551249293e-01
1.074218749999999778e+00 1.539074476399724389e-01
1.098632812499999778e+00 1.644111277879497512e-01
1.123046874999999778e+00 1.327901824567960243e-01
1.147460937499999778e+00 1.173016322187906829e-01
1.171874999999999778e+00 1.375149348356263235e-01
1.196289062499999778e+00 1.456112418246220674e-01
1.220703124999999778e+00 1.993100318567728457e-01
1.245117187499999778e+00 1.749572624353967210e-01
1.269531249999999778e+00 1.691667905543390027e-01
1.293945312499999778e+00 1.655098649504086750e-01
1.318359374999999778e+00 1.957564683545197914e-01
1.342773437499999778e+00 2.304980861686909965e-01
1.367187499999999778e+00 1.842527561972760464e-01
1.391601562499999778e+00 1.652952221583366410e-01
1.416015624999999778e+00 1.828158609902116871e-01
1.440429687499999778e+00 1.692423522425029192e-01
1.464843749999999778e+00 1.272597623320409210e-01
1.489257812499999778e+00 1.113696119060659656e-01
1.513671874999999778e+00 1.406022303465842838e-01
1.538085937499999778e+00 1.624433868434928263e-01
1.562499999999999778e+00 1.363842593740349218e-01
1.586914062499999778e+00 1.477024068910540444e-01
1.611328124999999778e+00 1.279001164289375325e-01
1.635742187499999778e+00 1.056626938818015782e-01
1.660156249999999778e+00 9.800293770826133677e-02
1.684570312499999778e+00 1.144222398000593610e-01
1.708984374999999778e+00 1.032058382781660816e-01
1.733398437499999778e+00 1.000538413483441774e-01
1.757812499999999778e+00 9.404214355732123942e-02
1.782226562499999778e+00 9.382566539664322081e-02
1.806640624999999778e+00 9.128490034645560247e-02
1.831054687499999778e+00 8.965474149231898726e-02
1.855468749999999778e+00 9.739756242875036163e-02
1.879882812499999778e+00 8.825422460627536936e-02
1.904296874999999778e+00 9.585108079864841646e-02
1.928710937499999778e+00 9.625016552089403488e-02
1.953124999999999778e+00 1.070765995177133945e-01
1.977539062499999778e+00 1.107935055432708593e-01
2.001953124999999556e+00 1.061842503509581453e-01
2.026367187499999556e+00 9.613727128530730193e-02
2.050781249999999556e+00 7.357502913077894335e-02
2.075195312499999556e+00 7.186494245530043734e-02
2.099609374999999556e+00 7.507660417686329302e-02
2.124023437499999556e+00 7.582998222156105139e-02
2.148437499999999556e+00 7.558401303093156831e-02
2.172851562499999556e+00 7.088957066436195331e-02
2.197265624999999556e+00 6.946090041190272624e-02
2.221679687499999556e+00 6.430248475003069730e-02
2.246093749999999556e+00 6.990313774743342479e-02
2.270507812499999556e+00 6.520370848925061136e-02
2.294921874999999556e+00 6.621305826199912203e-02
2.319335937499999556e+00 6.925167992257118266e-02
2.343749999999999556e+00 7.374689333837068650e-02
2.368164062499999556e+00 6.817865888052342116e-02
2.392578124999999556e+00 6.884843241800585323e-02
2.416992187499999556e+00 6.957507824003732189e-02
2.441406249999999556e+00 7.295138583859298032e-02
2.465820312499999556e+00 6.797527882249718156e-02
2.490234374999999556e+00 6.581882707991332238e-02
2.514648437499999556e+00 6.172772625922310491e-02
2.539062499999999556e+00 6.578273155509160863e-02
2.563476562499999556e+00 6.256542845392100427e-02
2.587890624999999556e+00 6.906763374971099101e-02
2.612304687499999556e+00 6.400903920573895733e-02
2.636718749999999556e+00 5.993649463154642615e-02
2.661132812499999556e+00 6.177674521592688150e-02
2.685546874999999556e+00 6.436658726822050425e-02
2.709960937499999556e+00 6.009831452741151020e-02
2.734374999999999556e+00 6.512166653692033624e-02
2.758789062499999556e+00 6.659669344316591910e-02
2.783203124999999556e+00 6.517104756274817723e-02
2.807617187499999556e+00 5.825408869598306533e-02
2.832031249999999556e+00 5.643526388697062829e-02
2.856445312499999556e+00 6.215265537317826022e-02
2.880859374999999556e+00 5.804085616735576297e-02
2.905273437499999556e+00 5.684182423484700902e-02
