# freq_THz coherence
0.000000000000000000e+00 6.602305403868684308e-02
2.441406249999999653e-02 6.540550019596189091e-02
4.882812499999999306e-02 5.181351345088978932e-02
7.324218749999998612e-02 1.068707364347688815e-01
9.765624999999998612e-02 2.620353232663630294e-01
1.220703124999999861e-01 3.146281695891574581e-01
1.464843749999999722e-01 1.022354774501651881e-01
1.708984374999999722e-01 4.961446035219074097e-02
1.953124999999999722e-01 3.537189051626510317e-01
2.197265624999999722e-01 6.236030082153594112e-01
2.441406249999999722e-01 5.575244940455362785e-01
2.685546874999999445e-01 1.658878325861254666e-01
2.929687499999999445e-01 4.661567243610851424e-02
3.173828124999999445e-01 5.016849580655862589e-02
3.417968749999999445e-01 4.581411632817295604e-02
3.662109374999999445e-01 6.361742226728490934e-02
3.906249999999999445e-01 5.523078960789012254e-02
4.150390624999999445e-01 8.197000101791200588e-02
4.394531249999999445e-01 2.874277842962594809e-01
4.638671874999999445e-01 4.392023420438989079e-01
4.882812499999999445e-01 2.156924178485376542e-01
5.126953124999998890e-01 6.470282555155146276e-02
5.371093749999998890e-01 7.497516065435437527e-02
5.615234374999998890e-01 4.757561663081279896e-02
5.859374999999998890e-01 5.036331325618068067e-02
6.103515624999998890e-01 5.021697433821761120e-02
6.347656249999998890e-01 5.501920590710063924e-02
6.591796874999998890e-01 5.732808074506610257e-02
6.835937499999998890e-01 1.809843100415129691e-01
7.080078124999998890e-01 1.197396067635041333e-01
7.324218749999998890e-01 9.637222709776388507e-02
7.568359374999998890e-01 1.016147301683027054e-01
7.812499999999998890e-01 8.449298660899635938e-02
8.056640624999998890e-01 9.248470259741950472e-02
8.300781249999998890e-01 2.870359932507801637e-01
8.544921874999998890e-01 3.784617345995932025e-01
8.789062499999998890e-01 2.293302428457489328e-01
9.033203124999998890e-01 1.679982896199193609e-01
9.277343749999998890e-01 1.686032460822482759e-01
9.521484374999998890e-01 1.907493048374354627e-01
9.765624999999998890e-01 2.124987065532066566e-01
1.000976562499999778e+00 3.287650222696444913e-01
1.025390624999999778e+00 2.216505332391610072e-01
1.049804687499999778e+00 1.985195362465308477e-01
1.074218749999999778e+00 1.583364190110738423e-01
1.098632812499999778e+00 2.235619622845168852e-01
1.123046874999999778e+00 2.198655238570558779e-01
1.147460937499999778e+00 1.479547555004731008e-01
1.171874999999999778e+00 1.482354756227306225e-01
1.196289062499999778e+00 2.326618713491890034e-01
1.220703124999999778e+00 1.735146663550173884e-01
1.245117187499999778e+00 2.754867586596185802e-01
1.269531249999999778e+00 2.630485166349896820e-01
1.293945312499999778e+00 3.102961188337055587e-01
1.318359374999999778e+00 2.299703092042648944e-01
1.342773437499999778e+00 1.873253366057365255e-01
1.367187499999999778e+00 2.935234733741308721e-01
1.391601562499999778e+00 3.417383182050726109e-01
1.416015624999999778e+00 1.812277841180437998e-01
1.440429687499999778e+00 2.881429292467680425e-01
1.464843749999999778e+00 2.022088389520213247e-01
1.489257812499999778e+00 2.453113989862148736e-01
1.513671874999999778e+00 1.282107814214283603e-01
1.538085937499999778e+00 1.405863211782244215e-01
1.562499999999999778e+00 1.112148648382542127e-01
1.586914062499999778e+00 2.071653083977874343e-01
1.611328124999999778e+00 2.854040379569677266e-01
1.635742187499999778e+00 1.599642505740068443e-01
1.660156249999999778e+00 1.477722201003647817e-01
1.684570312499999778e+00 1.111706684916632520e-01
1.708984374999999778e+00 1.351166719049347043e-01
1.733398437499999778e+00 1.615395484228470124e-01
1.757812499999999778e+00 1.509430719383201003e-01
1.782226562499999778e+00 1.352012489627504588e-01
1.806640624999999778e+00 1.403350553666827261e-01
1.831054687499999778e+00 1.174076284126581438e-01
1.855468749999999778e+00 1.070559181919193414e-01
1.879882812499999778e+00 9.615829380268350879e-02
1.904296874999999778e+00 1.059411670225391677e-01
1.928710937499999778e+00 1.410257496871801797e-01
1.953124999999999778e+00 1.366152335333917223e-01
1.977539062499999778e+00 1.037512100767915835e-01
2.001953124999999556e+00 1.171750054170290767e-01
2.026367187499999556e+00 1.024185983128728800e-01
2.050781249999999556e+00 1.105591538466874357e-01
2.075195312499999556e+00 1.396615585862661379e-01
2.099609374999999556e+00 1.158800513220099165e-01
2.124023437499999556e+00 8.639277172136196337e-02
2.148437499999999556e+00 7.224088566993222549e-02
2.172851562499999556e+00 9.749907777521235608e-02
2.197265624999999556e+00 9.942623022597861515e-02
2.221679687499999556e+00 7.735189145930448928e-02
2.246093749999999556e+00 7.952441426763570687e-02
2.270507812499999556e+00 6.942641550981860921e-02
2.294921874999999556e+00 7.195852526186459486e-02
2.319335937499999556e+00 8.165386604105254187e-02
2.343749999999999556e+00 8.280545931532512505e-02
2.368164062499999556e+00 7.908389789285912019e-02
2.392578124999999556e+00 7.313810897298539393e-02
2.416992187499999556e+00 7.012973807008515692e-02
2.441406249999999556e+00 7.226818911812030177e-02
2.465820312499999556e+00 7.181796789882825827e-02
2.490234374999999556e+00 6.472998686874882612e-02
2.514648437499999556e+00 6.787505303900645548e-02
2.539062499999999556e+00 7.599753096437947275e-02
2.563476562499999556e+00 6.518542434962783239e-02
2.587890624999999556e+00 7.162838210339245171e-02
2.612304687499999556e+00 7.794017486235825520e-02
2.636718749999999556e+00 7.069140365323013653e-02
2.661132812499999556e+00 7.184647402919577819e-02
2.685546874999999556e+00 7.006743987477434543e-02
2.709960937499999556e+00 7.988750007150409449e-02
2.734374999999999556e+00 7.046263673877367628e-02
2.758789062499999556e+00 6.160512529479934135e-02
2.783203124999999556e+00 6.219396304013653787e-02
2.807617187499999556e+00 6.574130041220828391e-02
2.832031249999999556e+00 6.577305441581654533e-02
2.856445312499999556e+00 6.333974365301282827e-02
2.880859374999999556e+00 6.682518337562864952e-02
2.905273437499999556e+00 6.448786039441625761e-02
2.929687499999999556e+00 6.488173198533682406e-02
2.954101562499999556e+00 6.111159424681779362e-02
2.978515624999999556e+00 5.661674575642528656e-02
3.002929687499999556e+00 5.956800374411338334e-02
3.027343749999999556e+00 6.415978683447337572e-02
3.051757812499999556e+00 6.065886140797587672e-02
3.076171874999999556e+00 5.107404446088122107e-02
3.100585937499999556e+00 5.575406610710951366e-02
3.124999999999999556e+00 6.147021612072286340e-02
3.149414062499999556e+00 6.031809864329189252e-02
3.173828124999999556e+00 5.923665932772426146e-02
3.198242187499999556e+00 6.066234653063774102e-02
3.222656249999999556e+00 5.999309734743171058e-02
3.247070312499999556e+00 5.635100570317888580e-02
3.271484374999999556e+00 5.693267513766151616e-02
3.295898437499999556e+00 5.408043731869691118e-02
3.320312499999999556e+00 5.443011146580457871e-02
3.344726562499999556e+00 5.599966031555841245e-02
3.369140624999999556e+00 5.933695603033001947e-02
3.393554687499999556e+00 5.857985221887691135e-02
3.417968749999999556e+00 5.768962434188627114e-02
3.442382812499999556e+00 5.730195192180712049e-02
3.466796874999999556e+00 5.900489936544937863e-02
3.491210937499999556e+00 5.420275389294543916e-02
3.515624999999999556e+00 5.900112717017160641e-02
3.540039062499999556e+00 5.695114139980327755e-02
3.564453124999999556e+00 5.779281355948599069e-02
3.588867187499999556e+00 5.795589942984769039e-02
3.613281249999999556e+00 5.551118128999550649e-02
3.637695312499999556e+00 5.738740730513761795e-02
3.662109374999999556e+00 5.603405213498156151e-02
3.686523437499999556e+00 5.694299156062561373e-02
3.710937499999999556e+00 5.560054474220488957e-02
3.735351562499999556e+00 5.228239512895778429e-02
3.759765624999999556e+00 5.095424468236775528e-02
3.784179687499999556e+00 5.158538866208088602e-02
3.808593749999999556e+00 5.009523169553382199e-02
3.833007812499999556e+00 5.193173592189059828e-02
3.857421874999999556e+00 5.193102517806909291e-02
3.881835937499999556e+00 5.077621318565853775e-02
3.906249999999999556e+00 5.120681782714143343e-02
3.930664062499999556e+00 5.317394516574402985e-02
3.955078124999999556e+00 5.717978849332168434e-02
3.979492187499999556e+00 5.826417410771034255e-02
4.003906249999999112e+00 5.285711486101816320e-02
4.028320312499999112e+00 5.414308373450026080e-02
4.052734374999999112e+00 5.849630835654174438e-02
4.077148437499999112e+00 5.260645576582962529e-02
4.101562499999999112e+00 5.129424832608382723e-02
4.125976562499999112e+00 5.420534124513269603e-02
4.150390624999999112e+00 5.209344389707656897e-02
4.174804687499999112e+00 5.485809075711387678e-02
4.199218749999999112e+00 5.229286547748092373e-02
4.223632812499999112e+00 5.481035771996331518e-02
4.248046874999999112e+00 5.366771619907158980e-02
4.272460937499999112e+00 5.536898201536506747e-02
4.296874999999999112e+00 5.289343024357073819e-02
4.321289062499999112e+00 5.600296905796069147e-02
4.345703124999999112e+00 5.415820984817450168e-02
4.370117187499999112e+00 5.156080951199412676e-02
4.394531249999999112e+00 4.882717395718140507e-02
4.418945312499999112e+00 4.984791256683140243e-02
4.443359374999999112e+00 5.102468356435336388e-02
4.467773437499999112e+00 5.428070969184229516e-02
4.492187499999999112e+00 5.731735242752879905e-02
4.516601562499999112e+00 5.755388176334896161e-02
4.541015624999999112e+00 5.695647953035912897e-02
4.565429687499999112e+00 5.827231200830702840e-02
4.589843749999999112e+00 5.233677834720582706e-02
4.614257812499999112e+00 5.413402763246555338e-02
4.638671874999999112e+00 5.244402982930317092e-02
4.663085937499999112e+00 5.343115078234936949e-02
4.687499999999999112e+00 5.479814987123876602e-02
4.711914062499999112e+00 5.139703082526768385e-02
4.736328124999999112e+00 5.057664877668254649e-02
4.760742187499999112e+00 5.217379702364553784e-02
4.785156249999999112e+00 5.386457249429078137e-02
4.809570312499999112e+00 5.652602258659630841e-02
4.833984374999999112e+00 5.383630247135248043e-02
4.858398437499999112e+00 5.221678372193121198e-02
4.882812499999999112e+00 5.529356880833709992e-02
4.907226562499999112e+00 5.643132090493436365e-02
4.931640624999999112e+00 5.784523646480411313e-02
4.956054687499999112e+00 5.804342131423958356e-02
4.980468749999999112e+00 5.414573617844962994e-02
5.004882812499999112e+00 5.499450801532538430e-02
5.029296874999999112e+00 5.746477828869766408e-02
5.053710937499999112e+00 5.464776185417571236e-02
5.078124999999999112e+00 5.041103755525599278e-02
5.102539062499999112e+00 4.887089808883116060e-02
5.126953124999999112e+00 5.089778851738253895e-02
5.151367187499999112e+00 5.111804892644784132e-02
5.175781249999999112e+00 5.026272411946716007e-02
5.200195312499999112e+00 5.485412347377990883e-02
5.224609374999999112e+00 5.543323323765710769e-02
5.249023437499999112e+00 4.974364449904961766e-02
5.273437499999999112e+00 5.387718508189246608e-02
5.297851562499999112e+00 5.055121241009181976e-02
5.322265624999999112e+00 5.322051411160478446e-02
5.346679687499999112e+00 5.374117435105303653e-02
5.371093749999999112e+00 5.158180019840927222e-02
5.395507812499999112e+00 4.669149761217849387e-02
5.419921874999999112e+00 5.232911109179340381e-02
5.444335937499999112e+00 5.011845356902212834e-02
5.468749999999999112e+00 5.530430603866695605e-02
5.493164062499999112e+00 5.720221380716956211e-02
5.517578124999999112e+00 5.227122319719755550e-02
5.541992187499999112e+00 5.276741767540990558e-02
5.566406249999999112e+00 5.294816640034649691e-02
5.590820312499999112e+00 5.553346398250333382e-02
5.615234374999999112e+00 5.353331516020347347e-02
5.639648437499999112e+00 4.897407926402187056e-02
5.664062499999999112e+00 5.433833738205568614e-02
5.688476562499999112e+00 5.307449570388194510e-02
5.712890624999999112e+00 5.377203067605819398e-02
5.737304687499999112e+00 4.824295244415995748e-02
5.761718749999999112e+00 5.190468303240889508e-02
5.786132812499999112e+00 5.080863117062427853e-02
5.810546874999999112e+00 5.409156175369514430e-02
5.834960937499999112e+00 5.130796828278300775e-02
5.859374999999999112e+00 4.928823062374165093e-02
5.883789062499999112e+00 4.798383381559316596e-02
5.908203124999999112e+00 5.000586814034179567e-02
5.932617187499999112e+00 4.865991686170659247e-02
5.957031249999999112e+00 5.090697803380232062e-02
5.981445312499999112e+00 5.279203726311484934e-02
6.005859374999999112e+00 5.304368630640223653e-02
6.030273437499999112e+00 5.628794935049753756e-02
6.054687499999999112e+00 5.351882029485997838e-02
6.079101562499999112e+00 5.798355169439917828e-02
6.103515624999999112e+00 4.952559021828446123e-02
6.127929687499999112e+00 5.200289668593823661e-02
6.152343749999999112e+00 5.345258183643950695e-02
6.176757812499999112e+00 5.202850764164168584e-02
6.201171874999999112e+00 5.133495923803632621e-02
6.225585937499999112e+00 4.849540912524123726e-02
6.249999999999999112e+00 4.798871324061904781e-02
6.274414062499999112e+00 4.750578833242277699e-02
6.298828124999999112e+00 4.940587187713299522e-02
6.323242187499999112e+00 5.029432031828044714e-02
6.347656249999999112e+00 5.267154599187495734e-02
6.372070312499999112e+00 5.266503741084630624e-02
6.396484374999999112e+00 5.355637852696942119e-02
6.420898437499999112e+00 4.982408717749128857e-02
6.445312499999999112e+00 5.163650097932703104e-02
6.469726562499999112e+00 5.422024013164248452e-02
6.494140624999999112e+00 5.112619649800013294e-02
6.518554687499999112e+00 5.072114059297084393e-02
6.542968749999999112e+00 5.166297750288251223e-02
6.567382812499999112e+00 4.926617285661213236e-02
6.591796874999999112e+00 5.285532952513597588e-02
6.616210937499999112e+00 5.119101410980970296e-02
6.640624999999999112e+00 5.155048915286354616e-02
6.665039062499999112e+00 5.186615526982065599e-02
6.689453124999999112e+00 5.784636354598107766e-02
6.713867187499999112e+00 5.676003050264724625e-02
6.738281249999999112e+00 5.579934055700139922e-02
6.762695312499999112e+00 5.195879789892180606e-02
6.787109374999999112e+00 5.204098493770153294e-02
6.811523437499999112e+00 4.798446301102605310e-02
6.835937499999999112e+00 5.105943526066220733e-02
6.860351562499999112e+00 5.355100781990970726e-02
6.884765624999999112e+00 4.857634839085987755e-02
6.909179687499999112e+00 4.789860545600887337e-02
6.933593749999999112e+00 5.529424363571108086e-02
6.958007812499999112e+00 5.356489861834117655e-02
6.982421874999999112e+00 5.398002514357513187e-02
7.006835937499999112e+00 4.973002766363097960e-02
7.031249999999999112e+00 5.637902822927912116e-02
7.055664062499999112e+00 5.118713971382733707e-02
7.080078124999999112e+00 5.062461289220732824e-02
7.104492187499999112e+00 4.853298675833602610e-02
7.128906249999999112e+00 5.070523396032478036e-02
7.153320312499999112e+00 5.015043272157355958e-02
7.177734374999999112e+00 4.530096555682591036e-02
7.202148437499999112e+00 4.595402539105793854e-02
7.226562499999999112e+00 4.952849772310508047e-02
7.250976562499999112e+00 5.084353236442473722e-02
7.275390624999999112e+00 5.094128987811106374e-02
7.299804687499999112e+00 4.803833919901820404e-02
7.324218749999999112e+00 4.863418360955352321e-02
7.348632812499999112e+00 4.678877783994428441e-02
7.373046874999999112e+00 5.169919587720454152e-02
7.397460937499999112e+00 5.173132180625271415e-02
7.421874999999999112e+00 4.790742126929285749e-02
7.446289062499999112e+00 4.864098995007139908e-02
7.470703124999999112e+00 4.862832240298110842e-02
7.495117187499999112e+00 4.716660081042955283e-02
7.519531249999999112e+00 4.958858343766611720e-02
7.543945312499999112e+00 5.005866567687752150e-02
7.568359374999999112e+00 5.017612768498388304e-02
7.592773437499999112e+00 4.587746962226214864e-02
7.617187499999999112e+00 4.997319338064008798e-02
7.641601562499999112e+00 4.990783273775699358e-02
7.666015624999999112e+00 4.995010958733739348e-02
7.690429687499999112e+00 5.148317187424377578e-02
7.714843749999999112e+00 5.266222957110801295e-02
7.739257812499999112e+00 4.882975845724923242e-02
7.763671874999999112e+00 5.216073865215165722e-02
7.788085937499999112e+00 5.032085124163825085e-02
7.812499999999999112e+00 5.289886624479125943e-02
7.836914062499999112e+00 5.335993790099703704e-02
7.861328124999999112e+00 5.074571022224845518e-02
7.885742187499999112e+00 4.934928648428631853e-02
7.910156249999999112e+00 4.553768632883190004e-02
7.934570312499999112e+00 4.677581677268682903e-02
7.958984374999999112e+00 5.023548694101761386e-02
7.983398437499999112e+00 4.818624138878686153e-02
8.007812499999998224e+00 4.672693094693099181e-02
8.032226562499998224e+00 4.717268768753808683e-02
8.056640624999998224e+00 4.904863521742173355e-02
8.081054687499998224e+00 5.060727419411025635e-02
8.105468749999998224e+00 4.955238358497768281e-02
8.129882812499998224e+00 4.635199477306645860e-02
8.154296874999998224e+00 4.826372486683002533e-02
8.178710937499998224e+00 4.920937098624473399e-02
8.203124999999998224e+00 4.771940432970511736e-02
8.227539062499998224e+00 5.246864093654776684e-02
8.251953124999998224e+00 4.995831418721046607e-02
8.276367187499998224e+00 4.919462171753057750e-02
8.300781249999998224e+00 4.963164023046264667e-02
8.325195312499998224e+00 4.876306879609518946e-02
8.349609374999998224e+00 4.941826967277699462e-02
8.374023437499998224e+00 5.080661180778744956e-02
8.398437499999998224e+00 4.963940245001075696e-02
8.422851562499998224e+00 4.645582034155861656e-02
8.447265624999998224e+00 5.113238352997426239e-02
8.471679687499998224e+00 5.107648545253270361e-02
8.496093749999998224e+00 4.722400920321857126e-02
8.520507812499998224e+00 5.099461938118934196e-02
8.544921874999998224e+00 4.781157453305308336e-02
8.569335937499998224e+00 5.229812493443952021e-02
8.593749999999998224e+00 4.757077852595140155e-02
8.618164062499998224e+00 4.557697870687946184e-02
8.642578124999998224e+00 4.549527143670221985e-02
8.666992187499998224e+00 5.106757002267191259e-02
8.691406249999998224e+00 5.205995576930881608e-02
8.715820312499998224e+00 4.911197796711266189e-02
8.740234374999998224e+00 5.017084174933143098e-02
8.764648437499998224e+00 4.320106045122143468e-02
8.789062499999998224e+00 4.818133718653842823e-02
8.813476562499998224e+00 4.776106829319465980e-02
8.837890624999998224e+00 4.747000982340910530e-02
8.862304687499998224e+00 4.590035932958747011e-02
8.886718749999998224e+00 5.007884845560856696e-02
8.911132812499998224e+00 5.100130397484822775e-02
8.935546874999998224e+00 4.886307305801197015e-02
8.959960937499998224e+00 4.448295451654009358e-02
8.984374999999998224e+00 4.450996429787791586e-02
9.008789062499998224e+00 4.794715956580912486e-02
9.033203124999998224e+00 4.763027788041961780e-02
9.057617187499998224e+00 5.077168841997638238e-02
9.082031249999998224e+00 4.924609706289347077e-02
9.106445312499998224e+00 4.707554353780775414e-02
9.130859374999998224e+00 4.464723862958046297e-02
9.155273437499998224e+00 4.811547910241332354e-02
9.179687499999998224e+00 4.829395712950611957e-02
9.204101562499998224e+00 4.483655505736514751e-02
9.228515624999998224e+00 4.676541591372107565e-02
9.252929687499998224e+00 4.776297132146018615e-02
9.277343749999998224e+00 4.951162306319031176e-02
9.301757812499998224e+00 4.907030752807184371e-02
9.326171874999998224e+00 5.133185849107366194e-02
9.350585937499998224e+00 4.864090724790588044e-02
9.374999999999998224e+00 5.070648006901394556e-02
9.399414062499998224e+00 4.932543837251310292e-02
