# freq_THz coherence
0.000000000000000000e+00 6.852171592236215580e-02
2.441406249999999653e-02 6.691333484076088245e-02
4.882812499999999306e-02 1.560683813085876892e-01
7.324218749999998612e-02 1.460832879737605228e-01
9.765624999999998612e-02 2.700162273678962110e-01
1.220703124999999861e-01 2.653240753829104182e-01
1.464843749999999722e-01 1.548591276895404378e-01
1.708984374999999722e-01 3.950034965676808563e-01
1.953124999999999722e-01 8.365978759862666703e-01
2.197265624999999722e-01 8.267485530787610504e-01
2.441406249999999722e-01 4.209053654629326124e-01
2.685546874999999445e-01 1.274407175454642105e-01
2.929687499999999445e-01 1.520787052698944763e-01
3.173828124999999445e-01 1.723733383118811746e-01
3.417968749999999445e-01 1.448601544504022898e-01
3.662109374999999445e-01 2.308357258786426780e-01
3.906249999999999445e-01 2.403936362852428787e-01
4.150390624999999445e-01 3.144495112458168262e-01
4.394531249999999445e-01 1.873275232126961343e-01
4.638671874999999445e-01 1.467043080239530672e-01
4.882812499999999445e-01 1.351965029644912053e-01
5.126953124999998890e-01 1.886988813387212027e-01
5.371093749999998890e-01 1.382593129090849970e-01
5.615234374999998890e-01 1.410917215353553744e-01
5.859374999999998890e-01 1.732606979073754161e-01
6.103515624999998890e-01 1.955729433357875358e-01
6.347656249999998890e-01 2.224917665325846228e-01
6.591796874999998890e-01 1.677469090464984713e-01
6.835937499999998890e-01 1.498662365811050112e-01
7.080078124999998890e-01 1.789666536377202688e-01
7.324218749999998890e-01 2.415806819973383146e-01
7.568359374999998890e-01 2.442110646143239305e-01
7.812499999999998890e-01 1.776314330972071087e-01
8.056640624999998890e-01 1.693639537678771068e-01
8.300781249999998890e-01 2.348882017843103021e-01
8.544921874999998890e-01 2.049646323012153937e-01
8.789062499999998890e-01 2.533863157157349444e-01
9.033203124999998890e-01 2.852701996464652168e-01
9.277343749999998890e-01 3.238361647764169682e-01
9.521484374999998890e-01 3.597308048001999214e-01
9.765624999999998890e-01 3.521448947568030508e-01
1.000976562499999778e+00 4.594167776312808038e-01
1.025390624999999778e+00 4.029636538920547406e-01
1.049804687499999778e+00 2.655866187478093665e-01
1.074218749999999778e+00 2.845880059808425511e-01
1.098632812499999778e+00 2.362155791677467698e-01
1.123046874999999778e+00 2.087933199346483082e-01
1.147460937499999778e+00 1.635839123255358185e-01
1.171874999999999778e+00 1.948771764073694568e-01
1.196289062499999778e+00 1.479686245924523857e-01
1.220703124999999778e+00 1.281432628618386360e-01
1.245117187499999778e+00 1.301990568786597358e-01
1.269531249999999778e+00 1.701489552966935770e-01
1.293945312499999778e+00 2.209876909602272455e-01
1.318359374999999778e+00 1.634826557397307534e-01
1.342773437499999778e+00 1.377684815084661563e-01
1.367187499999999778e+00 1.164030715722595699e-01
1.391601562499999778e+00 1.139738629920679647e-01
1.416015624999999778e+00 1.221312340689208326e-01
1.440429687499999778e+00 8.366411635223264254e-02
1.464843749999999778e+00 8.184052094607482952e-02
1.489257812499999778e+00 7.948716767379801484e-02
1.513671874999999778e+00 7.528092675888112262e-02
1.538085937499999778e+00 8.230577888541479314e-02
1.562499999999999778e+00 9.238477191261586230e-02
1.586914062499999778e+00 7.508531382347306826e-02
1.611328124999999778e+00 8.192529330756591344e-02
1.635742187499999778e+00 8.371442093108716342e-02
1.660156249999999778e+00 8.027467125868995024e-02
1.684570312499999778e+00 1.305935078458645426e-01
1.708984374999999778e+00 1.879292355768284739e-01
1.733398437499999778e+00 1.225781435360566440e-01
1.757812499999999778e+00 9.875319919951773551e-02
1.782226562499999778e+00 9.546391761489080030e-02
1.806640624999999778e+00 8.814560882915131734e-02
1.831054687499999778e+00 9.800895210438043126e-02
1.855468749999999778e+00 1.294194178602092182e-01
1.879882812499999778e+00 1.363839850460088488e-01
1.904296874999999778e+00 9.870462484548823967e-02
1.928710937499999778e+00 7.377241523776859045e-02
1.953124999999999778e+00 6.856000857539010229e-02
1.977539062499999778e+00 8.734794167636973639e-02
2.001953124999999556e+00 1.078053239574734007e-01
2.026367187499999556e+00 1.054802765156713645e-01
2.050781249999999556e+00 1.129117277441025607e-01
2.075195312499999556e+00 8.861792607583886261e-02
2.099609374999999556e+00 7.674205403883392618e-02
2.124023437499999556e+00 6.780500187428263603e-02
2.148437499999999556e+00 6.108236353075048586e-02
2.172851562499999556e+00 6.719113415876797057e-02
2.197265624999999556e+00 6.868396867490031421e-02
2.221679687499999556e+00 6.730708083128766894e-02
2.246093749999999556e+00 7.001370005723717149e-02
2.270507812499999556e+00 6.446172911227969482e-02
2.294921874999999556e+00 6.451472268909114183e-02
2.319335937499999556e+00 7.835820714837486711e-02
2.343749999999999556e+00 8.079410501134172418e-02
2.368164062499999556e+00 6.413899402289346963e-02
2.392578124999999556e+00 6.511499601531549331e-02
2.416992187499999556e+00 5.593131396543603306e-02
2.441406249999999556e+00 6.059774442283540757e-02
2.465820312499999556e+00 6.143326061915302394e-02
2.490234374999999556e+00 5.621114758311325510e-02
2.514648437499999556e+00 5.590415475858261096e-02
2.539062499999999556e+00 6.219742015460587303e-02
2.563476562499999556e+00 6.042155120665515522e-02
2.587890624999999556e+00 6.459733533744814460e-02
2.612304687499999556e+00 5.917282106074580467e-02
2.636718749999999556e+00 6.243222102436082888e-02
2.661132812499999556e+00 5.675982959060531935e-02
2.685546874999999556e+00 6.203708478348142485e-02
2.709960937499999556e+00 5.586611444490240108e-02
2.734374999999999556e+00 5.268068359818118412e-02
2.758789062499999556e+00 5.579056521294918636e-02
2.783203124999999556e+00 5.879039664939579579e-02
2.807617187499999556e+00 5.776920637619956805e-02
2.832031249999999556e+00 5.486268045663469928e-02
2.856445312499999556e+00 5.550511086329356497e-02
2.880859374999999556e+00 5.872141366897082326e-02
2.905273437499999556e+00 5.580301134883468295e-02
2.929687499999999556e+00 5.684991217925415563e-02
2.954101562499999556e+00 5.302716786821361217e-02
2.978515624999999556e+00 5.179243959274706238e-02
3.002929687499999556e+00 5.137284362728344184e-02
3.027343749999999556e+00 5.082788581284938129e-02
3.051757812499999556e+00 5.243503534956409778e-02
3.076171874999999556e+00 4.696845500094628395e-02
3.100585937499999556e+00 5.404499135014765449e-02
3.124999999999999556e+00 5.328920567248367907e-02
3.149414062499999556e+00 5.371080485963734136e-02
3.173828124999999556e+00 4.981011545308217797e-02
3.198242187499999556e+00 5.099073255904591068e-02
3.222656249999999556e+00 5.028914328630811059e-02
3.247070312499999556e+00 4.904477658265633117e-02
3.271484374999999556e+00 4.824110745246906057e-02
3.295898437499999556e+00 5.242556890231654665e-02
3.320312499999999556e+00 4.923431043001724045e-02
