# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 7.853029999999999733e-02 8.638250000000000095e-03 8.716854999999999742e-02 5.735000909977218051e-07 1.827373523278918638e-07 9.188484453934236740e+00 2.927775160587738679e+00 0.000000000000000000e+00
2.546479089470325696e-02 6.688270000000000326e-02 1.133430000000000028e-02 7.821700000000000874e-02 5.146059744892947039e-07 1.893652565366657064e-07 8.244896680435481073e+00 3.033965893144615400e+00 2.368878781527378389e-09
3.819718634205487851e-02 4.991109999999999991e-02 1.522860000000000012e-02 6.513969999999999483e-02 4.285676872858880782e-07 1.951890702325285476e-07 6.866411346568687790e+00 3.127273675387421736e+00 4.817027661235106986e-09
5.092958178940651393e-02 3.067289999999999947e-02 1.957319999999999893e-02 5.024610000000000187e-02 3.305795831441572873e-07 2.003808814247374629e-07 5.296468837910290439e+00 3.210455661190390053e+00 7.335304187030147332e-09
6.366197723675813547e-02 1.242279999999999947e-02 2.357249999999999970e-02 3.599530000000000091e-02 2.368205944172559570e-07 2.052328533163436894e-07 3.794284228253183233e+00 3.288192821125952570e+00 9.917521421830462199e-09
7.639437268410975701e-02 -2.053010000000000078e-03 2.653830000000000078e-02 2.448528999999999983e-02 1.610938353695869547e-07 2.100927758574541310e-07 2.581007789105949524e+00 3.366057364510123051e+00 1.256156649686091844e-08
8.912676813146140631e-02 -1.091869999999999993e-02 2.799499999999999905e-02 1.707629999999999912e-02 1.123485431833430399e-07 2.152856341631758237e-07 1.800022107522921910e+00 3.449256126921124377e+00 1.526960956243509303e-08
1.018591635788130279e-01 -1.349440000000000014e-02 2.772290000000000171e-02 1.422850000000000156e-02 9.361227237072413811e-08 2.210415522775500034e-07 1.499833954480179976e+00 3.541476102021801076e+00 1.804735470353191396e-08
1.145915590261646355e-01 -1.018419999999999916e-02 2.574829999999999827e-02 1.556409999999999912e-02 1.023994636402422953e-07 2.274492012554784002e-07 1.640620279785287794e+00 3.644137956734909700e+00 2.090253551776352611e-08
1.273239544735162709e-01 -2.204910000000000030e-03 2.230599999999999944e-02 2.010108999999999854e-02 1.322492681609754365e-07 2.344464956054946494e-07 2.118866873111149740e+00 3.756246971823072212e+00 2.384305485169550744e-08
