# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 7.276460000000000219e-03 1.060840000000000047e-02 1.788486000000000242e-02 1.434613719277896306e-03 1.044166957189348906e-06 7.891557810880742763e-07 0.000000000000000000e+00
2.546479089470325696e-02 7.869879999999999237e-03 9.481639999999999513e-03 1.735151999999999875e-02 1.391832457303260762e-03 1.013029111830348427e-06 7.816771267553065840e-07 1.000023288218759196e-08
3.819718634205487851e-02 8.843610000000000013e-03 7.958549999999999999e-03 1.680216000000000001e-02 1.347766169234888931e-03 9.809559751325192324e-07 7.759672957354877218e-07 1.991650525894481108e-08
5.092958178940651393e-02 1.012530000000000027e-02 6.432720000000000278e-03 1.655801999999999968e-02 1.328182756592882980e-03 9.667024153658669542e-07 7.731227272639121956e-07 2.977831863713251093e-08
6.366197723675813547e-02 1.155909999999999924e-02 5.234339999999999653e-03 1.679343999999999976e-02 1.347066704344914703e-03 9.804468777246170674e-07 7.735048740260659398e-07 3.962445575183894510e-08
7.639437268410975701e-02 1.292480000000000018e-02 4.520289999999999725e-03 1.744508999999999990e-02 1.399338068513683196e-03 1.018491983901150839e-06 7.766763857871198779e-07 4.949321615934654581e-08
8.912676813146140631e-02 1.401269999999999946e-02 4.243089999999999709e-03 1.825579000000000091e-02 1.464367447676762470e-03 1.065822863326172966e-06 7.815190309461264331e-07 5.941299627439584292e-08
1.018591635788130279e-01 1.472620000000000005e-02 4.215939999999999618e-03 1.894213999999999967e-02 1.519422232909992381e-03 1.105893850242867429e-06 7.865712180825656015e-07 6.939576884828053446e-08
1.145915590261646355e-01 1.516149999999999963e-02 4.251259999999999761e-03 1.941276000000000113e-02 1.557172481364079569e-03 1.133369930759709781e-06 7.905597181173414751e-07 7.943609622425507130e-08
1.273239544735162709e-01 1.561099999999999988e-02 4.316930000000000073e-03 1.992792999999999995e-02 1.598496257438389865e-03 1.163446961909812852e-06 7.930161483713257903e-07 8.951745330076318401e-08
1.400563499208679064e-01 1.646740000000000009e-02 4.639889999999999813e-03 2.110729000000000077e-02 1.693097279530124486e-03 1.232301218673960414e-06 7.947929545110562241e-07 9.962575999716474031e-08
1.527887453682195140e-01 1.805290000000000020e-02 5.700219999999999766e-03 2.375311999999999910e-02 1.905329526071446915e-03 1.386771997888351387e-06 7.982696750006189159e-07 1.097675116828349556e-07
1.655211408155711494e-01 2.043750000000000080e-02 8.097329999999999806e-03 2.853483000000000061e-02 2.288888959447403244e-03 1.665941283019008209e-06 8.070959299181832088e-07 1.199875865425364968e-07
