# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
1.273239544735162848e-02 -1.970250520627266688e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.546479089470325696e-02 -1.590878197061357247e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.819718634205487851e-02 -1.038455135464126045e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.092958178940651393e-02 -4.147896416132001440e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.366197723675813547e-02 1.692928077737589632e-01 1.692928077737589632e-01 0.000000000000000000e+00
7.639437268410975701e-02 6.170217408825979799e-01 6.170217408825979799e-01 0.000000000000000000e+00
8.912676813146140631e-02 8.654742103622172777e-01 8.654742103622172777e-01 0.000000000000000000e+00
1.018591635788130279e-01 8.982109335483838830e-01 8.982109335483838830e-01 0.000000000000000000e+00
1.145915590261646355e-01 7.482665021260940241e-01 7.482665021260940241e-01 0.000000000000000000e+00
1.273239544735162709e-01 4.907408008159802604e-01 4.907408008159802604e-01 0.000000000000000000e+00
1.400563499208679064e-01 2.260393055269050988e-01 2.260393055269050988e-01 0.000000000000000000e+00
1.527887453682195140e-01 5.660753677936153361e-02 5.660753677936153361e-02 0.000000000000000000e+00
1.655211408155711494e-01 6.171861891163269581e-02 6.171861891163269581e-02 0.000000000000000000e+00
1.782535362629228126e-01 2.761109669360083951e-01 2.761109669360083951e-01 0.000000000000000000e+00
1.909859317102743925e-01 6.783788839597126863e-01 6.783788839597126863e-01 0.000000000000000000e+00
2.037183271576260557e-01 1.193480396749274419e+00 1.193480396749274419e+00 0.000000000000000000e+00
2.164507226049776911e-01 1.710247557383299144e+00 1.710247557383299144e+00 0.000000000000000000e+00
2.291831180523292710e-01 2.110359529251129018e+00 2.110359529251129018e+00 0.000000000000000000e+00
2.419155134996809342e-01 2.300803659981999871e+00 2.300803659981999871e+00 0.000000000000000000e+00
2.546479089470325419e-01 2.239932326242262572e+00 2.239932326242262572e+00 0.000000000000000000e+00
2.673803043943841495e-01 1.948272745562909192e+00 1.948272745562909192e+00 0.000000000000000000e+00
2.801126998417358127e-01 1.500192309895183040e+00 1.500192309895183040e+00 0.000000000000000000e+00
2.928450952890874204e-01 9.991792678895780044e-01 9.991792678895780044e-01 0.000000000000000000e+00
3.055774907364390280e-01 5.457465076334966358e-01 5.457465076334966358e-01 0.000000000000000000e+00
3.183098861837906912e-01 2.097889610287825002e-01 2.097889610287825002e-01 0.000000000000000000e+00
3.310422816311422989e-01 1.748104671092325785e-02 1.748104671092325785e-02 0.000000000000000000e+00
3.437746770784939621e-01 -4.353013451598775063e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.565070725258456252e-01 -4.783847877417928170e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.692394679731971774e-01 1.060358665032122699e-01 1.060358665032122699e-01 0.000000000000000000e+00
3.819718634205487851e-01 2.798301676398731175e-01 2.798301676398731175e-01 0.000000000000000000e+00
3.947042588679004482e-01 5.246772093277367599e-01 5.246772093277367599e-01 0.000000000000000000e+00
4.074366543152521114e-01 8.486692409248665081e-01 8.486692409248665081e-01 0.000000000000000000e+00
4.201690497626037191e-01 1.235917127813640937e+00 1.235917127813640937e+00 0.000000000000000000e+00
4.329014452099553822e-01 1.629402744538409387e+00 1.629402744538409387e+00 0.000000000000000000e+00
4.456338406573069344e-01 1.932654595925585639e+00 1.932654595925585639e+00 0.000000000000000000e+00
4.583662361046585421e-01 2.034198055828136731e+00 2.034198055828136731e+00 0.000000000000000000e+00
4.710986315520102052e-01 1.847953782279432744e+00 1.847953782279432744e+00 0.000000000000000000e+00
4.838310269993618684e-01 1.353590698835881234e+00 1.353590698835881234e+00 0.000000000000000000e+00
4.965634224467134761e-01 6.184982289326027560e-01 6.184982289326027560e-01 0.000000000000000000e+00
5.092958178940650837e-01 -2.114112805313398957e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.220282133414166914e-01 -9.527359395619283688e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.347606087887682991e-01 -1.444779682350526118e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.474930042361200178e-01 -1.606475292005683730e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.602253996834716254e-01 -1.467770298962244757e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.729577951308232331e-01 -1.161476598507774405e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.856901905781748408e-01 -8.768721130094190297e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.984225860255264484e-01 -7.914448016406733233e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.111549814728780561e-01 -1.005871335837626557e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.238873769202297748e-01 -1.506691561181042749e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.366197723675813824e-01 -2.170388675270959578e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.493521678149329901e-01 -2.806865395740099078e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.620845632622845978e-01 -3.225568993967392384e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.748169587096363164e-01 -3.299515070430334873e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.875493541569879241e-01 -3.004332928798297608e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.002817496043395318e-01 -2.419811433655250088e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.130141450516912505e-01 -1.695719486772386153e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.257465404990427471e-01 -9.962249620194840727e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.384789359463943548e-01 -4.439193634463448057e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.512113313937459624e-01 -8.200138037550382120e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.639437268410975701e-01 1.344272334971807203e-01 1.344272334971807203e-01 0.000000000000000000e+00
7.766761222884492888e-01 3.184045814950777209e-01 3.184045814950777209e-01 0.000000000000000000e+00
7.894085177358008965e-01 6.118172424019211464e-01 6.118172424019211464e-01 0.000000000000000000e+00
