# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 1.249920000000000059e-01 3.516920000000000202e-03 1.285089199999999987e-01 1.059368095071355070e-02 7.696985751036407848e-06 4.694737408090530972e-07 0.000000000000000000e+00
2.546479089470325696e-02 1.170989999999999948e-01 2.996819999999999866e-03 1.200958199999999920e-01 9.900143901250772066e-03 7.193086793500663022e-06 4.644300670043677934e-07 5.945416295433975415e-09
3.819718634205487851e-02 1.051200000000000051e-01 2.283700000000000053e-03 1.074037000000000047e-01 8.853864235464378382e-03 6.432897798134083322e-06 4.611480227943403460e-07 1.183782942379471562e-08
5.092958178940651393e-02 9.054389999999999661e-02 1.560659999999999955e-03 9.210456000000000198e-02 7.592673899569409718e-03 5.516562476172688506e-06 4.602193012409346373e-07 1.770343598473736274e-08
6.366197723675813547e-02 7.498029999999999973e-02 1.004960000000000055e-03 7.598525999999999891e-02 6.263873366899482681e-03 4.551104028489203173e-06 4.619570738225706477e-07 2.357419312449426075e-08
7.639437268410975701e-02 5.986330000000000123e-02 7.402850000000000315e-04 6.060358500000000148e-02 4.995879227367636816e-03 3.629825308676812219e-06 4.663103945788032864e-07 2.948372736879339739e-08
8.912676813146140631e-02 4.624199999999999838e-02 8.075639999999999815e-04 4.704956399999999511e-02 3.878548429838006226e-03 2.818013128586525143e-06 4.728756927504506769e-07 3.546277170005689646e-08
1.018591635788130279e-01 3.470419999999999755e-02 1.162099999999999895e-03 3.586629999999999679e-02 2.956651873524245369e-03 2.148196405684500892e-06 4.810136324113635992e-07 4.153541975054069321e-08
1.145915590261646355e-01 2.542410000000000156e-02 1.695499999999999959e-03 2.711960000000000065e-02 2.235614383118084050e-03 1.624316621552861688e-06 4.900432775990149655e-07 4.771736004060842577e-08
1.273239544735162709e-01 1.829149999999999873e-02 2.273410000000000014e-03 2.056490999999999875e-02 1.695276058036582819e-03 1.231726320953799303e-06 4.994549255726041329e-07 5.401670124922089656e-08
1.400563499208679064e-01 1.305869999999999947e-02 2.775899999999999982e-03 1.583460000000000076e-02 1.305331181541085185e-03 9.484064652738589289e-07 5.090702209944120171e-07 6.043717174156565765e-08
1.527887453682195140e-01 9.450909999999999866e-03 3.128020000000000019e-03 1.257893000000000032e-02 1.036948805743283936e-03 7.534095296519838184e-07 5.190931018902452833e-07 6.698266274728091094e-08
1.655211408155711494e-01 7.214059999999999570e-03 3.312659999999999823e-03 1.052671999999999983e-02 8.677741057779907261e-04 6.304933061856716384e-07 5.300316639289362550e-07 7.366159844329090679e-08
1.782535362629228126e-01 6.103560000000000062e-03 3.364880000000000215e-03 9.468439999999999843e-03 7.805343976198243728e-04 5.671080868514276115e-07 5.425176820891812129e-07 8.048965964844144909e-08
1.909859317102743925e-01 5.845160000000000286e-03 3.352289999999999957e-03 9.197449999999999376e-03 7.581952354757968754e-04 5.508772589161111042e-07 5.570888968839823108e-07 8.748997254843933015e-08
2.037183271576260557e-01 6.105799999999999769e-03 3.350239999999999989e-03 9.456039999999998891e-03 7.795121989756458557e-04 5.663653942561365456e-07 5.740126693454274838e-07 9.469078876461516838e-08
2.164507226049776911e-01 6.502889999999999886e-03 3.420100000000000137e-03 9.922989999999999589e-03 8.180053971126755464e-04 5.943331609796172976e-07 5.932131468626388210e-07 1.021215790987746041e-07
2.291831180523292710e-01 6.658780000000000428e-03 3.596620000000000025e-03 1.025540000000000132e-02 8.454077399603682121e-04 6.142427130441901533e-07 6.143223633262437460e-07 1.098089889149967503e-07
2.419155134996809342e-01 6.284119999999999810e-03 3.885930000000000113e-03 1.017004999999999992e-02 8.383718807441876237e-04 6.091307119951504627e-07 6.368282498636505358e-07 1.177740611006618745e-07
