# TBC comparison: orientation 100 vs 201
# newest_100_log = 100/TBC_thickness_analysis_20260427_234647.log
# newest_201_log = -201/TBC_thickness_analysis_20260427_234557.log
#
# orientation  label  Lx_A  invLx_1_per_A  G_MW_m^-2_K^-1  Gerr_MW_m^-2_K^-1
100  100A  118.768000  8.419801000e-03  831.200000  10.340000
100  200A  206.761000  4.836491000e-03  742.700000  12.420000
100  300A  316.754000  3.157027000e-03  640.200000  20.450000
100  400A  404.748000  2.470676000e-03  590.000000  32.830000
100  600A  602.734000  1.659108000e-03  547.600000  62.800000
201  100A  106.048000  9.429711000e-03  1205.000000  25.910000
201  200A  203.289000  4.919113000e-03  1049.000000  64.990000
201  300A  300.530000  3.327460000e-03  954.500000  58.180000
201  400A  397.770000  2.514013000e-03  816.200000  26.010000
201  600A  592.784000  1.686955000e-03  685.400000  25.360000
